Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.158328664799253,0.0307692307692307,0.158328664799253,0.0166666666666666,0.0,0.0166666666666666
Is it normal to talk to yourself?,Psychology,0.3823509823509824,0.122719298245614,0.3106893106893107,0.2353679653679653,0.1757936507936507,0.2353679653679653
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3563903743315507,0.1463888888888888,0.3029144385026737,0.2392929292929292,0.1,0.2392929292929292
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.4274625620163377,0.200313725490196,0.380441628038882,0.1299679487179487,0.0,0.1299679487179487
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.4755148741418765,0.1810596008738423,0.3969706875885365,0.1912024937566733,0.0549161364950838,0.1912024937566733
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2233149405772495,0.0505263157894736,0.1764289756649688,0.1252380952380952,0.0,0.1252380952380952
Why should you wear sunscreen?,Science & Technology,0.3389442128752473,0.1213323162979913,0.2643003382313727,0.1965220060909716,0.0936660079051383,0.1835883190883191
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.4716749137801769,0.1925294117647058,0.3976008397061029,0.2120606191194426,0.0619047619047619,0.2120606191194426
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2586834733893557,0.0687719298245614,0.2205882352941176,0.1928731117138558,0.0806477732793522,0.1851350164757605
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3229202037351443,0.1006020799124247,0.2341482739105829,0.0841312604663998,0.00625,0.0841312604663998
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3532813080639168,0.1944444444444444,0.3112300260126347,0.041025641025641,0.0,0.041025641025641
Why are you always tired?,Health,0.2892479739392977,0.0561941251596424,0.2061960379257375,0.0,0.0,0.0
I Like Myself - Children's books read aloud,Literature,0.1140979689366786,0.0,0.0955794504181601,0.0714285714285714,0.0,0.0714285714285714
What is schizophrenia? - Anees Bahji,Health,0.3412806668561144,0.0266666666666666,0.2866510372264848,0.1,0.0,0.1
How do pelicans survive their death-defying dives?,Environmental Science,0.4320855614973262,0.1729914529914529,0.3650267379679144,0.1605783105783105,0.0,0.1605783105783105
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.3497024544083367,0.0553763440860215,0.3193994241053065,0.0533333333333333,0.0099999999999999,0.0533333333333333
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.342164175190139,0.1708233795190316,0.294164175190139,0.1269780219780219,0.025,0.1269780219780219
Fabulous food chains,Environmental Science,0.4936243936243936,0.3625974025974026,0.4503811503811503,0.1732894736842105,0.0717647058823529,0.1732894736842105
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.1442787148050306,0.0,0.1442787148050306,0.0,0.0,0.0
Volcanic eruption explained - Steven Anderson,Science & Technology,0.2513960113960114,0.0502857142857142,0.2072771672771672,0.0947635562789015,0.0145705172020961,0.090415730191945
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.4505590062111801,0.1682539682539682,0.3645962732919254,0.0117816091954022,0.0,0.0117816091954022
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.4392046424304489,0.1620747359113965,0.4133981908175457,0.1776770288534994,0.0619444444444444,0.1776770288534994
How this disease changes the shape of your cells - Amber M. Yates,Health,0.4500453450917847,0.1713071895424836,0.4258029208493605,0.0157575757575757,0.0,0.0157575757575757
The counting by fives song | Counting songs,Numbers & Operations,0.0947575507656643,0.0,0.0829928448833114,0.0,0.0,0.0
Is binge watching bad for you?,Health,0.2567783758027661,0.0381633870005963,0.1584040218186559,0.0,0.0,0.0
Why do we wrinkle when wet?,Health,0.3095238095238095,0.0,0.1785714285714285,0.03125,0.0178571428571428,0.03125
3D shapes song | Shapes for kids,Geometry,0.2508612440191387,0.125,0.2508612440191387,0.0,0.0,0.0
