Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.28547619047619044,0.04,0.28547619047619044,0.069642857,0,0.069642857
Why does everyone hate pigeons?,Science & Technology,0.36204146730462516,0.036432638,0.2669059011164275,0.090723053,0,0.085459895
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.2004095743226178,0.037719298245614034,0.17021014412318758,0.11119320293233337,0,0.085808588
Is it normal to talk to yourself?,Psychology,0.4554975267784064,0.2080457786979526,0.4068700757980143,0.1992857142857143,0,0.1992857142857143
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3876717485413138,0.12653846153846154,0.3204216073781291,0.1569004329004329,0.05,0.15445598845598846
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.25507078039927406,0.017391304347826087,0.22527767695099818,0.12575757575757573,0.028571428571428574,0.12575757575757573
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5046311858076563,0.19099415204678363,0.42395891690009335,0.17806776556776555,0.009090909,0.17806776556776555
Why should you wear sunscreen?,Science & Technology,0.32870458975722133,0.12222222222222223,0.3105227715754032,0.1120836310232595,0.035869727,0.1120836310232595
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.3722142857142857,0.12499442586399108,0.32771428571428574,0.059749695,0,0.059749695
Food waste causes climate change. Here's how we stop it,Science & Technology,0.5169235209235209,0.1727759197324415,0.39201154401154403,0.045833333,0.016666667,0.045833333
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.3099281555803295,0,0.21145794624055494,0.076560564,0,0.076560564
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3768669758687907,0.19043771043771046,0.33476171271089605,0.041625817,0,0.041625817
The race to decode a mysterious language - Susan Lupack,Linguistics,0.42162716,0.1673825979089137,0.35832666694735654,0.092712042,0.007142857,0.088364216
What if all the ice melted on Earth?,Science & Technology,0.35132188760671734,0.0125,0.2492066172561528,0.047321429,0,0.047321429
Why are you always tired?,Health,0.13159491682730065,0,0.089722996,0.004347826,0,0.004347826
I Like Myself - Children's books read aloud,Literature,0.1654120879120879,0,0.12529304029304028,0.12125,0.05,0.09625
How do pelicans survive their death-defying dives?,Environmental Science,0.3552852049910874,0.022222222222222223,0.2542557932263815,0.087132353,0.061721611721611724,0.087132353
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.4382072829131653,0.14736842105263157,0.41915966386554626,0.15138888888888888,0.064285714,0.15138888888888888
Fabulous food chains,Environmental Science,0.396104206,0.14322900088417329,0.3156436872565905,0.032549019607843135,0,0.032549019607843135
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.2587719298245614,0.096256684,0.2587719298245614,0.12458379166263807,0.017647059,0.1083756576913462
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2480573673197176,0,0.23066606297189146,0.11888888888888889,0,0.11888888888888889
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.3795959163275505,0.17280380438275172,0.3382166059827229,0.091666667,0.066666667,0.091666667
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.32682539682539685,0.13853383458646618,0.24873015873015875,0.055357143,0,0.055357143
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.37281167108753316,0.12338624338624338,0.3090185676392573,0.16895648795648796,0.060621601,0.15254908054908056
How this disease changes the shape of your cells - Amber M. Yates,Health,0.39454545454545453,0.19922705314009664,0.39454545454545453,0.0325,0,0.0325
The counting by fives song | Counting songs,Numbers & Operations,0.24820565907522427,0.015384615384615382,0.18504715896020243,0.021111111111111112,0,0.021111111111111112
Is binge watching bad for you?,Health,0.19459340707810718,0.044761905,0.1341533982904852,0.022500000000000003,0,0.022500000000000003
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.14197868712702472,0,0.14197868712702472,0.19434787434787434,0.05,0.13662198912198914
Why do we wrinkle when wet?,Health,0.27183358670315194,0.034057971014492754,0.14233971825276173,0.016666667,0.01,0.016666667
3D shapes song | Shapes for kids,Geometry,0.4148800309597523,0.1223155929038282,0.3034249226006192,0.375,0.125,0.375
The most common STI in the world - Emma Bryce,Literature & Language,0.3216036866359447,0.12192994411884968,0.27913056835637484,0.1226190476190476,0.05,0.1226190476190476
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.293318083,0.044444444444444446,0.1939738562091503,0.048076923,0,0.032692307692307694
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.21349228611500704,0.018181818,0.17110098176718094,0.1935781190773451,0.007692308,0.12262500356540604
The surprising similarities between Twister and intelligence,Health,0.2433047761833369,0.015384615384615382,0.20094024416363246,0.11472222222222221,0,0.11472222222222221
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.3390288392546869,0.1490311986863711,0.3269076271334748,0.03266557,0,0.03266557
Why beavers are the smartest thing in fur pants,Science & Technology,0.3156399951284862,0.1,0.2382803556205091,0.028765950824774355,0,0.027608543
The history of manners,Psychology,0.20128843199810936,0.014285714285714287,0.18700271771239513,0,0,0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.31564372469635626,0.066666667,0.31564372469635626,0.11044945250827602,0.033333333,0.11044945250827602
Art with Mati and Dada ?€? Henri Matisse,Visual Arts,0.2903861003861004,0.055873016,0.22052767052767056,0,0,0
Why don't haircuts hurt?,Science & Technology,0.3542296918767507,0.13743589743589743,0.3132773109243697,0.10086667313356927,0.014285714285714287,0.097982058
An Exercise in Self Compassion,Emotional Health,0.2622657342657343,0.051449275362318844,0.21488111888111888,0.022483766,0,0.022483766
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.28904428904428897,0.054848485,0.2541958041958042,0.065400433,0.0125,0.065400433
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona H??rm??vaara,Literature & Language,0.41855360325948554,0.22554362494865926,0.38522026992615227,0.073248973,0,0.073248973
Why some people don't have an inner monologue,Psychology,0,0,0,0,0,0
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.3482272727272727,0.1308835904628331,0.26686363636363636,0.084358974,0,0.084358974
The rise and fall of the Lakota Empire - Pekka H??m??l??inen,History,0.2243157894736842,0.059102534294350154,0.2243157894736842,0.028571428571428574,0,0.028571428571428574
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0.2896484041645332,0.073895668,0.2619303635432668,0,0,0
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.275062657,0,0.19734335839598996,0.029716385826225645,0.004761905,0.029716385826225645
The physics of surfing - Nick Pizzo,Science & Technology,0.2577922077922078,0,0.2577922077922078,0.19490259740259738,0.052222222222222225,0.19149350649350647
Why do these deadly insects look like flowers?,Science & Technology,0.2102051282051282,0.055110603,0.19482051282051283,0.016783217,0,0.016783217
Better know the Mona Lisa,Visual Arts,0.2915406162464986,0.021052631578947364,0.20674136321195147,0,0,0
SH | fun phonics | how to read,Literature & Language,0.24403361344537816,0.048888888888888885,0.20974789915966388,0,0,0
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.3116883116883117,0.09123445,0.24906204906204907,0,0,0
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.3225932419982763,0.078095238,0.22344537232409087,0.076363636,0.011111111,0.076363636
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.35349697191129414,0.033552632,0.17700424043135038,0.026250000000000002,0,0.026250000000000002
The science of Flint's water crisis,Public Health,0.2282857142857143,0,0.15990476190476194,0.022116119174942706,0,0.022116119174942706
How bones make blood - Melody Smith,Health,0.500454076,0.15461437908496733,0.4708244467377594,0.37207070707070705,0.2111111111111111,0.3667135642135642
How soap kills the coronavirus,Public Health,0.3167876212269805,0.080549199,0.26672965021248773,0.28406988436400205,0.085238095,0.26397184514831573
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.3696031746031746,0.088157895,0.3315079365079365,0.21836885336885334,0,0.12345210345210345
The world's ugliest animal,Environmental Science,0.37032324400745453,0.15263951734539974,0.268388921,0.10147518098018656,0,0.10147518098018656
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.35176767676767673,0,0.18358585858585857,0.25770562770562766,0.090396825,0.25770562770562766
What happens when you lose a balloon?,Science & Technology,0.4103495311167945,0.10793650793650793,0.34812730889457233,0.16498347666825924,0.017424242424242425,0.15032040742718492
The quest for the perfect apple,Science & Technology,0.2038509316770186,0.057142857,0.16527950310559006,0.045800866,0,0.045800866
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.27615835777126096,0.031974922,0.2246432062561095,0.22018693724576077,0.056783217,0.20313504469386817
Why perfect grades don't matter,Teaching & Education,0.12180819180819183,0,0.10642357642357643,0,0,0
Can you trust your ears? (audio illusions),Health,0.3764545454545455,0.16190476190476188,0.31545454545454543,0.1551100387400697,0.004545455,0.14491697028461734
Why is my leg asleep?,Health,0.2879246243952126,0.099716413,0.2879246243952126,0.074949495,0.005,0.07040404
Why don't we throw trash in volcanoes?,Science & Technology,0.092572464,0,0.092572464,0.008928571,0,0.008928571
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0.38034796121752645,0.14753968253968253,0.3023370832066484,0.21060606060606063,0,0.19153901653901653
Why do American schools have such long hours?,Teaching & Education,0.19468833864235918,0.022222222,0.14301132000881883,0.02870614,0,0.02870614
Here Comes Teacher Cat - Read aloud picture book,Literature,0.3638795986622073,0.11266803372066532,0.2953893932154802,0.14519230769230768,0,0.14519230769230768
What happens when nature goes viral?,Science & Technology,0.3236559139784946,0.10610079575596816,0.2728494623655914,0.1586103030955972,0.066666667,0.1586103030955972
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0.42883753501400557,0.1923321123321123,0.40978991596638653,0.028535353535353535,0,0.028535353535353535
How Thor got his hammer - Scott A. Mellor,Social Studies,0.34442773600668336,0.1173076923076923,0.3011528822055138,0.14074207225523014,0,0.14074207225523014
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0.47675374497625134,0.3028571428571429,0.38373218852758495,0.3492857142857143,0.2,0.3492857142857143
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0.21066666666666664,0,0.21066666666666664,0.027344877,0,0.027344877
