Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.37762967255867863,0.11555555555555555,0.31272095044914516,0.09821428571428573,0.02,0.09821428571428573
Why does everyone hate pigeons?,Science & Technology,0.44179894179894175,0.16122222222222224,0.40275132275132275,0.06468253968253967,0.0,0.06468253968253967
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.15379056575608302,0.0,0.13999746230780713,0.13359167434396269,0.0,0.12166184978255916
Is it normal to talk to yourself?,Psychology,0.4636691086691087,0.18775027870680044,0.39422466422466423,0.18202380952380953,0.04,0.18202380952380953
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.29468831168831167,0.08701536449820202,0.2546883116883117,0.1535353535353535,0.0,0.15158730158730155
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.35195169651101077,0.10529637142213207,0.3146291812980291,0.05754901960784313,0.015384615384615382,0.05754901960784313
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.4239333511644725,0.1798201385817485,0.40575153298265426,0.2320751874544445,0.05658885776532836,0.2320751874544445
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.32446560846560846,0.20251748251748253,0.3101798941798942,0.09544564825676011,0.0,0.08443554724665911
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.2708208707211698,0.06262289974407478,0.1885211033565969,0.06227089637415724,0.018704212454212454,0.05795872706198792
Why should you wear sunscreen?,Science & Technology,0.2824949290060852,0.06599326599326599,0.25490872210953347,0.08149987267634326,0.026250000000000002,0.08149987267634326
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.42507101374274053,0.13522727272727272,0.33869185210741193,0.015340909090909089,0.0,0.015340909090909089
Food waste causes climate change. Here's how we stop it,Science & Technology,0.5064912280701755,0.2533091971966652,0.4214912280701754,0.045238095238095244,0.026250000000000002,0.045238095238095244
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.32701503094606543,0.09302359625918775,0.2126955496610669,0.046402939166097064,0.005263157894736843,0.046402939166097064
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.3019047619047619,0.03333333333333333,0.2038095238095238,0.2398179598179598,0.057808857808857805,0.22848419554301908
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.330036866359447,0.13393969681825751,0.27280184331797236,0.014874141876430205,0.0,0.014874141876430205
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3534137360224317,0.1850965250965251,0.3180861006947963,0.02733516483516484,0.0,0.02733516483516484
What if all the ice melted on Earth?,Science & Technology,0.38372984749455336,0.05568181818181818,0.26261002178649234,0.00625,0.0,0.00625
Why are you always tired?,Health,0.148431472947602,0.0,0.10738009899300223,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.44800414078674944,0.22584227366836065,0.43133747412008283,0.05784090909090909,0.03214285714285715,0.05784090909090909
I Like Myself - Children's books read aloud,Literature,0.12377987593504836,0.0,0.09699416164933405,0.13045454545454546,0.0,0.09005050505050508
What is schizophrenia? - Anees Bahji,Health,0.44081871345029244,0.1599709114414997,0.35309941520467836,0.04,0.03333333333333333,0.04
How do pelicans survive their death-defying dives?,Environmental Science,0.376888601594484,0.09333333333333331,0.3215039862098686,0.15391233766233764,0.007692307692307691,0.147245670995671
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.3169611090663722,0.042222222222222223,0.26118625526520267,0.0,0.0,0.0
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.3931106719367589,0.14575569358178053,0.32692885375494074,0.11166666666666666,0.015384615384615385,0.11166666666666666
Fabulous food chains,Environmental Science,0.42239289981225464,0.24045977011494254,0.36695681856972173,0.09777777777777778,0.04107142857142857,0.09777777777777778
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.26035653235653233,0.03277591973244147,0.21644118844118845,0.0,0.0,0.0
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2585495067592255,0.019047619047619046,0.22211058336378034,0.08388888888888889,0.0,0.08388888888888889
Volcanic eruption explained - Steven Anderson,Science & Technology,0.2513530202317388,0.04318181818181819,0.18799898296465803,0.11040126540126541,0.01678321678321678,0.11040126540126541
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.38644688644688646,0.18220551378446112,0.3443956043956044,0.07831640504770698,0.02992776057791538,0.07831640504770698
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.35472338414273896,0.09187192118226602,0.25695568947181846,0.05670745920745921,0.0,0.05670745920745921
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.3679712100764732,0.17350649350649353,0.35744489428699955,0.12340102707749767,0.015789473684210527,0.11840102707749767
How this disease changes the shape of your cells - Amber M. Yates,Health,0.4572833599149388,0.1299620493358634,0.36788942052099943,0.032499999999999994,0.0,0.032499999999999994
The counting by fives song | Counting songs,Numbers & Operations,0.33019047619047626,0.048951048951048945,0.20771428571428568,0.225,0.0,0.225
Why do we have leap years?,Teaching & Education,0.24725683241328644,0.03636363636363637,0.20464385318861306,0.00909090909090909,0.0,0.00909090909090909
Is binge watching bad for you?,Health,0.25066391691862977,0.0809323050743924,0.1475928318008996,0.025941876750700282,0.0,0.025941876750700282
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.19805006587615284,0.0,0.13126745718050065,0.2385714285714286,0.1576190476190476,0.2385714285714286
Why do we wrinkle when wet?,Health,0.3591372994821271,0.040257648953301126,0.18056334470127575,0.052083333333333336,0.03333333333333333,0.052083333333333336
3D shapes song | Shapes for kids,Geometry,0.40910154173312063,0.06444444444444444,0.2643700159489633,0.0,0.0,0.0
The most common STI in the world - Emma Bryce,Literature & Language,0.33057720057720064,0.0983369840551157,0.2812438672438673,0.051190476190476196,0.0,0.051190476190476196
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.2809538174244056,0.03333333333333333,0.21127055950585363,0.0125,0.0,0.0125
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.4756012103838191,0.21396099396099394,0.3739608217869087,0.175,0.1,0.175
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.18179872285135443,0.06162464985994398,0.15108619213882374,0.07719298245614034,0.0,0.05672514619883041
The surprising similarities between Twister and intelligence,Health,0,0,0,0,0,0
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.3438240787415823,0.03168498168498168,0.2585939418615172,0.07586722488038278,0.015882352941176472,0.06753389154704945
Why beavers are the smartest thing in fur pants,Science & Technology,0.3205882352941176,0.07521367521367521,0.20539215686274512,0.02699346405228758,0.0,0.02699346405228758
Why we should draw more (and photograph less),Physical Fitness,0.25986731288733517,0.039247648902821314,0.18464563801048786,0.12703943115707822,0.0,0.09617111216956417
The history of manners,Psychology,0.2183702791461412,0.02272727272727273,0.20170361247947455,0.0,0.0,0.0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.45135786173898695,0.27891067538126363,0.45135786173898695,0.17873949579831935,0.02,0.17873949579831935
Art with Mati and Dada – Henri Matisse,Visual Arts,0.2461414586824235,0.07534391534391535,0.21208348766793073,0.0,0.0,0.0
Why don't haircuts hurt?,Science & Technology,0.3143939393939394,0.17015873015873015,0.3143939393939394,0.12155922018476036,0.0,0.11388470300946918
