Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3586753207805839,0.1326666666666666,0.3068534584324058,0.0125,0.0,0.0125
Why does everyone hate pigeons?,Science & Technology,0.4815214591583761,0.1697263993316625,0.4329920473936701,0.079011544011544,0.02,0.079011544011544
Is it normal to talk to yourself?,Psychology,0.3964875584185929,0.1294492269320644,0.3343135025893646,0.111409048467872,0.0409722222222222,0.111409048467872
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3218575851393189,0.1213071895424836,0.3218575851393189,0.0389358577439072,0.0,0.0389358577439072
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3510061398296693,0.1462272727272727,0.3194909883145177,0.1184523809523809,0.0,0.1175
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.4622126022126022,0.2087647323436797,0.4288792688792688,0.2466271228771228,0.0174999999999999,0.2466271228771228
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.3051276040931213,0.0838285255622716,0.2439127528782701,0.0889261767925561,0.0,0.0823529009304871
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.286562425965411,0.1335565813694997,0.2370291400142146,0.0679109090143573,0.0180754917597022,0.0679109090143573
Why should you wear sunscreen?,Science & Technology,0.2532263814616756,0.0767676767676767,0.2165597147950089,0.1883564750374828,0.0451683432890526,0.1657464085597078
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.3790801790801791,0.1113859649122807,0.3475986975986976,0.1819646040234275,0.073015873015873,0.1819646040234275
Food waste causes climate change. Here's how we stop it,Science & Technology,0.422573850160057,0.113196948809852,0.3030800617007513,0.0195833333333333,0.0076923076923076,0.0195833333333333
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.4463873517786562,0.1483643892339544,0.2916679841897233,0.2438343454790822,0.0,0.2132485058800848
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2335640807047457,0.0343589743589743,0.179238798901203,0.1051391152706942,0.0153846153846153,0.1015676866992656
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.2707407407407407,0.0587301587301587,0.2077777777777777,0.1517618329383035,0.01,0.1355162321338792
The race to decode a mysterious language - Susan Lupack,Linguistics,0.2843390804597701,0.1291678691678691,0.2718390804597701,0.0305357142857142,0.0,0.0305357142857142
What if all the ice melted on Earth?,Science & Technology,0.3652986251972053,0.0764444444444444,0.3035339193148524,0.0777777777777777,0.0,0.0777777777777777
Why are you always tired?,Health,0.1680718770373943,0.0148148148148148,0.0986247979351427,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.4251115618661257,0.1450368069933287,0.3384557133198106,0.075,0.05,0.075
I Like Myself - Children's books read aloud,Literature,0.1504323664949851,0.0,0.1241958073552001,0.0671367521367521,0.0,0.0671367521367521
