Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.732998731162432,0.09630616643549904
Why does everyone hate pigeons?,Science & Technology,0.762838259475809,0.22768721959119853
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7086028402404931,0.854730813043034
Is it normal to talk to yourself?,Psychology,0.7316260696408814,0.4271317646544241
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7280626879435171,0.5149206738163719
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.6826794985306627,0.24942833329249092
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7425867835213228,0.31591909438179444
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6590572040395772,0.27028040594823194
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7260878622611664,0.6380142127077781
Why should you wear sunscreen?,Science & Technology,0.7371843000883362,0.2108156688541602
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7243443638846677,0.763595363444305
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7249779038604548,0.7868535438410069
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7243506195601791,0.20520568257212032
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.8006517220213103,0.5529010480927539
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7295551150547069,0.2589262608000521
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7498435179862641,0.4467027333689062
What if all the ice melted on Earth?,Science & Technology,0.7072617829057453,0.6809575796037588
Why are you always tired?,Health,0.6981504885569972,0.5083194147019718
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7157334501198115,0.700946510156755
I Like Myself - Children's books read aloud,Literature,0.7759262465835803,0.6507445981350501
What is schizophrenia? - Anees Bahji,Health,0.7169081315771791,0.5429190351558455
How do pelicans survive their death-defying dives?,Environmental Science,0.7450880207763421,0.18617811892898567
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7371559522514979,0.5065839307392488
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6988216632176308,0.41626977920524044
Fabulous food chains,Environmental Science,0.7429933010599192,0.38999664262360767
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7367560171416836,0.16700457052953047
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.7160556664996278,0.44018309781646625
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7328736912422591,0.21327510007995473
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7461517898258428,1.0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7206656064311205,0.5645158111025154
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7275751591202553,0.2849221416055073
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7556992118011979,0.5131911997957295
The counting by fives song | Counting songs,Numbers & Operations,0.7234894049492259,0.3221704442524978
Why do we have leap years?,Teaching & Education,0.6688333897184843,0.5549749549356118
Is binge watching bad for you?,Health,0.7232870402940423,0.7851482723518257
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.7290359949110583,0.818200014085221
Why do we wrinkle when wet?,Health,0.7012371261129582,0.4417523955189135
3D shapes song | Shapes for kids,Geometry,0.7336279233591607,0.6254844411268982
The most common STI in the world - Emma Bryce,Literature & Language,0.7320009365622587,0.39823325904127843
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.7642109542903102,0.47191918835554747
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7407553948498713,0.9853553390593273
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.691746044419879,1.0
