Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.1390873015873016,0.0384615384615384,0.1390873015873016,0.0208333333333333,0.0,0.0208333333333333
Is it normal to talk to yourself?,Psychology,0.9,0.8888888888888888,0.9,1.0,0.25,1.0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.2694805194805194,0.0769230769230769,0.1883116883116883,0.0,0.0,0.0
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.1803447011367803,0.0351515151515151,0.1208339881607208,0.0557194267720583,0.0128205128205128,0.0557194267720583
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.625068017637677,0.3020794633642931,0.582490986825352,0.2561201131170171,0.0653465772273821,0.2561201131170171
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.1534466205837173,0.0,0.1373175883256528,0.0321969696969696,0.0,0.0321969696969696
Why should you wear sunscreen?,Science & Technology,0.2086247086247086,0.1136363636363636,0.2086247086247086,0.0655388471177945,0.0,0.056610275689223
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.4148871017941227,0.1416777188328912,0.345694406794976,0.2131757131757131,0.0944444444444444,0.2131757131757131
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2239292681269835,0.0266666666666666,0.1919543464968894,0.2737301015977486,0.1153846153846153,0.2701586730263201
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3008695652173913,0.1904761904761905,0.3008695652173913,0.0,0.0,0.0
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3448275862068966,0.2222222222222222,0.3448275862068966,0.0,0.0,0.0
Why are you always tired?,Health,0.1483653482250957,0.0,0.1192648191245666,0.0,0.0,0.0
I Like Myself - Children's books read aloud,Literature,0.122053872053872,0.0,0.1012205387205387,0.0476190476190476,0.0,0.0476190476190476
What is schizophrenia? - Anees Bahji,Health,0.3157894736842105,0.0,0.3157894736842105,0.0,0.0,0.0
How do pelicans survive their death-defying dives?,Environmental Science,0.1716348701642819,0.0,0.1275172231054583,0.0089285714285714,0.0,0.0089285714285714
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.2307772850455777,0.025,0.2185821630943582,0.0,0.0,0.0
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.2265126178169656,0.0952380952380952,0.1975271105705888,0.0238095238095238,0.0,0.0238095238095238
Fabulous food chains,Environmental Science,0.1986646701463164,0.0148148148148148,0.1559683408915889,0.0142857142857142,0.0,0.0142857142857142
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.1054580896686159,0.0,0.1054580896686159,0.0,0.0,0.0
Volcanic eruption explained - Steven Anderson,Science & Technology,0.4137931034482758,0.2222222222222222,0.3448275862068966,0.0416666666666666,0.0,0.0416666666666666
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.3876365046427299,0.139918864097363,0.3137117734599342,0.0499278499278499,0.0056818181818181,0.0499278499278499
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.3726482213438735,0.079047619047619,0.2850750988142292,0.0166666666666666,0.0,0.0166666666666666
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.4388685388685388,0.1787692307692307,0.4388685388685388,0.2817301979066685,0.1000383344090437,0.2719430406195112
