page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
68,1,1,2,0.8,1.0,0.6,0.9,0.825
68,1,2,9,1.0,1.0,0.8,1.0,0.95
68,1,3,5,0.8,0.5,0.6,0.9,0.7
68,2,1,6,0.6,0.0,0.8,1.0,0.6
68,2,2,7,0.2,0.0,0.8,0.9,0.475
68,2,3,1,0.9,0.8,0.7,0.9,0.825
68,2,4,2,0.8,0.0,0.8,1.0,0.65
68,2,5,3,0.9,1.0,0.8,0.9,0.9
68,3,1,1,0.9,1.0,0.8,0.9,0.9
68,3,2,2,0.6,0.5,0.4,0.8,0.575
68,3,3,8,0.6,0.5,0.8,0.9,0.7
68,3,4,7,0.4,0.5,0.8,0.9,0.65
68,3,5,5,0.9,0.75,0.8,0.95,0.85
68,4,1,1,0.6,0.0,0.8,0.9,0.575
68,4,2,1,0.8,0.0,0.6,0.9,0.575
68,4,3,7,0.5,0.0,0.75,0.9,0.5375
68,4,4,3,0.9,0.8,0.7,0.9,0.825
68,4,5,7,0.6,0.5,0.8,0.9,0.7
68,5,1,2,0.9,1.0,0.8,0.9,0.9
68,5,2,2,0.9,1.0,0.8,0.9,0.9
68,5,3,4,0.8,0.5,0.8,0.9,0.75
68,5,4,7,0.8,0.0,0.6,0.9,0.575
68,5,5,8,0.8,1.0,0.6,0.9,0.825
68,6,1,1,0.8,0.5,0.6,0.9,0.7
68,6,2,2,0.9,0.8,0.7,0.9,0.825
68,6,3,2,0.6,0.0,0.8,0.9,0.575
68,6,4,11,0.5,0.0,0.75,0.9,0.5375
68,6,5,7,0.8,0.8,0.6,0.9,0.775
68,7,1,8,0.0,0.0,0.8,0.9,0.17
68,7,2,9,0.0,0.0,0.8,1.0,0.45
68,7,3,8,0.5,0.8,0.6,0.9,0.7
68,7,4,2,0.0,0.0,0.8,0.9,0.425
68,7,5,6,0.0,0.0,0.5,1.0,0.375
68,8,1,2,0.8,0.6,0.8,0.9,0.775
68,8,2,8,0.6,0.5,0.8,0.9,0.7
68,8,3,7,0.9,1.0,0.8,0.9,0.9
68,8,4,7,0.9,1.0,0.8,1.0,0.925
68,8,5,6,0.8,1.0,0.6,0.9,0.825
68,9,1,14,0.9,1.0,0.8,0.9,0.9
68,9,2,5,0.2,0.0,0.0,0.8,0.25
68,9,3,12,0.2,0.0,0.5,0.8,0.375
68,9,4,11,0.2,0.0,0.8,0.9,0.475
68,9,5,10,0.9,1.0,0.8,0.9,0.9
68,10,1,1,0.0,0.0,0.5,1.0,0.375
68,10,2,6,0.0,0.0,0.5,1.0,0.375
68,10,4,2,0.0,0.0,0.5,1.0,0.375
68,10,5,5,0.0,0.0,0.5,1.0,0.375
68,11,1,4,0.0,0.0,0.5,1.0,0.375
68,11,2,2,0.9,0.0,0.5,0.9,0.575
68,11,3,3,1.0,1.0,0.75,1.0,0.9375
68,11,4,12,0.6,0.5,0.8,0.9,0.7
68,11,5,9,0.6,0.5,0.8,0.9,0.7
68,12,1,1,0.8,0.8,0.6,0.9,0.775
68,12,2,2,1.0,1.0,0.8,1.0,0.95
68,12,3,6,0.8,0.8,0.6,0.9,0.775
68,12,4,8,0.9,0.0,0.8,0.9,0.65
68,12,5,10,0.6,0.0,0.8,0.9,0.575
68,13,1,1,0.2,0.0,0.5,1.0,0.425
68,13,2,1,1.0,1.0,0.75,1.0,0.9375
68,13,3,2,0.2,0.0,0.5,0.8,0.375
68,13,4,5,0.9,1.0,0.8,0.9,0.9
