Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7195314472671095,0.256216509653446
Why does everyone hate pigeons?,Science & Technology,0.7575299705592874,0.19772977890063248
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7132335447810544,0.8913451048994506
Is it normal to talk to yourself?,Psychology,0.7071856450738742,0.5085142294791496
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7083748396691391,0.6698525471618121
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7244158497792915,0.43584416228636585
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7425492698396993,0.34010244017276864
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6963932695974528,0.2615743044493261
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7190334074905012,0.4713859099908021
Why should you wear sunscreen?,Science & Technology,0.7361623129339117,0.13580848629555842
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7188760882416071,0.7547967614184921
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7179459791890055,0.5852572919711443
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7406423799077604,0.2716710090416419
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7424828888714089,0.4759869034127206
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.6946811628542189,0.31556228589851193
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6474376578578785,0.3572469778968485
What if all the ice melted on Earth?,Science & Technology,0.6731103112452537,0.8574658139667086
Why are you always tired?,Health,0.7153361788869507,0.6018075951087757
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7486441406696915,0.655945153958643
I Like Myself - Children's books read aloud,Literature,0.7432216536804728,0.6069770911539203
What is schizophrenia? - Anees Bahji,Health,0.7050266548447401,0.5540138327197769
How do pelicans survive their death-defying dives?,Environmental Science,0.7221976724118846,0.16593995274588424
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7239394189389428,0.5105624136510644
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.703950869326162,0.5807168842158841
Fabulous food chains,Environmental Science,0.7034123466562958,0.5417769260293749
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7335830494589175,0.3163028466214023
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.7076536301607185,0.4324855201057344
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7268931802580327,0.2383285324444501
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7568421943279284,1.0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7379836442359545,0.6279759058852473
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7596995285873276,0.359188514638206
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7011349243324491,0.4883328232868116
The counting by fives song | Counting songs,Numbers & Operations,0.7463814961238214,0.4143304662824055
Why do we have leap years?,Teaching & Education,0.6901036665783736,0.5163231492292574
Is binge watching bad for you?,Health,0.7217295251091107,0.7602725719955751
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.7367325114736882,0.7772357069006851
Why do we wrinkle when wet?,Health,0.7266311427546108,0.300870744140742
3D shapes song | Shapes for kids,Geometry,0.7440846684615761,0.5858203869287155
The most common STI in the world - Emma Bryce,Literature & Language,0.6999640449703348,0.46424629414418545
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.8560021918201433,0.35964739176291577
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7633552918448602,0.9359507181170954
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7017218015228577,1.0
The surprising similarities between Twister and intelligence,Health,0.7327783663206876,0.4965889259222326
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.6581231180851839,0.47067419689867973
Why beavers are the smartest thing in fur pants,Science & Technology,0.7107210689882806,0.4169412880347463
Why we should draw more (and photograph less),Physical Fitness,0.6799353487969091,0.35521298032933146
The history of manners,Psychology,0.7006530685771508,0.5698828773592008
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.6812362606237378,1.0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7140124064092832,0.5575335747287162
Why don't haircuts hurt?,Science & Technology,0.6911039319986865,0.01936941377000378
An Exercise in Self Compassion,Emotional Health,0.6791907163609399,0.5504586960190362
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.7329450839569727,0.39552246806927377
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0.7628389370664623,0.41090067094661065
Why some people don't have an inner monologue,Psychology,0.6408620173943828,0.486160909968789
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.7101178379373423,0.8760520715817479
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0.7096489529938724,0.6630637073732962
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0.6937851767212376,0.17897863743669798
The counting by tens song | Counting songs,Numbers & Operations,0.7451440666202215,0.5488938295300834
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.7387644583376354,0.4190552588228324
The physics of surfing - Nick Pizzo,Science & Technology,0.7447208417844655,0.2945791421502928
Why do these deadly insects look like flowers?,Science & Technology,0.7100759324295345,0.5754836849618887
Better know the Mona Lisa,Visual Arts,0.6925852439831448,0.6393854153767553
SH | fun phonics | how to read,Literature & Language,0.7220934004488692,0.5526390032991405
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.698870523468295,0.6137601438612201
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.6978997723448024,0.5111682178647633
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.7960646419641293,0.39685888734935626
The science of Flint's water crisis,Public Health,0.6999771222190956,0.4366352471654468
How bones make blood - Melody Smith,Health,0.7279540419170966,0.3997387891091746
How soap kills the coronavirus,Public Health,0.6862282686182509,0.573285537280015
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.7767699203834326,0.6473867333997954
The world's ugliest animal,Environmental Science,0.736285361905236,0.2796265320690099
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.707669836365968,0.5115611588281881
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0.7125462722735202,0.3868417135979231
What happens when you lose a balloon?,Science & Technology,0.7404385474284927,0.5102220187036631
The quest for the perfect apple,Science & Technology,0.710644632121433,0.611013802005995
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.6983935316687407,0.18649604434312705
Why perfect grades don't matter,Teaching & Education,0.6944323840854701,1.0
Can you trust your ears? (audio illusions),Health,0.7303014363263236,0.3650717244686439
Why is my leg asleep?,Health,0.7255175819251377,0.2761960335227277
Why don't we throw trash in volcanoes?,Science & Technology,0.6720299638040368,0.44310346520519756
