Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3411888111888112,0.10636363636363637,0.29223776223776227,0.12524570697844353,0.028571428571428574,0.12524570697844353
Why does everyone hate pigeons?,Science & Technology,0.4033333333333333,0.16110833610833614,0.39,0.15215007215007212,0.023076923076923075,0.12992784992784992
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0,0,0,0,0
Is it normal to talk to yourself?,Psychology,0.2839834368530021,0.09222757918410093,0.20274534161490682,0.03616452991452991,0.00625,0.03616452991452991
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3304387172929372,0.09632478632478632,0.29152469014361604,0.17716411940549873,0.1,0.17716411940549873
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.30791815081470253,0.11313018704323052,0.30791815081470253,0.06713235294117648,0.007692307692307693,0.06713235294117648
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.42835309617918316,0.15462074157726333,0.3189038208168643,0.23859021796244173,0.03867243867243868,0.21048042141224266
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2754337484610081,0.10705128205128205,0.24938332829294088,0.19413219024983736,0.04661538461538461,0.18134599496364207
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.22445493752628964,0.033431273218507265,0.1406288174435308,0.1860590675664205,0.03715710917798204,0.13998077384106797
Why should you wear sunscreen?,Science & Technology,0.2716427432216906,0.020000000000000004,0.21135566188197769,0.08616119102103084,0.0,0.08060563546547529
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.5414314381270903,0.20263975155279504,0.49338015607580826,0.23560897435897435,0.06845238095238095,0.23560897435897435
Food waste causes climate change. Here's how we stop it,Science & Technology,0.4422676470729863,0.1560746508466197,0.28521772628557945,0.0,0.0,0.0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.3685184508586044,0.20906832298136643,0.3435184508586044,0.13275127323656738,0.008333333333333333,0.12097565914477679
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.32727009832272985,0.06493506493506493,0.23478889531521108,0.17952052032934385,0.049743589743589736,0.1728538536626772
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.34894586894586893,0.16735353535353537,0.31413105413105413,0.07615466233113291,0.008333333333333333,0.06973086553968907
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3615619333190548,0.1440412625767317,0.3448952666523881,0.020601387340517776,0.0,0.020601387340517776
What if all the ice melted on Earth?,Science & Technology,0.3344642330849227,0.011764705882352941,0.239738958359648,0.060501831501831506,0.0,0.060501831501831506
Why are you always tired?,Health,0.17091575091575092,0.015384615384615382,0.1245787545787546,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.38308300395256917,0.17884057971014494,0.38308300395256917,0.10627816627816629,0.08333333333333333,0.10627816627816629
I Like Myself - Children's books read aloud,Literature,0.103451885804827,0.0,0.103451885804827,0.0744949494949495,0.0,0.0744949494949495
What is schizophrenia? - Anees Bahji,Health,0.36071428571428565,0.07819548872180451,0.2957142857142857,0.06166666666666667,0.0,0.06166666666666667
How do pelicans survive their death-defying dives?,Environmental Science,0.41116583313487337,0.08139904610492846,0.2777092958640946,0.23666795622677977,0.12545454545454543,0.22897564853447205
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.3618457909479581,0.07058823529411765,0.34279817190033907,0.022424242424242423,0.007692307692307691,0.022424242424242423
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.4357202797202797,0.19516908212560385,0.38335664335664327,0.08727272727272728,0.011111111111111112,0.08727272727272728
Fabulous food chains,Environmental Science,0.41700466200466196,0.2784415584415585,0.3903379953379953,0.051501831501831505,0.025384615384615384,0.051501831501831505
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.2684278812974465,0.09167337315621069,0.23436991028295373,0.19724905924828523,0.07727429575255663,0.1826657259149519
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.30807977207977205,0.04676923076923077,0.276079772079772,0.20497111505625437,0.0,0.20444479926678066
Volcanic eruption explained - Steven Anderson,Science & Technology,0.23783094098883573,0.08356676003734827,0.23783094098883573,0.13770068480897665,0.022406015037593985,0.12577086024757317
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.3751821655047461,0.12698288864617463,0.3103863878057426,0.01111111111111111,0.0,0.01111111111111111
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.3382251082251082,0.034782608695652174,0.21443290043290048,0.08440693078850972,0.0,0.0692283593599383
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.4525063172121995,0.18205128205128207,0.4289769054474936,0.17026493673165496,0.013574660633484162,0.1624807704335568
How this disease changes the shape of your cells - Amber M. Yates,Health,0.47123691581895927,0.22563467492260064,0.45218929677134023,0.030952380952380953,0.0,0.030952380952380953
The counting by fives song | Counting songs,Numbers & Operations,0.25875709475709474,0.054443935926773455,0.1954747474747475,0.02,0.0,0.02
Why do we have leap years?,Teaching & Education,0.2241834028040924,0.014285714285714287,0.21039029935581657,0.08380952380952382,0.0,0.08380952380952382
Is binge watching bad for you?,Health,0.28737688376786125,0.10564395971154417,0.19529277739804057,0.065,0.0,0.065
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0,0,0,0,0
Why do we wrinkle when wet?,Health,0.17403295629102083,0.026315789473684213,0.1340944002234325,0.017857142857142856,0.010416666666666668,0.017857142857142856
3D shapes song | Shapes for kids,Geometry,0.40885547201336686,0.11416408668730652,0.30726817042606513,0.45,0.03333333333333333,0.45
The most common STI in the world - Emma Bryce,Literature & Language,0.44761904761904764,0.22995951417004049,0.40634920634920635,0.24773559773559778,0.05773809523809524,0.24630702630702633
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.267315233785822,0.016666666666666666,0.20026395173453998,0.065,0.05,0.065
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.420960085665968,0.11087481146304674,0.33846741493800325,0.20247326203208554,0.13333333333333333,0.20247326203208554
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.2061207407458257,0.01111111111111111,0.13765085728538118,0.04166666666666667,0.0,0.03611111111111111
The surprising similarities between Twister and intelligence,Health,0.3497282913165266,0.07436100131752305,0.30529691876750703,0.21956099456099457,0.125,0.20844988344988344
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.31754962335607495,0.1116390977443609,0.30673881254526414,0.0071428571428571435,0.0,0.0071428571428571435
Why beavers are the smartest thing in fur pants,Science & Technology,0.26328671328671327,0.08787878787878786,0.18100233100233104,0.03441359079516974,0.0,0.03441359079516974
Why we should draw more (and photograph less),Physical Fitness,0.21502217081164451,0.01666666666666667,0.14815885868517448,0.27204013494656587,0.0771184371184371,0.24918474278970307
The history of manners,Psychology,0,0,0,0,0,0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.4846162464985994,0.17598779557589628,0.4295686274509804,0.15,0.03333333333333333,0.15
Art with Mati and Dada – Henri Matisse,Visual Arts,0.34388779435219063,0.13929211469534047,0.33212308846983774,0.049591503267973853,0.005263157894736843,0.049591503267973853
Why don't haircuts hurt?,Science & Technology,0.25811325928972984,0.048888888888888885,0.21791718085835732,0.1798425047529907,0.04607004964147822,0.1650646426605506
An Exercise in Self Compassion,Emotional Health,0.26446753246753246,0.09483491337038248,0.21541991341991343,0.1978968253968254,0.1,0.1978968253968254
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.41360764839025704,0.10780645161290323,0.25524362915667265,0.08336441336441336,0.023026315789473683,0.07923520923520924
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0.4521817363922628,0.22573015220074044,0.4044624381466487,0.11874215398128443,0.0,0.11874215398128443
Why some people don't have an inner monologue,Psychology,0,0,0,0,0,0
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.3601598401598401,0.16143695014662757,0.29605727605727605,0.10746753246753246,0.023076923076923075,0.10032467532467533
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0.3062346848553745,0.1345117845117845,0.2908500694707591,0.01769230769230769,0.0,0.01769230769230769
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0,0,0,0,0,0
The counting by tens song | Counting songs,Numbers & Operations,0.2817734801430453,0.08771929824561403,0.2817734801430453,0.2553571428571429,0.175,0.2553571428571429
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.31172818925140905,0.0,0.29634357386679366,0.030717517776341307,0.0,0.030717517776341307
The physics of surfing - Nick Pizzo,Science & Technology,0.28154061624649857,0.06549707602339182,0.25296918767507004,0.10930555555555554,0.019642857142857142,0.10263888888888888
Why do these deadly insects look like flowers?,Science & Technology,0.2075098814229249,0.06537075827398409,0.18205533596837947,0.05807533539731682,0.0,0.05807533539731682
Better know the Mona Lisa,Visual Arts,0.29361471861471855,0.02,0.18463203463203465,0.0,0.0,0.0
SH | fun phonics | how to read,Literature & Language,0.32002005012531326,0.11050275945618522,0.25297243107769424,0.011111111111111112,0.0,0.011111111111111112
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.2950863749411844,0.06262626262626263,0.19542582509914633,0.0,0.0,0.0
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.289575972194898,0.029891304347826088,0.16257380811856512,0.09928571428571428,0.0,0.09928571428571428
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.3295238095238095,0.0,0.1662857142857143,0.04464035964035963,0.0,0.04464035964035963
The science of Flint's water crisis,Public Health,0,0,0,0,0,0
How bones make blood - Melody Smith,Health,0.3075987496447854,0.07555555555555556,0.2635407786302927,0.11498399261557157,0.0225,0.09820077583235479
How soap kills the coronavirus,Public Health,0.33528935532233883,0.08511617207269381,0.2939100449775112,0.2204562877782692,0.0642156862745098,0.21038208265762445
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.4334141348847231,0.13,0.37764490411549234,0.13976190476190475,0.05,0.13976190476190475
The world's ugliest animal,Environmental Science,0.46352924494859976,0.14163097876898872,0.3060063807160582,0.22916986750106955,0.06565596654412444,0.21251111704436512
