Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.744190324934859,0.1137363657495811
Why does everyone hate pigeons?,Science & Technology,0.7640123376941552,0.1716447580006572
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7437080527769677,1.0
Is it normal to talk to yourself?,Psychology,0.7262676115208546,0.4798014657547724
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7102084322421665,0.5977055056868642
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.6920444885409913,0.39790662710586244
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.6715689155637451,0.2682884884304773
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.7235038819402443,0.33487237030011036
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.706219550147524,0.5119658787763155
Why should you wear sunscreen?,Science & Technology,0.6944663876070213,0.34155275847504596
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7313266869616617,0.770008932913698
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7019902164084939,0.7973908697577995
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7328752892606791,0.24290390121850297
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7720911574789533,0.4991115945728148
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.6863598569079412,0.38255455835872765
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6892291715519072,0.4642540417820891
What if all the ice melted on Earth?,Science & Technology,0.7261251919045403,0.7314703097562245
Why are you always tired?,Health,0.7502987268712892,0.5174660209782193
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7443927345697692,0.7644219778580567
I Like Myself - Children's books read aloud,Literature,0.7418124572751157,0.5309098328204461
What is schizophrenia? - Anees Bahji,Health,0.7286225666355683,0.4906469109269313
How do pelicans survive their death-defying dives?,Environmental Science,0.7463077212968866,0.20484539449614042
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7429797381445857,0.4369401021977882
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6569201679819814,0.6128447094885024
Fabulous food chains,Environmental Science,0.7473339689725471,0.41873811712526443
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7456344610970764,0.3050773391245303
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.7500086620452594,0.34354567500805505
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7230304324584005,0.2038898402896371
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7602773834476996,0.9565864710220733
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7088138735073748,0.5252822920498293
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7011493996625301,0.332168419404984
How this disease changes the shape of your cells - Amber M. Yates,Health,0.692159249384148,0.6359427381145105
The counting by fives song | Counting songs,Numbers & Operations,0.7305243343937343,0.5462455923802676
Why do we have leap years?,Teaching & Education,0.6196934200024966,0.5586782237449235
Is binge watching bad for you?,Health,0.7295921421956294,0.5945908165114623
