Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7185745810481453,0.17477711287559342
Why does everyone hate pigeons?,Science & Technology,0.7804120197081809,0.16482868016129587
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7200816975592679,0.6659676405226931
Is it normal to talk to yourself?,Psychology,0.7714637036768742,0.4393328746682855
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.6847683830124364,0.555608391327578
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7083576371029243,0.38305983840428526
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7084142221736951,0.2719443046214385
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.7466335581648001,0.25437521149258163
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7084356679383959,0.5670849763032596
Why should you wear sunscreen?,Science & Technology,0.7409651272656805,0.31420107082071846
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7222831757480968,0.44581395071162133
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7083074773478131,0.9558331661517554
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7039792528804724,0.2126870031693266
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7166899239692794,0.5729113330357846
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7430582261213837,0.4121192685981977
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7001325089353465,0.43617422210858436
What if all the ice melted on Earth?,Science & Technology,0.7225399700799511,0.7184653056395502
Why are you always tired?,Health,0.7099265773595036,0.5380211954197421
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7647886963801215,0.6588579155792564
I Like Myself - Children's books read aloud,Literature,0.7430606372578761,0.663211553510143
What is schizophrenia? - Anees Bahji,Health,0.7123280590821967,0.6518664562625613
How do pelicans survive their death-defying dives?,Environmental Science,0.6916864241354711,0.1365654749133593
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7370939610573364,0.5510925938869743
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7148481862587922,0.5241354971281023
Fabulous food chains,Environmental Science,0.8091724994651628,0.4327247970762186
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7435361149884473,0.23835807144463672
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6873752499498238,0.4791521769104009
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7444098173805636,0.12547768931905262
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7511073036900546,0.9572915997049611
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7453965763865933,0.713973591319178
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7423853688246103,0.33898065837580893
How this disease changes the shape of your cells - Amber M. Yates,Health,0.6949818003234072,0.6708106954835873
The counting by fives song | Counting songs,Numbers & Operations,0.7510161509712965,0.4121204479553497
Why do we have leap years?,Teaching & Education,0.6949240594002548,0.6092275825540051
Is binge watching bad for you?,Health,0.7238556927374491,0.547326109369952
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.7203554585633744,0.8762524627527419
Why do we wrinkle when wet?,Health,0.7135544943516157,0.4231979334658506
3D shapes song | Shapes for kids,Geometry,0.7563860616166732,0.6647777023842465
The most common STI in the world - Emma Bryce,Literature & Language,0.7093469813540738,0.5904043263044764
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.7794306337722714,0.2849926920618467
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7969825517848695,0.8784025018531354
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.6904571007667349,0.9666156196149019
The surprising similarities between Twister and intelligence,Health,0.7513219710701395,0.5357431000903852
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.6752753510627441,0.4597084208353956
Why beavers are the smartest thing in fur pants,Science & Technology,0.7385596420805366,0.47863411686219
Why we should draw more (and photograph less),Physical Fitness,0.726413807026158,0.2990716896274539
The history of manners,Psychology,0.682437642049667,0.5149045033131116
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.7359202070089275,1.0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7429540909564641,0.49962726200232355
Why don't haircuts hurt?,Science & Technology,0.737372224886769,0.014457653396773481
An Exercise in Self Compassion,Emotional Health,0.7131439305954187,0.6515762240545931
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.736186965712346,0.4060385581450611
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0.7617723283016473,0.47561933597974015
Why some people don't have an inner monologue,Psychology,0.6665294684107446,0.4542639045376484
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.7202532633571785,0.7714320788916975
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0.7082122033427787,0.7698269638499219
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0.7252443931822222,0.3913265750656535
The counting by tens song | Counting songs,Numbers & Operations,0.7417374421218701,0.5369156662406718
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.7074316271806337,0.564186288651489
The physics of surfing - Nick Pizzo,Science & Technology,0.7549614559024503,0.42118385795888624
Why do these deadly insects look like flowers?,Science & Technology,0.7029431528408365,0.3876636867854194
Better know the Mona Lisa,Visual Arts,0.6997971411361107,0.6544756607855621
SH | fun phonics | how to read,Literature & Language,0.7193335842944,0.5985853437501579
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.7139607287965817,0.7939703029421087
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.7564369503797858,0.6237654175792738
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.7837546927493967,0.5772929108807314
The science of Flint's water crisis,Public Health,0.6930552480748086,0.4700814956941485
How bones make blood - Melody Smith,Health,0.7324308474282365,0.570794575622196
How soap kills the coronavirus,Public Health,0.6867788306795514,0.3424645731924497
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.7715808912850262,0.6629937817741289
The world's ugliest animal,Environmental Science,0.7699057672474139,0.30188686730602826
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.719670714572375,0.5355020927170469
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0.7142479441677898,0.3082239877443082
What happens when you lose a balloon?,Science & Technology,0.712784012780366,0.45608106844116153
The quest for the perfect apple,Science & Technology,0.7343023964935125,0.6374344840175403
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.7185245029776807,0.16595406452630607
Why perfect grades don't matter,Teaching & Education,0.6813322662986241,1.0
Can you trust your ears? (audio illusions),Health,0.69665611175078,0.5277445761783404
Why is my leg asleep?,Health,0.7466399303444893,0.43411541538599374
Why don't we throw trash in volcanoes?,Science & Technology,0.6552151190334485,0.5409239893204105
Is life meaningless? And other absurd questions - Nina Medvinskaya,Philosophy,0.7449469732059373,0.2921171082388576
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0.7304420778636955,0.4482391734276412
Why do American schools have such long hours?,Teaching & Education,0.6705885489101936,0.6896545274611479
Here Comes Teacher Cat - Read aloud picture book,Literature,0.7286954973076362,0.2438923103382383
What happens when nature goes viral?,Science & Technology,0.7042197793500564,0.679116671515829
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0.7343648746996153,0.5846528225624368
How Thor got his hammer - Scott A. Mellor,Social Studies,0.7212396329787528,0.5128647009796078
Helping others makes us happier--- but it matters how we do it - Elizabeth Dunn,Psychology,0.7115731980594574,0.20226090313695605
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",Social Studies,0.7320319562659768,0.6364892353884317
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0.7395363121843138,0.6125616485649771
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0.6784218512302785,0.6333318260419838
The Princess and the Pea - Read aloud picture book,Literature,0.7561527439867823,0.36034370982612585
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0.7061916475463642,0.43926904580841875
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0.681827583291345,0.6261906439133972
Why parrots can talk like humans,Life Sciences,0.6791968378747607,0.6429592029275248
Your brain hallucinates your conscious reality - Anil Seth,"Consciousness, Sensation and Perception",0.6783992252897383,0.3893559461066564
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0.678778571649066,0.4404383597921114
What is depression? - Helen M. Farrell,Psychology,0.7279869818568485,0.8182294173185423
Why does smoke follow you around a fire?,Science & Technology,0.6644401749331219,0.47311304102920404
How to deal with rejection,Psychology,0.7442299794618163,0.2695804637357374
