Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.2778754578754578,0.0474358974358974,0.2471062271062271,0.2457135955831607,0.1051289290419725,0.2457135955831607
Why does everyone hate pigeons?,Science & Technology,0.5447721396250808,0.2475438596491228,0.472713316095669,0.0751813403987317,0.0095238095238095,0.0706358858532771
Is it normal to talk to yourself?,Psychology,0.3617289377289377,0.1115288220551378,0.2866813186813187,0.184551282051282,0.125,0.184551282051282
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.2972498213860443,0.0912801932367149,0.2656708740176232,0.28008658008658,0.1644444444444444,0.28008658008658
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3718626201384822,0.1881481481481481,0.3157049846705019,0.06,0.0,0.06
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.6050459482038428,0.2714654282765738,0.5479030910609858,0.2185633720424742,0.0071428571428571,0.2180370562530005
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.3078344187039607,0.1030998389694041,0.2585697128216078,0.0697888827145793,0.0,0.059284681033907
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.2815148771006182,0.0863457989039384,0.2159792049333289,0.0915945574221436,0.0,0.0707191365467227
Why should you wear sunscreen?,Science & Technology,0.3148902821316613,0.105993265993266,0.2430512016718913,0.0831266772443243,0.009090909090909,0.0831266772443243
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.5315504089697638,0.2792528735632184,0.4143736788898079,0.2428769841269841,0.0552380952380952,0.2428769841269841
Food waste causes climate change. Here's how we stop it,Science & Technology,0.3722006090495054,0.1381684723249235,0.2730464871857062,0.0,0.0,0.0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.5333903743315508,0.2540969899665551,0.3929533995416348,0.1693345543345543,0.0143540669856459,0.1656308506308506
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2252587991718426,0.0,0.1562111801242235,0.1893340331068525,0.0148148148148148,0.1893340331068525
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.313103448275862,0.074074074074074,0.2383908045977011,0.0787505751902036,0.0,0.0685919064595535
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3593829401088929,0.1583538465891407,0.33652579725175,0.0799821473066254,0.0118364337568058,0.0690532596225195
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.4004199268224035,0.1630635732553891,0.3608905150576977,0.0785714285714285,0.0,0.0785714285714285
I Like Myself - Children's books read aloud,Literature,0.1209964875110429,0.0,0.1209964875110429,0.0811111111111111,0.0,0.0488888888888888
What is schizophrenia? - Anees Bahji,Health,0.3680837359098229,0.0879120879120879,0.2867874396135265,0.16,0.0333333333333333,0.16
How do pelicans survive their death-defying dives?,Environmental Science,0.3892929292929293,0.08,0.2995959595959596,0.2447729547714067,0.0338095238095238,0.2322729547714068
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.3128312730163024,0.1566600066600066,0.2990381695680265,0.125,0.0285714285714285,0.125
Fabulous food chains,Environmental Science,0.4965079365079365,0.2842637362637362,0.3973544973544973,0.0603383458646616,0.0117647058823529,0.0603383458646616
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.2577826086956521,0.0861358930924148,0.2202826086956522,0.1003883861236802,0.00625,0.0808459024635495
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.5227536231884058,0.1942279942279942,0.4019130434782608,0.0838932309520544,0.0071428571428571,0.0838932309520544
