page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
57,1,1,5,0.9,1.0,0.8,1.0,0.925
57,1,2,1,0.2,0.5,0.8,1.0,0.625
57,2,1,3,0.6,0.0,0.8,0.9,0.575
57,2,2,10,0.9,1.0,0.8,0.9,0.9
57,2,3,5,0.6,0.0,0.8,0.9,0.575
57,3,1,5,0.9,1.0,0.8,0.9,0.9
57,4,1,2,0.2,0.0,0.8,1.0,0.5
57,5,1,4,0.5,0.0,0.75,0.9,0.5375
57,5,2,2,0.0,0.0,0.5,0.5,0.25
57,6,1,4,0.5,0.0,0.75,0.9,0.5375
57,6,2,4,0.9,1.0,0.8,0.9,0.9
57,6,3,5,0.8,0.8,0.6,0.9,0.775
57,6,4,8,0.9,1.0,0.8,0.9,0.9
57,6,5,9,0.9,0.9,0.8,0.9,0.875
57,7,1,3,0.9,1.0,0.8,0.9,0.9
57,7,2,8,0.9,1.0,0.8,0.9,0.9
57,7,3,6,0.6,0.0,0.8,0.9,0.575
57,8,1,2,0.8,1.0,0.8,0.9,0.875
57,8,2,4,0.6,0.0,0.8,0.9,0.575
57,8,3,3,0.8,1.0,0.6,0.9,0.825
57,8,4,1,0.8,0.8,0.9,0.9,0.85
57,9,1,3,0.8,1.0,0.6,0.9,0.825
57,9,2,7,0.6,0.0,0.8,0.9,0.575
57,10,1,1,0.0,0.0,0.5,1.0,0.375
57,10,2,3,0.2,0.0,0.8,0.9,0.475
57,11,1,2,0.8,0.8,0.6,0.9,0.775
57,11,2,1,0.8,0.0,0.8,0.9,0.625
57,11,3,5,0.2,0.0,0.8,0.9,0.475
57,11,4,4,0.5,0.0,0.75,0.9,0.5375
57,12,1,1,0.0,0.0,0.8,1.0,0.45
57,12,2,1,0.9,1.0,0.8,0.9,0.9
57,13,1,4,0.9,1.0,0.8,0.9,0.9
57,13,2,5,0.8,0.0,0.6,0.9,0.575
57,14,1,5,0.9,1.0,0.8,0.9,0.9
57,14,2,1,0.2,0.0,0.8,0.9,0.475
57,14,3,1,0.6,0.0,0.8,0.9,0.575
57,15,1,1,0.9,1.0,0.8,0.9,0.9
57,16,2,8,0.6,0.0,0.8,0.9,0.575
57,16,3,9,0.6,0.0,0.8,0.9,0.575
57,17,1,2,0.5,0.0,0.75,0.9,0.5375
57,17,2,10,0.5,0.0,0.75,1.0,0.5625
57,17,3,5,0.9,1.0,0.8,0.9,0.9
57,18,2,2,0.2,0.0,0.8,0.9,0.475
57,18,3,2,0.9,0.8,0.7,0.9,0.825
57,19,1,4,0.6,0.0,0.8,0.9,0.575
57,19,2,3,0.2,0.0,0.5,0.8,0.375
57,20,1,3,0.9,1.0,0.8,0.9,0.9
57,20,2,5,0.8,0.0,0.6,0.9,0.575
57,20,3,3,0.5,0.0,0.75,0.9,0.5375
57,21,1,1,0.5,0.0,0.75,1.0,0.5625
57,21,2,9,0.5,0.0,0.75,0.9,0.5375
57,21,3,3,0.5,0.5,0.75,0.9,0.6625
57,21,4,6,0.8,0.0,0.6,0.9,0.575
57,21,5,9,0.6,0.0,0.8,0.9,0.575
57,22,1,1,0.2,0.0,0.5,0.8,0.375
57,23,1,1,0.9,1.0,0.8,0.9,0.9
57,23,2,2,0.9,1.0,0.8,0.9,0.9
57,23,3,3,0.9,0.8,0.7,0.9,0.825
57,23,4,2,0.2,0.0,0.8,0.9,0.475
57,23,5,5,0.8,0.0,0.6,1.0,0.6
57,24,1,8,0.9,1.0,0.8,0.95,0.9125
57,24,2,5,0.0,0.0,0.5,0.8,0.325
57,24,3,4,0.9,0.9,0.8,0.9,0.875
