Title,Category,Questions Average BLEU,Options Average BLEU,,,,,
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.753599806,0.079584723,,,,,
Why does everyone hate pigeons?,Science & Technology,0.731856509,0.146430696,,,,,
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0,,,,,
Is it normal to talk to yourself?,Psychology,0.741900522,0.41119157,,,,,
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.74044855,0.700197648,,,,,
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.751432019,0.180137157,,,,,
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.765487385,0.233816036,,,,,
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.71501206,0.496569749,,,,,
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.745641203,0.43969963,,,,Q_B,O_B
Why should you wear sunscreen?,Science & Technology,0.736229533,0.277594974,,,,0.652839672,0.467661456
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.73593334,0.50537607,,,,,
Food waste causes climate change. Here's how we stop it,Science & Technology,0.696470567,1,,,,,
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.773273597,0.207350358,,,,,
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.752124367,0.297687384,,,,,
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.70553002,0.413873823,,,,,
The race to decode a mysterious language - Susan Lupack,Linguistics,0.741026084,0.591452733,,,,,
What if all the ice melted on Earth?,Science & Technology,0.720667504,0.567704403,,,,,
Why are you always tired?,Health,0.713140472,0.646855115,,,,,
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.747850396,0.675178252,,,,,
I Like Myself - Children's books read aloud,Literature,0.755579992,0.633218137,,,,,
What is schizophrenia? - Anees Bahji,Health,0.735759349,0.649105627,,,,,
How do pelicans survive their death-defying dives?,Environmental Science,0.753206504,0.278298477,,,,,
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.783353642,0.547377042,,,,,
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.677675282,0.59762139,,,,,
Fabulous food chains,Environmental Science,0.747400783,0.248850459,,,,,
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.766196247,0.272055609,,,,,
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.740880963,0.41528158,,,,,
Volcanic eruption explained - Steven Anderson,Science & Technology,0.742037671,0.079248067,,,,,
