page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
91,1,1,2,0.6,0.0,0.8,0.9,0.575
91,2,1,1,1.0,0.0,0.75,1.0,0.6875
91,2,2,2,0.9,0.8,0.7,0.9,0.825
91,2,3,7,0.8,0.0,0.6,0.9,0.575
91,2,4,10,0.8,0.0,0.6,0.9,0.575
91,2,5,4,0.6,0.0,0.8,0.9,0.575
91,3,1,3,0.6,0.0,0.8,0.9,0.575
91,3,2,3,0.8,0.0,0.6,0.9,0.575
91,3,3,1,0.9,1.0,0.8,0.95,0.9125
91,3,4,8,0.8,1.0,0.6,0.9,0.825
91,3,5,9,0.8,0.0,0.6,0.9,0.575
91,4,1,3,0.9,0.0,0.8,0.9,0.65
91,4,2,4,0.8,0.0,0.6,0.9,0.575
91,4,3,2,0.6,0.0,0.8,1.0,0.6
91,4,4,3,0.6,0.0,0.8,0.9,0.575
91,4,5,3,0.2,0.0,0.8,0.9,0.475
91,5,1,3,0.6,0.0,0.8,0.9,0.575
91,5,2,6,0.6,0.0,0.8,0.9,0.575
91,5,3,9,0.8,1.0,0.2,1.0,0.75
91,5,4,10,0.9,0.9,0.8,0.9,0.875
91,5,5,8,0.0,0.0,0.5,1.0,0.375
91,5,6,5,0.6,0.0,0.4,0.8,0.45
91,6,2,7,0.8,0.8,0.6,0.9,0.775
91,6,3,2,0.0,0.0,0.5,0.8,0.325
91,6,4,3,0.9,0.9,0.8,0.9,0.875
91,6,5,2,0.8,0.0,0.6,0.9,0.575
91,7,1,1,0.9,0.9,0.8,0.9,0.875
91,7,2,6,0.9,0.8,0.7,0.9,0.825
91,7,3,2,0.8,0.0,0.6,0.9,0.575
91,7,4,4,0.9,0.8,0.7,0.9,0.825
91,7,5,5,0.5,0.0,0.25,0.75,0.375
91,8,1,2,0.9,1.0,0.8,0.9,0.9
91,8,2,3,0.5,0.0,0.75,0.8,0.5125
91,8,3,3,0.6,0.0,0.4,0.8,0.45
91,8,4,1,0.8,0.5,0.6,0.9,0.7
91,8,5,4,0.8,0.0,0.6,0.8,0.55
91,9,1,1,1.0,1.0,0.8,1.0,0.95
91,9,2,7,0.8,0.0,0.6,0.9,0.575
91,9,3,2,0.2,0.0,0.5,0.8,0.375
91,9,4,3,0.9,1.0,0.8,0.9,0.85
91,9,5,7,0.5,0.0,0.75,1.0,0.5625
91,10,1,1,0.5,0.0,0.75,1.0,0.5625
91,10,2,2,0.9,1.0,0.8,0.9,0.9
91,10,3,3,0.9,0.0,0.8,0.9,0.65
91,10,4,5,0.8,0.5,0.6,0.9,0.7
91,10,5,8,0.8,0.75,0.8,0.9,0.7875
91,11,1,1,0.8,0.6667,0.75,0.9,0.7792
91,11,2,6,0.0,0.0,0.5,1.0,0.375
91,11,3,7,0.8,0.0,0.6,0.9,0.575
91,11,4,9,0.2,0.0,0.5,0.8,0.375
91,11,5,10,0.8,0.5,0.6,0.9,0.7
91,12,1,1,0.8,0.0,0.6,0.9,0.575
91,12,2,2,0.9,0.5,0.6,0.9,0.725
91,12,3,5,0.8,0.0,0.6,0.9,0.575
91,12,4,6,0.9,1.0,0.8,0.9,0.9
91,12,5,10,0.9,0.8,0.7,0.9,0.825
91,13,1,2,0.2,0.0,0.5,0.8,0.375
91,13,2,3,0.8,1.0,0.8,0.9,0.875
91,13,3,7,0.8,0.8,0.6,0.9,0.775
91,13,4,4,0.9,1.0,0.8,0.9,0.9
91,13,5,6,0.9,1.0,0.8,0.9,0.9
