page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
20,1,1,2,0.5,0.0,0.75,0.8,0.5125
20,1,2,1,0.8,0.0,0.6,0.9,0.575
20,1,3,2,0.5,0.0,0.75,0.9,0.5375
20,1,4,5,0.9,0.0,0.8,0.9,0.65
20,1,5,9,0.9,0.8,0.7,0.9,0.825
20,2,1,9,0.6,0.0,0.8,0.9,0.575
20,2,2,3,0.6,0.0,0.8,0.9,0.575
20,2,3,3,0.8,0.5,0.6,0.9,0.7
20,2,4,4,0.9,0.0,0.8,0.9,0.65
20,2,5,5,0.9,0.0,0.8,0.9,0.65
20,3,1,3,0.5,0.0,0.75,1.0,0.5625
20,3,2,7,0.5,0.0,0.75,0.9,0.5375
20,3,3,2,0.6,0.8,0.4,0.9,0.675
20,3,4,3,0.2,0.0,0.5,1.0,0.425
20,3,5,5,0.8,0.5,0.6,0.9,0.7
20,4,1,3,0.8,0.0,0.6,0.9,0.575
20,4,2,5,0.5,0.0,0.75,0.9,0.5375
20,4,3,5,0.8,0.0,0.6,0.9,0.575
20,4,5,5,0.6,0.0,0.8,0.9,0.575
20,5,1,3,0.9,1.0,0.8,0.9,0.9
20,5,2,4,0.6,0.0,0.8,0.9,0.575
20,5,3,6,0.8,0.0,0.6,0.9,0.575
20,5,4,4,0.0,0.0,0.5,1.0,0.375
20,5,5,3,0.8,1.0,0.8,0.9,0.875
20,5,6,4,0.6,0.0,0.8,0.9,0.575
20,5,7,2,0.8,0.0,0.8,0.9,0.6
20,7,1,1,0.9,0.75,0.8,0.95,0.85
20,7,2,2,0.9,1.0,0.8,0.9,0.85
20,7,3,7,0.6,0.0,0.8,0.9,0.575
20,7,4,7,0.8,0.0,0.6,0.9,0.575
20,7,5,9,0.9,0.8,0.7,0.9,0.825
20,10,1,3,0.8,1.0,0.8,1.0,0.85
20,10,2,3,0.9,1.0,0.8,0.9,0.9
20,10,3,6,0.8,0.0,0.6,0.9,0.575
20,10,4,2,0.75,0.0,0.25,0.75,0.4375
20,10,5,4,0.8,0.0,0.6,0.9,0.575
20,11,1,2,0.9,0.9,0.8,0.9,0.875
20,11,2,2,0.5,0.0,0.75,1.0,0.5625
20,11,3,4,0.8,0.0,0.6,0.9,0.575
20,11,4,3,0.8,0.0,0.8,1.0,0.65
20,11,5,3,0.8,0.8,0.6,0.9,0.775
20,13,1,1,0.5,0.0,0.75,1.0,0.5625
20,13,2,4,0.5,0.0,0.75,0.9,0.5375
20,13,3,10,0.2,0.0,0.5,0.8,0.375
20,13,4,10,0.8,0.5,0.8,0.9,0.75
20,13,5,5,0.8,0.5,0.8,0.9,0.75
20,14,1,6,0.9,1.0,0.6,0.9,0.85
20,14,2,5,0.5,0.0,0.75,0.9,0.5375
20,14,3,4,0.9,0.9,0.8,0.9,0.875
20,14,4,2,0.8,0.5,0.75,0.9,0.7375
20,14,5,3,0.8,0.0,0.6,0.9,0.575
20,15,1,1,0.9,0.9,0.8,0.9,0.875
20,15,2,10,0.9,1.0,0.8,0.9,0.85
20,15,3,6,0.6,0.0,0.8,1.0,0.6
20,15,4,7,0.9,0.8,0.7,0.9,0.825
20,15,5,2,0.8,0.0,0.6,0.9,0.575
20,18,1,2,0.9,0.0,0.8,0.9,0.65
20,18,2,4,0.5,0.0,0.75,0.9,0.5375
20,18,3,4,0.9,1.0,0.8,0.9,0.9
20,18,5,5,0.8,0.0,0.6,0.9,0.575
20,22,1,3,0.2,0.0,0.6,0.8,0.4
20,22,2,5,0.0,0.0,0.8,1.0,0.45
20,22,3,3,0.8,0.25,0.75,0.9,0.675
20,22,4,5,0.9,1.0,0.8,0.9,0.9
20,22,5,8,0.8,0.0,0.6,0.9,0.575
20,23,1,5,0.9,0.0,0.8,0.9,0.65
20,23,2,8,0.2,0.0,0.8,0.9,0.475
20,23,4,8,0.2,0.0,0.5,0.8,0.375
20,23,5,9,0.6,0.0,0.8,0.9,0.575
20,23,6,2,0.9,0.8,0.7,0.9,0.825
