page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
1,1,1,2,0.9,1.0,0.8,0.9,0.9
1,1,2,1,1.0,1.0,0.75,1.0,0.9375
1,1,3,4,0.8,1.0,0.8,0.9,0.875
1,1,4,7,0.2,0.0,0.5,0.8,0.375
1,1,5,7,0.4,0.0,0.6,0.8,0.45
1,4,1,8,0.5,0.0,0.75,0.9,0.5375
1,4,2,8,0.5,0.0,0.75,0.9,0.5375
1,4,3,13,0.5,0.0,0.75,0.9,0.5375
1,4,4,2,0.8,1.0,0.8,1.0,0.9
1,4,5,6,0.8,1.0,0.8,0.9,0.85
1,5,1,4,0.0,0.0,0.5,1.0,0.375
1,5,2,4,0.6,0.0,0.8,0.9,0.575
1,5,3,5,0.2,0.0,0.8,1.0,0.5
1,5,4,10,0.8,1.0,0.8,1.0,0.9
1,5,5,9,0.8,0.8,0.9,0.95,0.8625
1,6,1,1,0.0,0.0,0.8,1.0,0.45
1,6,2,1,0.9,0.8,0.7,0.9,0.825
1,6,3,1,1.0,1.0,0.8,1.0,0.95
1,6,4,4,0.8,0.0,0.8,1.0,0.65
1,6,5,4,0.8,0.5,0.8,0.9,0.75
1,7,1,8,0.0,0.0,0.5,1.0,0.375
1,7,2,7,0.9,1.0,0.9,1.0,0.925
1,7,3,11,0.6,0.5,0.8,0.9,0.7
1,7,4,8,0.6,0.0,0.8,0.9,0.575
1,7,5,8,0.6,0.5,0.8,0.9,0.7
1,8,1,1,0.9,1.0,0.8,0.9,0.9
1,8,2,9,0.8,0.0,0.8,0.9,0.625
1,8,3,2,0.9,1.0,0.8,0.9,0.9
1,9,1,4,0.9,1.0,0.8,0.9,0.9
1,9,2,2,0.9,1.0,0.8,0.9,0.9
1,9,3,3,0.9,0.8,0.7,0.9,0.825
1,9,4,3,0.0,0.0,0.5,1.0,0.375
1,9,5,1,0.9,1.0,0.8,0.9,0.9
1,9,6,1,0.9,1.0,0.8,0.9,0.9
1,9,7,4,0.9,1.0,0.8,0.9,0.9
1,9,8,3,0.0,0.0,0.5,1.0,0.375
1,9,9,3,0.9,0.8,0.7,0.9,0.825
1,9,10,2,0.9,1.0,0.8,0.9,0.9
1,11,1,1,1.0,1.0,0.75,1.0,0.9375
1,11,2,3,0.8,1.0,0.8,1.0,0.9
1,11,3,11,0.8,0.6667,0.75,0.9,0.7792
1,11,4,11,0.8,0.8,0.9,0.9,0.85
1,11,5,4,0.8,0.5,0.8,0.9,0.75
1,12,1,1,0.5,0.0,0.75,1.0,0.5625
1,12,2,3,0.9,1.0,0.8,0.9,0.9
1,12,3,4,0.9,1.0,0.8,0.9,0.9
1,12,4,2,0.2,0.0,0.5,0.8,0.375
1,12,5,8,0.4,0.0,0.6,0.8,0.45
1,13,1,3,0.9,0.8,0.7,0.9,0.825
1,13,2,1,0.9,1.0,0.8,0.9,0.9
1,13,3,4,0.8,0.8,0.6,0.9,0.775
1,13,4,8,0.5,0.0,0.75,0.9,0.5375
1,13,5,1,1.0,1.0,1.0,1.0,1.0
1,14,1,1,0.0,0.0,0.5,1.0,0.375
1,14,2,1,0.0,0.0,0.5,1.0,0.375
1,14,3,2,0.5,1.0,0.75,1.0,0.8125
1,14,4,2,0.0,0.0,0.5,1.0,0.375
1,14,5,2,0.0,0.0,0.5,1.0,0.375
1,15,1,8,0.9,1.0,0.8,0.9,0.9
1,15,2,2,0.8,1.0,0.8,0.9,0.875
1,16,1,3,0.5,0.0,0.75,0.9,0.5375
1,16,3,2,0.0,0.0,0.5,1.0,0.375
1,16,4,4,0.9,1.0,0.8,0.9,0.9
1,16,5,1,0.2,0.0,0.8,1.0,0.5
1,17,1,3,0.9,0.9,0.8,0.95,0.8875
1,17,2,4,0.8,0.0,0.8,0.9,0.625
1,17,3,6,0.2,0.0,0.8,0.9,0.475
1,17,4,3,0.2,0.0,0.8,0.9,0.475
1,17,5,10,0.8,0.5,0.8,0.9,0.75
1,18,1,1,1.0,1.0,0.8,1.0,0.95
1,18,2,3,0.2,0.0,0.8,0.9,0.475
1,19,1,3,0.0,0.0,0.5,1.0,0.375
1,19,2,3,0.8,0.8,0.6,0.9,0.775
1,19,3,1,0.0,0.0,0.5,1.0,0.375
1,19,4,6,0.0,0.0,0.5,1.0,0.375
1,19,5,8,0.0,0.0,0.5,1.0,0.375
1,22,1,3,0.8,1.0,0.9,0.9,0.85
1,22,2,3,0.2,0.0,0.8,0.9,0.475
1,22,3,3,0.5,0.0,0.75,0.9,0.5375
1,22,4,7,0.8,0.8,0.6,0.9,0.775
1,22,5,12,0.8,0.0,0.6,0.9,0.575
2,1,1,3,0.6,0.8,0.8,0.9,0.775
2,1,2,3,0.6,0.8,0.8,0.9,0.775
2,2,1,3,0.8,0.0,0.8,0.9,0.625
2,3,1,2,1.0,1.0,0.8,1.0,0.95
2,3,2,2,0.0,0.0,0.8,1.0,0.45
2,4,1,2,0.8,0.0,0.6,0.9,0.575
2,4,2,8,0.9,1.0,0.8,0.9,0.9
2,4,3,1,0.5,0.0,0.75,1.0,0.5625
2,5,1,8,0.0,0.0,0.5,1.0,0.375
2,5,2,8,0.9,0.8,0.7,0.9,0.825
2,5,3,5,0.8,0.5,0.6,0.9,0.7
2,5,4,7,0.9,1.0,0.8,0.9,0.875
2,5,5,8,0.0,0.0,0.5,1.0,0.375
2,5,6,8,0.9,0.8,0.7,0.9,0.825
2,5,7,5,0.8,0.5,0.6,0.9,0.7
2,5,8,7,0.9,1.0,0.8,0.9,0.875
2,6,1,1,0.9,1.0,0.8,0.9,0.9
2,6,2,3,0.0,0.0,0.8,1.0,0.45
2,6,3,3,0.9,1.0,0.8,0.9,0.9
2,6,4,5,0.8,0.75,0.9,0.95,0.85
2,6,5,9,0.8,0.5,0.6,0.9,0.7
2,7,1,3,0.8,0.0,0.6,0.9,0.575
2,8,1,1,0.8,0.6,0.8,0.9,0.775
2,8,2,1,0.8,0.6,0.8,0.9,0.775
2,10,1,3,0.9,1.0,0.8,0.95,0.9125
2,10,2,3,0.2,0.0,0.8,0.9,0.475
2,10,3,6,0.8,0.0,0.6,0.9,0.575
2,10,4,13,0.9,1.0,0.8,1.0,0.925
2,10,5,6,0.5,0.0,0.75,0.9,0.5375
2,11,1,1,0.9,1.0,0.8,0.9,0.9
2,11,2,7,0.6,0.0,0.8,0.9,0.575
2,12,1,1,0.2,0.0,0.5,1.0,0.425
2,12,2,6,0.2,0.0,0.8,0.9,0.475
2,14,1,1,0.9,1.0,0.8,0.9,0.9
2,14,2,1,0.5,0.0,0.75,1.0,0.5625
2,15,1,1,1.0,1.0,0.75,1.0,0.9375
2,15,2,1,0.2,0.0,0.5,1.0,0.425
2,15,3,7,1.0,1.0,1.0,1.0,1.0
2,15,4,2,0.9,1.0,0.8,0.95,0.9125
2,15,5,7,0.8,0.8,0.9,0.9,0.85
2,15,6,7,0.8,0.8,0.6,0.9,0.775
2,15,7,3,0.9,1.0,0.8,0.9,0.9
2,15,8,8,1.0,1.0,1.0,1.0,1.0
2,15,9,3,0.9,1.0,0.8,0.95,0.9125
2,15,10,8,0.1,0.0,0.8,0.9,0.45
2,16,1,3,0.9,0.9,0.8,0.9,0.875
2,16,2,1,0.9,1.0,0.8,1.0,0.925
2,16,3,5,0.8,1.0,0.8,0.9,0.875
