Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L,,,,,,,
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.309238095,0.105551839,0.278952381,0.114285714,0,0.114285714,,,,,,,
Why does everyone hate pigeons?,Science & Technology,0.366214526,0.140121212,0.321135161,0.090122655,0.03,0.079011544,,,,,,,
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0,0,0,0,0,,,,,,,
Is it normal to talk to yourself?,Psychology,0.366588388,0.08572988,0.285541547,0.267606838,0.208376623,0.267606838,,,,,,,
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.306778711,0.06,0.248683473,0.24972583,0.1,0.242894328,,,,,Q_R1,Q_R2,Q_RL
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.371837535,0.079631094,0.332308123,0.244285714,0.025,0.244285714,,,,,0.301516075,0.090257104,0.251329594
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.55942804,0.16031746,0.421222971,0.158308913,0.05,0.158308913,,,,,,,
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.367793318,0.146190476,0.318904429,0.288500274,0.171223262,0.275357122,,,,,,,
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.25318722,0.064444444,0.205124248,0.112160098,0.003448276,0.102358253,,,,,O_R1,O_R2,O_RL
Why should you wear sunscreen?,Science & Technology,0.447140975,0.214401154,0.409749671,0.068888889,0.005882353,0.068888889,,,,,0.092232936,0.021586985,0.089297976
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.484322892,0.264617279,0.428221911,0.146404429,0.038888889,0.146404429,,,,,,,
Food waste causes climate change. Here's how we stop it,Science & Technology,0.642857143,0.307692308,0.357142857,0,0,0,,,,,,,
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.476888677,0.213354037,0.315791687,0.107668998,0,0.102113442,,,,,,,
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.254888429,0,0.168449505,0.055952381,0,0.055952381,,,,,,,
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.345912976,0.171411255,0.294734525,0.055098323,0,0.055098323,,,,,,,
The race to decode a mysterious language - Susan Lupack,Linguistics,0.527200172,0.301167048,0.496430942,0.045438948,0,0.04136655,,,,,,,
What if all the ice melted on Earth?,Science & Technology,0.413061325,0.088116901,0.352381653,0.114444444,0,0.114444444,,,,,,,
Why are you always tired?,Health,0.26315731,0.133333333,0.216136376,0.133333333,0.05,0.133333333,,,,,,,
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.347156352,0.141176471,0.330489686,0.011111111,0,0.011111111,,,,,,,
I Like Myself - Children's books read aloud,Literature,0.111329152,0,0.096514337,0.080952381,0,0.080952381,,,,,,,
