Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7464551356970219,0.05941541027059035
Why does everyone hate pigeons?,Science & Technology,0.7445329795599793,0.19669937437631352
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0
Is it normal to talk to yourself?,Psychology,0.7367665856403749,0.335831723459297
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7258619205935007,0.6650492666248331
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7112970298740886,0.4158170222910612
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7015247782231492,0.24831423165042255
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.653359949075712,0.36831473689397864
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7208110906788383,0.6651606137270445
Why should you wear sunscreen?,Science & Technology,0.7350732202537321,0.39092252353065116
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7259044342489422,0.5501477173790724
Food waste causes climate change. Here's how we stop it,Science & Technology,0.6877246840472622,0.37591497572469035
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7800895743830111,0.2628381824830626
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7154289710213461,0.5188251837829918
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7667142997461506,0.4036140902437155
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6572031908124704,0.6228086147663667
What if all the ice melted on Earth?,Science & Technology,0.6903813326668902,0.7727960227484979
Why are you always tired?,Health,0.7069285658368708,0.5256415718552492
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7153658087751461,0.6317630431168941
I Like Myself - Children's books read aloud,Literature,0.730751079037703,0.6324065561518961
What is schizophrenia? - Anees Bahji,Health,0.6752734456851428,0.5264668932811731
How do pelicans survive their death-defying dives?,Environmental Science,0.7143831814491097,0.11675395834860336
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.783219123390358,0.5764657370943611
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7029340855478383,0.5211725842584103
Fabulous food chains,Environmental Science,0.8029617970033815,0.2772521230688435
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7047444556522612,0.3451416385504179
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6347844761751359,0.4382250611039991
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7542966096933984,0.2859181337505063
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7600080149919183,0.9333835922731429
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7613991989556552,0.45362883584905667
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.6495149203583286,0.29734752082767113
