Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7455001693214498,0.1770519253473969
Why does everyone hate pigeons?,Science & Technology,0.7535141841429949,0.20949705668930935
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7249696199936689,0.7501026403502984
Is it normal to talk to yourself?,Psychology,0.7586105284325374,0.3801796563118315
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7343229247994767,0.6052595918302087
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7431733640536972,0.41809162513845505
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7102464176290957,0.2605001999814999
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.7130255147065605,0.368904848016809
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.6887585970391532,0.5981164168493185
Why should you wear sunscreen?,Science & Technology,0.7000681585731161,0.39606900468472844
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7204155035108849,0.2635273724085592
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7264603759438992,1.0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7761442548406249,0.3168434988914083
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7043262840585646,0.5856478660104608
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7040833440425975,0.3450764968768541
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7199082024452939,0.3666454877302141
What if all the ice melted on Earth?,Science & Technology,0.6778600831613301,0.6507806764241295
Why are you always tired?,Health,0.7069764078093781,0.6219704328020291
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7789513787682506,0.6491661590630938
I Like Myself - Children's books read aloud,Literature,0.7510082487232332,0.569228132122017
What is schizophrenia? - Anees Bahji,Health,0.7319478055656898,0.46774274447592196
How do pelicans survive their death-defying dives?,Environmental Science,0.684047207846192,0.1978424839168144
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.725093044469288,0.397917436976768
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7008810207250169,0.5239819733350983
Fabulous food chains,Environmental Science,0.7209095709082566,0.36698780349687665
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7566886116671011,0.37268396104337265
