Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0,0,0,0,0,0
Why does everyone hate pigeons?,Science & Technology,0,0,0,0,0,0
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0,0,0,0,0
Is it normal to talk to yourself?,Psychology,0,0,0,0,0,0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0,0,0,0,0,0
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.34135042735042737,0.11617391304347827,0.2951965811965812,0.0495970695970696,0.02,0.0495970695970696
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0,0,0,0,0,0
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0,0,0,0,0,0
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0,0,0,0,0
Why should you wear sunscreen?,Science & Technology,0,0,0,0,0,0
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0,0,0,0,0,0
Food waste causes climate change. Here's how we stop it,Science & Technology,0.5066381766381766,0.14718548118548117,0.41786731786731784,0.08765984015984016,0.01111111111111111,0.08765984015984016
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0,0,0,0,0,0
Why is meningitis so dangerous? - Melvin Sanicas,Health,0,0,0,0,0,0
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0,0,0,0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0,0,0,0,0,0
What if all the ice melted on Earth?,Science & Technology,0,0,0,0,0,0
Why are you always tired?,Health,0,0,0,0,0,0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0,0,0,0,0,0
I Like Myself - Children's books read aloud,Literature,0,0,0,0,0,0
What is schizophrenia? - Anees Bahji,Health,0,0,0,0,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0,0,0,0,0,0
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.41344537815126053,0.10526315789473684,0.41344537815126053,0.17023809523809524,0.03428571428571429,0.17023809523809524
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0,0,0,0,0,0
Fabulous food chains,Environmental Science,0,0,0,0,0,0
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0,0,0,0,0,0
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0,0,0,0,0,0
Volcanic eruption explained - Steven Anderson,Science & Technology,0,0,0,0,0,0
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.3663095238095238,0.13626373626373625,0.3253095238095239,0.24821969696969698,0.01769230769230769,0.24821969696969698
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0,0,0,0,0,0
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0,0,0,0,0,0
How this disease changes the shape of your cells - Amber M. Yates,Health,0,0,0,0,0,0
The counting by fives song | Counting songs,Numbers & Operations,0,0,0,0,0,0
Why do we have leap years?,Teaching & Education,0,0,0,0,0,0
Is binge watching bad for you?,Health,0,0,0,0,0,0
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0,0,0,0,0
Why do we wrinkle when wet?,Health,0,0,0,0,0,0
3D shapes song | Shapes for kids,Geometry,0.41455599783773156,0.09872549019607843,0.30400511081625636,0.3,0.1,0.3
The most common STI in the world - Emma Bryce,Literature & Language,0,0,0,0,0,0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0,0,0,0,0,0
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0,0,0,0,0,0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.3289331282752336,0.10241463874740615,0.2606117566643883,0.09281217750257997,0.007692307692307691,0.07670106639146887
The surprising similarities between Twister and intelligence,Health,0,0,0,0,0,0
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0,0,0,0,0,0
Why beavers are the smartest thing in fur pants,Science & Technology,0,0,0,0,0,0
Why we should draw more (and photograph less),Physical Fitness,0,0,0,0,0,0
The history of manners,Psychology,0,0,0,0,0,0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0,0,0,0,0,0
Art with Mati and Dada – Henri Matisse,Visual Arts,0,0,0,0,0,0
Why don't haircuts hurt?,Science & Technology,0,0,0,0,0,0
An Exercise in Self Compassion,Emotional Health,0,0,0,0,0,0
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0,0,0,0,0,0
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0,0,0,0,0,0
Why some people don't have an inner monologue,Psychology,0,0,0,0,0,0
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0,0,0,0,0,0
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0,0,0,0,0,0
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0,0,0,0,0,0
The counting by tens song | Counting songs,Numbers & Operations,0,0,0,0,0,0
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0,0,0,0,0,0
The physics of surfing - Nick Pizzo,Science & Technology,0,0,0,0,0,0
Why do these deadly insects look like flowers?,Science & Technology,0,0,0,0,0,0
Better know the Mona Lisa,Visual Arts,0,0,0,0,0,0
SH | fun phonics | how to read,Literature & Language,0.2842063492063492,0.08160818713450294,0.23698412698412694,0.0,0.0,0.0
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.3062722462722463,0.09827505827505827,0.25717171717171716,0.2125,0.01666666666666667,0.2125
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0,0,0,0,0,0
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.32956105679217806,0.0,0.14882463074682753,0.04086691086691087,0.0,0.04086691086691087
The science of Flint's water crisis,Public Health,0,0,0,0,0,0
How bones make blood - Melody Smith,Health,0,0,0,0,0,0
How soap kills the coronavirus,Public Health,0,0,0,0,0,0
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0,0,0,0,0,0
The world's ugliest animal,Environmental Science,0,0,0,0,0,0
Why is this painting so shocking? - Iseult Gillespie,The Arts,0,0,0,0,0,0
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0,0,0,0,0,0
What happens when you lose a balloon?,Science & Technology,0.3812371838687628,0.07315347191508181,0.3229551150603782,0.195404567228736,0.03454545454545454,0.182904567228736
The quest for the perfect apple,Science & Technology,0,0,0,0,0,0
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0,0,0,0,0,0
Why perfect grades don't matter,Teaching & Education,0.22134646962233168,0.01785714285714286,0.22134646962233168,0.0,0.0,0.0
Can you trust your ears? (audio illusions),Health,0,0,0,0,0,0
Why is my leg asleep?,Health,0,0,0,0,0,0
Why don't we throw trash in volcanoes?,Science & Technology,0,0,0,0,0,0
Is life meaningless? And other absurd questions - Nina Medvinskaya,Philosophy,0,0,0,0,0,0
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0,0,0,0,0,0
Why do American schools have such long hours?,Teaching & Education,0,0,0,0,0,0
Here Comes Teacher Cat - Read aloud picture book,Literature,0.3636047811837285,0.05375494071146245,0.2594532485058801,0.18269230769230765,0.0,0.18269230769230765
What happens when nature goes viral?,Science & Technology,0,0,0,0,0,0
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0,0,0,0,0,0
How Thor got his hammer - Scott A. Mellor,Social Studies,0,0,0,0,0,0
Helping others makes us happier--- but it matters how we do it - Elizabeth Dunn,Psychology,0,0,0,0,0,0
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",Social Studies,0.29618983957219247,0.11655667701863356,0.22934491978609628,0.10014014655365275,0.005208333333333333,0.09014014655365275
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0,0,0,0,0,0
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0,0,0,0,0,0
The Princess and the Pea - Read aloud picture book,Literature,0,0,0,0,0,0
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0,0,0,0,0,0
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0,0,0,0,0,0
Why parrots can talk like humans,Life Sciences,0,0,0,0,0,0
Your brain hallucinates your conscious reality - Anil Seth,"Consciousness, Sensation and Perception",0,0,0,0,0,0
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0,0,0,0,0,0
What is depression? - Helen M. Farrell,Psychology,0,0,0,0,0,0
Why does smoke follow you around a fire?,Science & Technology,0,0,0,0,0,0
How to deal with rejection,Psychology,0.25264957264957266,0.06388888888888888,0.20854700854700853,0.0937625691302162,0.02,0.08824786324786325
