Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3900059201168646,0.09002849002849,0.3197530465536462,0.1357142857142857,0.05,0.1357142857142857
Why does everyone hate pigeons?,Science & Technology,0.330952380952381,0.1317416136495084,0.3142857142857143,0.0,0.0,0.0
Is it normal to talk to yourself?,Psychology,0.4166251526251526,0.1067719298245614,0.3323304843304843,0.0529761904761904,0.0142857142857142,0.0529761904761904
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.289010989010989,0.0752136752136752,0.2747252747252747,0.0587985114300903,0.0,0.0587985114300903
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5052250190694126,0.1793279991422406,0.3933474991827394,0.0,0.0,0.0
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2646110124661172,0.0581048581048581,0.2029504141938247,0.0872603901086873,0.0058823529411764,0.0817048345531317
Why should you wear sunscreen?,Science & Technology,0.3536140389401259,0.1252294372294372,0.2717446201141853,0.1688179271708683,0.0876484480431848,0.161484593837535
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.5232410768300061,0.2588229635288459,0.4043617664851784,0.1888095238095238,0.05,0.1888095238095238
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.3677948717948718,0.1474120082815735,0.2904102564102564,0.066017316017316,0.0,0.066017316017316
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2204965698968697,0.03,0.1622935285603951,0.1452154804615571,0.038235294117647,0.1334507745792041
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3310314513073134,0.1222222222222222,0.2796468359226979,0.1075756085160109,0.0207792207792207,0.1075756085160109
The race to decode a mysterious language - Susan Lupack,Linguistics,0.2958413101141736,0.1206349206349206,0.2825079767808403,0.0157575757575757,0.0,0.0157575757575757
Why are you always tired?,Health,0.1763988603988603,0.0,0.1033422873422873,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.3745755693581781,0.1602467707730865,0.3469565217391305,0.1,0.1,0.1
I Like Myself - Children's books read aloud,Literature,0.1247234247234247,0.0,0.0977873977873977,0.0749650349650349,0.0,0.0458741258741258
What is schizophrenia? - Anees Bahji,Health,0.3351851851851851,0.0285714285714285,0.2361111111111111,0.12,0.0,0.12
