Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3503076923076923,0.19604743083003956,0.28630769230769226,0.12290718053875949,0.00909090909090909,0.12290718053875949
Why does everyone hate pigeons?,Science & Technology,0.44716254313034864,0.12868347338935576,0.3977963171524286,0.04236111111111111,0.010000000000000002,0.04236111111111111
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.17673931865236214,0.04000000000000001,0.17673931865236214,0.22242723942723944,0.00909090909090909,0.1815939060939061
Is it normal to talk to yourself?,Psychology,0.36259627329192545,0.14492174492174492,0.3299296066252588,0.21591630591630592,0.06000000000000001,0.21591630591630592
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.29820551378446114,0.08186274509803922,0.2537610693400167,0.1363831021919257,0.008333333333333333,0.1363831021919257
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.27613060151629576,0.04663382594417077,0.20247092785662207,0.05461107519931049,0.003125,0.04746821805645335
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5438260869565218,0.24178430265386788,0.44165217391304346,0.2589995724862127,0.08234409553295002,0.24620052942401172
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2553103913630229,0.06222222222222222,0.1940148448043185,0.0528515466015466,0.0,0.0528515466015466
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.3178363097309031,0.10592630041568363,0.23159824977180726,0.07298016293289009,0.015131578947368421,0.06828458515189022
Why should you wear sunscreen?,Science & Technology,0.2612012987012987,0.09691756272401435,0.22445887445887447,0.08127082411912133,0.005882352941176471,0.0760076662243845
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.41851481851481853,0.08888888888888888,0.33842823842823844,0.15204013377926423,0.03333333333333333,0.15204013377926423
Food waste causes climate change. Here's how we stop it,Science & Technology,0.5008547008547009,0.18066666666666664,0.31851851851851853,0.0,0.0,0.0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.5277037037037038,0.17429249011857706,0.27311111111111114,0.05620092325974679,0.0,0.05620092325974679
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2297616952397714,0.03602941176470588,0.14133133601597855,0.29475940725940725,0.21666666666666665,0.29475940725940725
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3194165977391784,0.16526736631684158,0.2560033085194376,0.04567255242177843,0.0,0.04567255242177843
The race to decode a mysterious language - Susan Lupack,Linguistics,0.34813664596273297,0.18125313283208017,0.33563664596273296,0.0648934398934399,0.0,0.0648934398934399
What if all the ice melted on Earth?,Science & Technology,0.43138760880696364,0.0736861515766181,0.3076907322068612,0.06666666666666667,0.0,0.06666666666666667
Why are you always tired?,Health,0.3461711425393294,0.0709549071618037,0.22482838074050532,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.415742993848257,0.1911167945439045,0.39756117566643884,0.01818181818181818,0.01111111111111111,0.01818181818181818
I Like Myself - Children's books read aloud,Literature,0.13008620689655173,0.0,0.11758620689655172,0.10116605616605616,0.0,0.07514041514041514
What is schizophrenia? - Anees Bahji,Health,0.40923890923890927,0.15666438824333562,0.30439560439560437,0.025,0.0,0.025
How do pelicans survive their death-defying dives?,Environmental Science,0.3009453119979436,0.038604651162790694,0.2340832851359167,0.123080492520895,0.0035714285714285718,0.11566291010331257
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.3891142191142191,0.09447722321864198,0.29193473193473196,0.09357864357864358,0.01111111111111111,0.09357864357864358
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.3737863925045589,0.18742698531318153,0.3589715776897441,0.08035714285714286,0.05333333333333333,0.08035714285714286
Fabulous food chains,Environmental Science,0.4253950444132773,0.128873208183553,0.329249469558025,0.0253968253968254,0.0,0.0253968253968254
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.2916190476190476,0.0365079365079365,0.2462857142857143,0.08743697947406387,0.0,0.08343697947406387
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2621966269025092,0.016666666666666666,0.22583299053887287,0.2165873015873016,0.015384615384615382,0.20515873015873018
Volcanic eruption explained - Steven Anderson,Science & Technology,0.2535064935064935,0.09333333333333334,0.2535064935064935,0.16400205039694085,0.01111111111111111,0.14319906253512946
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.47377112135176647,0.17304295220810645,0.3842549923195085,0.019806763285024155,0.0047619047619047615,0.019806763285024155
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.36320716320716323,0.08377546777546778,0.22185592185592187,0.09552881758764112,0.0,0.09552881758764112
