Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7988611492279855,0.8310527448699302
Is it normal to talk to yourself?,Psychology,0.7699985391688664,0.347725963061663
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7287530361112645,0.5870539353025788
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7244096464522849,0.5056170197463812
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7162552951141328,0.3369641542460574
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6931685398752486,0.4390251750516528
Why should you wear sunscreen?,Science & Technology,0.7779426689676604,0.4136543909178087
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7320296177136565,0.5474737192752195
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7611083820006351,0.2606593684668212
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7732684337907909,0.4335154959105319
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7330082284470593,0.2823984618922224
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7309681927709004,0.6164654270870159
Why are you always tired?,Health,0.7372910397076888,0.641109456928953
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7258679502542336,0.67989244307017
I Like Myself - Children's books read aloud,Literature,0.7202687144107821,0.596868237082462
What is schizophrenia? - Anees Bahji,Health,0.7056260306144082,0.4198062299122318
How do pelicans survive their death-defying dives?,Environmental Science,0.7622297276293049,0.311871912307624
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.8362744849321162,0.476659052148476
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6926661113797647,0.4949005393927539
Fabulous food chains,Environmental Science,0.8342712782902261,0.3539747634279233
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6798581996599186,0.3645971626297025
Volcanic eruption explained - Steven Anderson,Science & Technology,0.6861894873056599,0.1788255168276606
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.708631108586701,0.9185452251299612
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7573663346129884,0.4305308158713464
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7343434670143414,0.3263921325655122
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7013650019783586,0.6133754343770782
The counting by fives song | Counting songs,Numbers & Operations,0.763355191633347,0.3877629778285443
Is binge watching bad for you?,Health,0.7213345697550687,0.8156409338219742
Why do we wrinkle when wet?,Health,0.7106667763296349,0.3220710081361082
3D shapes song | Shapes for kids,Geometry,0.7571197350982334,0.5591287505528062
The most common STI in the world - Emma Bryce,Literature & Language,0.7566833864655647,0.4301776138023479
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.8381752800493872,0.3667446680893088
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7719705124677447,1.0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.731801726104289,0.8398092892638575
The surprising similarities between Twister and intelligence,Health,0.7209098646695392,0.4404159630589278
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.723249007255905,0.4369924293321426
Why beavers are the smartest thing in fur pants,Science & Technology,0.7829534537595882,0.408348300956504
Why we should draw more (and photograph less),Physical Fitness,0.7067837594090424,0.3132333537215118
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.7066867632123234,1.0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7212589376483816,0.5542733374509529
Why don't haircuts hurt?,Science & Technology,0.7620281056230426,0.0322222435246647
An Exercise in Self Compassion,Emotional Health,0.7597707523170858,0.4090732140787437
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.7571672560474589,0.449973583188654
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0.8053530553075661,0.4496009735810609
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.677265532118615,0.8633221475462363
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0.7256347784255239,0.0
The counting by tens song | Counting songs,Numbers & Operations,0.7640962967183678,0.4280127584493981
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.7750951684240324,0.3955568126455998
The physics of surfing - Nick Pizzo,Science & Technology,0.7635711092413118,0.2384879282201352
