Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3316971916971917,0.11895472948104527,0.3174114774114774,0.11376123876123875,0.005,0.10661838161838162
Why does everyone hate pigeons?,Science & Technology,0.38015005894182097,0.10743738729713485,0.3437864225781846,0.06155445861328214,0.0,0.05397870103752457
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.1661454986792318,0.02105263157894737,0.1661454986792318,0.1230512908144487,0.03333333333333333,0.11009582522740417
Is it normal to talk to yourself?,Psychology,0,0,0,0,0,0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0,0,0,0,0,0
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0,0,0,0,0,0
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.46222222222222226,0.1451627256547165,0.4372222222222223,0.1880173421349892,0.06000000000000001,0.1880173421349892
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0,0,0,0,0,0
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0,0,0,0,0
Why should you wear sunscreen?,Science & Technology,0,0,0,0,0,0
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.3382120051085568,0.07407407407407407,0.303397190293742,0.12587051837051838,0.0,0.12587051837051838
Food waste causes climate change. Here's how we stop it,Science & Technology,0.5123761185051507,0.2061785341095686,0.4067584028874352,0.0,0.0,0.0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0,0,0,0,0,0
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.31069518716577543,0.09333333333333334,0.24576012223071048,0.1192879342879343,0.0,0.0911061161061161
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0,0,0,0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0.31612903225806455,0.15381400208986412,0.31612903225806455,0.07511655011655012,0.05,0.07511655011655012
What if all the ice melted on Earth?,Science & Technology,0,0,0,0,0,0
Why are you always tired?,Health,0,0,0,0,0,0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0,0,0,0,0,0
I Like Myself - Children's books read aloud,Literature,0.10052576733611218,0.0,0.10052576733611218,0.07790404040404039,0.0,0.0452020202020202
What is schizophrenia? - Anees Bahji,Health,0,0,0,0,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0,0,0,0,0,0
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.42038854251377966,0.13284936479128856,0.38395590494262216,0.13714285714285718,0.047692307692307694,0.13714285714285718
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.42954263128176173,0.19238095238095237,0.3947600225861095,0.0,0.0,0.0
Fabulous food chains,Environmental Science,0.3533018705432499,0.18717171717171716,0.3119225601984223,0.07281746031746032,0.04095238095238095,0.07281746031746032
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0,0,0,0,0,0
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.25882463074682754,0.0,0.20325150821718324,0.14632643070723567,0.0,0.14349242261006964
Volcanic eruption explained - Steven Anderson,Science & Technology,0.2554385964912281,0.1411691633175009,0.23943859649122806,0.16443524999252554,0.020168067226890758,0.16443524999252554
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0,0,0,0,0,0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0,0,0,0,0,0
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.44647478125739,0.13418740399385562,0.37521142303751,0.12293761793761793,0.026666666666666665,0.12293761793761793
How this disease changes the shape of your cells - Amber M. Yates,Health,0,0,0,0,0,0
The counting by fives song | Counting songs,Numbers & Operations,0,0,0,0,0,0
Why do we have leap years?,Teaching & Education,0.14883190883190883,0.020833333333333336,0.14883190883190883,0.05195070452423394,0.0,0.05195070452423394
Is binge watching bad for you?,Health,0.17205786839365964,0.07426816207304013,0.13081415087087236,0.028301282051282052,0.0,0.028301282051282052
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0,0,0,0,0
Why do we wrinkle when wet?,Health,0.16063196063196064,0.019999999999999997,0.09406889406889406,0.0,0.0,0.0
3D shapes song | Shapes for kids,Geometry,0.41777527597961034,0.13372549019607843,0.3335647496638209,0.5,0.1,0.5
The most common STI in the world - Emma Bryce,Literature & Language,0,0,0,0,0,0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.26890674963270245,0.05709584533113945,0.1725486129115893,0.11602564102564102,0.03,0.11602564102564102
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0,0,0,0,0,0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.22257478044071752,0.02975609756097561,0.19162743321430054,0.06666666666666668,0.05,0.06666666666666668
The surprising similarities between Twister and intelligence,Health,0.3051437451437451,0.12501587301587302,0.2784770784770784,0.16565836940836942,0.019642857142857146,0.1573250360750361
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.35171866317377154,0.0483108108108108,0.24807493847741524,0.11303565715330421,0.007692307692307693,0.10636899048663755
Why beavers are the smartest thing in fur pants,Science & Technology,0.44797827903091064,0.20659340659340658,0.31057644110275684,0.0966919539681688,0.03369565217391304,0.09602528730150214
Why we should draw more (and photograph less),Physical Fitness,0,0,0,0,0,0
The history of manners,Psychology,0,0,0,0,0,0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0,0,0,0,0,0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.31331738437001594,0.10487394957983194,0.28331738437001597,0.07991276267592057,0.013247863247863248,0.07952814729130518
Why don't haircuts hurt?,Science & Technology,0,0,0,0,0,0
