Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3616644225339877,0.2087445887445887,0.330895191764757,0.0807142857142857,0.0083333333333333,0.0735714285714285
Why does everyone hate pigeons?,Science & Technology,0.3727289377289377,0.166380987433619,0.3593956043956044,0.0853337890179995,0.0,0.0853337890179995
Is it normal to talk to yourself?,Psychology,0.4210010449320794,0.1075420875420875,0.339692789968652,0.0751226551226551,0.0142857142857142,0.0667893217893217
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.2673474945533769,0.0901818181818181,0.2506808278867102,0.0183333333333333,0.0,0.0183333333333333
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3579749103942652,0.1289635854341737,0.3210573476702509,0.02,0.0,0.02
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5397761069340017,0.2586340018845067,0.5047284878863826,0.211428547694995,0.0638261554621848,0.2098757526639391
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.2694633991244161,0.0571622157588577,0.1694322156186563,0.0,0.0,0.0
Why should you wear sunscreen?,Science & Technology,0.3816619981325864,0.0639097744360902,0.3003921568627451,0.1215150432642692,0.0264520202020202,0.1215150432642692
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.3912240686434235,0.1067931034482758,0.363506028022157,0.2114673939751339,0.0809990662931839,0.2114673939751339
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.4666666666666667,0.1634224598930481,0.3259259259259259,0.1894573257624728,0.0354166666666666,0.1842489924291394
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2863380673906989,0.0811960784313725,0.2487084377610693,0.392020202020202,0.3097222222222222,0.3881240981240981
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.2812354312354312,0.1016969696969697,0.2240999740999741,0.0611428659060238,0.0076923076923076,0.0563351735983314
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3268026697568293,0.1615590575752847,0.2853280153789491,0.00625,0.0,0.00625
What if all the ice melted on Earth?,Science & Technology,0.4821616611049314,0.177898857209202,0.4412421208750464,0.2035714285714285,0.05,0.2035714285714285
Why are you always tired?,Health,0.2236485411140583,0.0148148148148148,0.1333041556145004,0.0,0.0,0.0
I Like Myself - Children's books read aloud,Literature,0.1225943512201118,0.0,0.1108296453377589,0.0819444444444444,0.0,0.0472222222222222
What is schizophrenia? - Anees Bahji,Health,0.3368181818181818,0.0307692307692307,0.2669696969696969,0.0783333333333333,0.0,0.0783333333333333
How do pelicans survive their death-defying dives?,Environmental Science,0.3731578947368421,0.0813397129186603,0.325062656641604,0.2144707441046113,0.080273321449792,0.2080379955665997
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.413096991419572,0.1575665715529332,0.2886238731400022,0.0791666666666666,0.0,0.0791666666666666
Fabulous food chains,Environmental Science,0.3678807875611912,0.0792429792429792,0.2151819024821548,0.05,0.0,0.05
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.2538047138047138,0.0745858585858585,0.2223232323232323,0.0413868381360641,0.0,0.0413868381360641
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2249350649350649,0.0,0.1735064935064935,0.1780104617604617,0.0,0.1780104617604617
