Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7074313446254079,0.03665368742229451
Why does everyone hate pigeons?,Science & Technology,0.7185423959302736,0.24514905560329706
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7325165196820775,1.0
Is it normal to talk to yourself?,Psychology,0.7697476190450541,0.5564829299425255
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7037466682558854,0.6380322044573697
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7021358308752821,0.4805767353877101
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7393695714617848,0.3825323756628069
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6258840360888354,0.3434927221567897
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7472355096126045,0.5712094643103227
Why should you wear sunscreen?,Science & Technology,0.7373520725153921,0.2699073228176584
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7145853719542086,0.556671019281684
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7385224963020185,0.7932753919114766
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7225624174738866,0.20806357885680726
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.754953189461663,0.5075949258017664
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7031825805217095,0.32465577538367457
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7248821215184645,0.4630549362938824
What if all the ice melted on Earth?,Science & Technology,0.6732774940552753,0.604829646750146
Why are you always tired?,Health,0.6792532291526644,0.5204869129352544
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7604034374698079,0.7147207449044433
I Like Myself - Children's books read aloud,Literature,0.7731886757923477,0.652146446554104
What is schizophrenia? - Anees Bahji,Health,0.6977216475431559,0.5529896929280809
How do pelicans survive their death-defying dives?,Environmental Science,0.7129434811006159,0.20069298095874993
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7321140923307018,0.5639700704541984
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7489763707116516,0.3495428157188199
Fabulous food chains,Environmental Science,0.7516386145659102,0.4060060178760609
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7716998029746374,0.33346787519551263
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6833191033611989,0.45451441832614226
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7537080265747529,0.10696621625355385
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7361998659291967,0.7908464248982126
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7699412171705239,0.3924918982175628
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7569277451723174,0.29204117878714947
How this disease changes the shape of your cells - Amber M. Yates,Health,0.6897884072013749,0.5129812071734274
The counting by fives song | Counting songs,Numbers & Operations,0.7202087056683041,0.3197737063766114
Why do we have leap years?,Teaching & Education,0.7064437188750443,0.5096609288085721
Is binge watching bad for you?,Health,0.7305369751213255,0.7505567059568612
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.7012939374218902,0.8471385965248768
Why do we wrinkle when wet?,Health,0.6740358343189163,0.3077418045879504
3D shapes song | Shapes for kids,Geometry,0.7630915362477865,0.6851696099842539
The most common STI in the world - Emma Bryce,Literature & Language,0.7022610605118319,0.4565564006250845
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.7831613110255912,0.5171013531081983
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.770336165234563,1.0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7264687030762575,1.0
The surprising similarities between Twister and intelligence,Health,0.7293533926802229,0.5465847179927618
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.6911299427515102,0.492268346210298
Why beavers are the smartest thing in fur pants,Science & Technology,0.7516842558326429,0.48399966695782803
Why we should draw more (and photograph less),Physical Fitness,0.7314070181937519,0.32148568749412415
The history of manners,Psychology,0.6895334725969076,0.5488517999502216
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.7302092773030149,0.9189397035277057
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7238961184894441,0.6305582372608453
Why don't haircuts hurt?,Science & Technology,0.8040397376149379,0.023853510749791036
An Exercise in Self Compassion,Emotional Health,0.720061712399753,0.48938170471266346
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.7855101131785099,0.5198099847112831
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0.721148302291726,0.46408211705196856
Why some people don't have an inner monologue,Psychology,0.6583703469688011,0.5810531964616693
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.7008683935515204,0.8726834918447344
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0.7246676755795344,0.9126933326094896
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0.7152155640708332,0.25003985012626045
The counting by tens song | Counting songs,Numbers & Operations,0.7406218064001918,0.39539027855244013
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.7223412655368492,0.6164630102540163
The physics of surfing - Nick Pizzo,Science & Technology,0.7755887219149346,0.33747469872716124
Why do these deadly insects look like flowers?,Science & Technology,0.753236826252989,0.5046284257753209
Better know the Mona Lisa,Visual Arts,0.6907988628264523,0.5500267516123365
SH | fun phonics | how to read,Literature & Language,0.712675858680615,0.5360038145912235
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.7054750308682374,0.5435507377845201
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.7292313766270158,0.48385157717397076
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.750029702497918,0.46881058123285646
The science of Flint's water crisis,Public Health,0.6922164483910686,0.4483163391625399
How bones make blood - Melody Smith,Health,0.7036863051974561,0.4592451713046124
How soap kills the coronavirus,Public Health,0.714379212618772,0.4531950248579809
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.7633701374039262,0.636961801726896
The world's ugliest animal,Environmental Science,0.7673072851559887,0.22412059997635161
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.7274809063063935,0.5630734077622095
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0.7324141719680519,0.4313433773404517
What happens when you lose a balloon?,Science & Technology,0.6971049752885656,0.5683184738336895
The quest for the perfect apple,Science & Technology,0.7269762073775304,0.46959678970994523
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.7001752177372957,0.12866363977916997
Why perfect grades don't matter,Teaching & Education,0.6948459850238032,0.9951801001804922
Can you trust your ears? (audio illusions),Health,0.7211899643992271,0.48148053034565874
Why is my leg asleep?,Health,0.7813072783896444,0.422110304648094
Why don't we throw trash in volcanoes?,Science & Technology,0.6401274822556106,0.5529050065652582
Is life meaningless? And other absurd questions - Nina Medvinskaya,Philosophy,0.7801865754746553,0.28632959054906704
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0.761192760817021,0.38123190446947275
Why do American schools have such long hours?,Teaching & Education,0.6661589330239642,0.6731632216401652
Here Comes Teacher Cat - Read aloud picture book,Literature,0.7338857080088184,0.19022610865943385
What happens when nature goes viral?,Science & Technology,0.7065297218263166,0.6258236458142834
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0.68599756485005,0.36892716857864544
How Thor got his hammer - Scott A. Mellor,Social Studies,0.7236727719355907,0.44549615447301444
Helping others makes us happier--- but it matters how we do it - Elizabeth Dunn,Psychology,0.7925934386631556,0.20638796169700102
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",Social Studies,0.7425130898225416,0.47818825595678616
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0.7262331556047074,0.6199697063589897
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0.67160299565828,0.5756163065112595
The Princess and the Pea - Read aloud picture book,Literature,0.7218949572129894,0.3546803925980004
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0.7523205128120851,0.33451179649633983
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0.6731672485618823,0.4595798908647396
Why parrots can talk like humans,Life Sciences,0.7287695437620234,0.6211072640979782
Your brain hallucinates your conscious reality - Anil Seth,"Consciousness, Sensation and Perception",0.6712877435159131,0.321171600898775
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0.6870190117512023,0.47396321554384035
