page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
1,1,1,4,0.5,0.0,0.75,0.9,0.5375
1,1,2,2,0.8,0.0,0.6,1.0,0.6
1,1,3,4,0.8,0.5,0.75,0.9,0.7375
1,1,4,8,0.8,0.8,0.6,0.9,0.775
1,1,5,9,0.8,1.0,0.8,0.9,0.875
1,4,1,3,0.2,0.0,0.5,0.8,0.375
1,4,2,6,0.2,0.0,0.0,0.5,0.175
1,4,3,9,0.8,0.0,0.6,0.8,0.55
1,4,4,4,0.5,0.0,0.75,0.5,0.4375
1,4,5,5,0.8,0.0,0.6,0.8,0.55
1,5,1,9,0.2,0.0,0.8,1.0,0.5
1,5,3,2,0.5,0.0,0.75,1.0,0.5625
1,5,4,6,0.2,0.0,0.5,0.8,0.375
1,5,5,6,0.6,0.5,0.8,0.9,0.7
1,6,1,2,0.2,0.0,0.5,0.8,0.375
1,6,2,1,0.8,0.0,0.6,0.9,0.575
1,6,3,5,0.0,0.0,0.5,0.8,0.325
1,6,4,2,0.6,0.0,0.8,0.9,0.575
1,6,5,2,0.4,0.0,0.6,0.8,0.45
1,7,1,9,0.5,0.0,0.25,0.75,0.375
1,7,2,10,0.9,1.0,0.8,0.9,0.85
1,7,3,3,0.6,0.0,0.8,0.9,0.575
1,7,4,3,0.8,1.0,0.6,0.9,0.825
1,7,5,3,0.8,0.0,0.6,0.9,0.575
1,8,1,2,0.5,0.0,0.75,0.9,0.5375
1,8,2,2,0.6,0.0,0.8,0.9,0.575
1,8,3,3,0.2,0.0,0.8,0.9,0.475
1,9,1,6,0.0,0.0,0.0,0.0,0.0
1,9,2,6,0.2,0.0,0.0,0.0,0.05
1,9,3,6,0.6,0.0,0.4,0.2,0.3
1,9,4,9,0.9,0.8,0.7,0.9,0.825
1,9,5,5,0.5,0.0,0.5,0.25,0.3125
1,9,6,5,0.5,0.0,0.5,0.25,0.3125
1,9,7,6,0.0,0.0,0.0,0.0,0.0
1,9,8,9,0.9,0.8,0.7,0.9,0.825
1,9,9,6,0.6,0.0,0.4,0.2,0.3
1,9,10,6,0.2,0.0,0.0,0.0,0.05
1,11,1,1,1.0,1.0,0.75,1.0,0.9375
1,11,2,2,0.9,1.0,0.8,0.9,0.9
1,11,3,2,0.8,0.0,0.6,0.9,0.575
1,11,4,6,0.2,0.0,0.8,0.9,0.475
1,11,5,5,0.6,0.0,0.8,0.9,0.575
1,12,1,1,0.9,0.8,0.6,0.9,0.8
1,12,2,2,0.9,1.0,0.8,1.0,0.925
1,12,3,8,0.8,0.5,0.75,0.9,0.7375
1,12,4,3,0.9,1.0,0.8,1.0,0.925
1,12,5,6,0.9,1.0,0.9,1.0,0.925
1,13,1,2,0.9,0.9,0.8,0.9,0.875
1,13,2,1,0.9,0.9,0.6,0.9,0.825
1,13,3,8,0.6,0.0,0.8,1.0,0.6
1,13,4,6,0.9,0.5,0.8,0.9,0.775
1,13,5,4,0.9,1.0,0.8,0.9,0.9
1,14,1,1,0.0,0.0,0.5,0.5,0.125
1,14,3,4,0.5,0.0,0.0,0.5,0.25
1,14,4,7,0.5,0.0,0.25,0.75,0.375
1,14,5,3,0.2,0.0,0.0,0.8,0.25
1,15,1,2,0.6,0.0,0.8,0.9,0.575
1,15,2,6,0.8,0.0,0.6,0.9,0.575
1,16,1,1,0.8,0.8,0.6,0.9,0.775
1,16,2,4,0.2,0.0,0.8,0.9,0.475
1,16,3,3,0.0,0.0,0.5,1.0,0.375
1,16,4,4,0.9,0.0,0.8,0.9,0.65
1,16,5,8,0.5,0.0,0.75,1.0,0.5625
1,17,1,1,0.8,0.0,0.6,0.9,0.575
1,17,2,3,0.8,0.0,0.6,0.9,0.575
1,17,3,4,0.8,0.0,0.6,0.9,0.575
1,17,4,5,0.6,0.0,0.2,0.8,0.4
1,17,5,6,0.8,0.0,0.6,0.9,0.575
1,18,1,1,0.9,0.8,0.6,0.8,0.775
1,18,2,1,0.0,0.0,0.5,0.8,0.325
1,19,1,1,0.2,0.0,0.5,0.8,0.375
1,19,2,1,0.9,0.8,0.7,0.9,0.825
1,19,3,5,0.0,0.0,0.5,0.8,0.325
1,19,4,7,0.8,0.0,0.6,0.9,0.575
1,19,5,10,0.8,0.5,0.6,0.9,0.7
1,22,1,2,0.0,0.0,0.5,0.8,0.325
1,22,2,2,0.9,1.0,0.8,0.9,0.85
1,22,3,3,0.9,1.0,0.8,0.9,0.9
1,22,4,6,0.9,0.9,0.6,0.9,0.825
1,22,5,10,0.9,1.0,0.8,0.9,0.9
2,1,1,5,0.9,0.8,0.7,0.9,0.825
2,1,2,5,0.9,0.8,0.7,0.9,0.825
2,2,1,3,0.9,0.9,0.8,0.9,0.875
2,3,1,1,1.0,1.0,0.75,1.0,0.9375
2,3,2,3,0.2,0.0,0.8,0.9,0.475
2,4,1,8,0.8,0.0,0.6,0.9,0.575
2,4,2,9,0.9,0.0,0.5,0.8,0.55
2,4,3,5,0.0,0.0,0.0,0.0,0.0
2,5,1,3,0.8,0.8,0.6,0.9,0.775
2,5,2,4,0.9,0.0,0.8,0.9,0.65
2,5,3,5,0.9,0.75,0.8,0.9,0.8375
2,5,4,7,0.9,1.0,0.6,0.9,0.85
2,5,5,3,0.8,0.8,0.6,0.9,0.775
2,5,6,4,0.9,0.0,0.8,0.9,0.65
2,5,7,5,0.9,0.75,0.8,0.9,0.8375
2,5,8,7,0.9,1.0,0.6,0.9,0.85
2,6,1,1,0.9,0.9,0.8,0.9,0.875
2,6,2,2,0.9,1.0,0.8,0.9,0.9
2,6,3,7,0.0,0.0,0.5,1.0,0.375
2,6,4,5,0.8,0.0,0.6,0.9,0.575
2,6,5,10,0.9,0.8,0.7,0.9,0.825
2,7,1,4,0.2,0.0,0.5,0.8,0.375
2,8,1,3,0.8,0.0,0.6,0.9,0.575
2,8,2,3,0.8,0.0,0.6,0.9,0.575
2,10,1,2,0.2,0.0,0.8,0.9,0.475
2,10,2,3,0.0,0.0,0.5,1.0,0.375
2,10,3,2,0.8,0.0,0.6,0.9,0.575
2,10,4,2,0.9,0.9,0.6,0.9,0.825
2,10,5,2,0.2,0.0,0.5,0.8,0.375
2,11,1,2,0.9,0.8,0.7,0.9,0.825
2,11,2,3,0.9,0.8,0.7,0.9,0.825
2,12,1,3,0.2,0.0,0.5,0.8,0.375
2,12,2,7,0.5,0.0,0.75,0.9,0.5375
2,13,1,8,0.0,0.0,0.5,1.0,0.375
2,14,1,1,0.9,0.8,0.6,0.9,0.8
2,14,2,5,0.9,0.9,0.8,0.9,0.875
2,15,1,8,0.0,0.0,0.5,0.8,0.325
2,15,2,8,0.9,1.0,0.8,0.9,0.9
2,15,3,2,0.8,1.0,0.8,0.9,0.85
2,15,4,3,0.9,0.0,0.6,0.9,0.6
2,15,5,4,0.8,0.0,0.6,0.9,0.575
2,15,6,4,0.6,0.0,0.8,0.9,0.575
2,15,7,5,0.8,0.8,0.6,0.9,0.775
2,15,8,6,0.8,0.0,0.6,0.9,0.575
2,15,9,7,0.9,0.75,0.8,0.95,0.85
