Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.4082615097320979,0.234025974025974,0.3934466949172831,0.2533124098124098,0.0347826086956521,0.2449790764790764
Why does everyone hate pigeons?,Science & Technology,0.4049436090225564,0.1691892134428142,0.3799436090225564,0.0496836496836496,0.0,0.0496836496836496
Is it normal to talk to yourself?,Psychology,0.3950254817646122,0.097719298245614,0.2692526676222328,0.0253846153846153,0.0,0.0253846153846153
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3730274022652539,0.1231055900621118,0.3270646693459992,0.025465178096757,0.0,0.025465178096757
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.4121351766513056,0.2154563051114775,0.3582063098192131,0.1033333333333333,0.0,0.1033333333333333
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5649350649350648,0.278755980861244,0.5086580086580087,0.2223835225923326,0.0283400809716599,0.2217987272706952
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2645250024560369,0.0984404404404404,0.2309516792275412,0.0744271297382416,0.0142857142857142,0.0744271297382416
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.30335506301608,0.0560338878179957,0.1888983050847457,0.0395502645502645,0.0047619047619047,0.0277839712622321
Why should you wear sunscreen?,Science & Technology,0.2538342232392575,0.0372294372294372,0.2197762522247647,0.1967948116435235,0.0660008469791078,0.1894207586209874
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.5381864623243933,0.2415185185185185,0.5215197956577267,0.1325306637806637,0.0507936507936507,0.1325306637806637
Food waste causes climate change. Here's how we stop it,Science & Technology,0.4210021234411478,0.129151364764268,0.3233754502047185,0.0858766233766233,0.0583333333333333,0.0858766233766233
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.4944786324786324,0.2665678524374176,0.4144273504273504,0.2005560672987143,0.0233333333333333,0.1971246947496947
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2167408193794334,0.0436007130124777,0.1842551754089659,0.162805944055944,0.0518925518925518,0.1592345154845154
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.2830376595082477,0.0444444444444444,0.1806909430438842,0.1228124751925061,0.0,0.1111406485671191
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3206679708676079,0.1382139864492805,0.3024861526857897,0.0586771561771561,0.0058823529411764,0.0541317016317016
