Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3818392134181608,0.2423968188674071,0.3389820705610179,0.041993464052287585,0.0,0.041993464052287585
Why does everyone hate pigeons?,Science & Technology,0.4833877995642702,0.13446031746031747,0.4000435729847494,0.04260179434092477,0.0,0.04260179434092477
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.17760511951816302,0.06010025062656642,0.15942330133634483,0.16808255470020178,0.0,0.12815831227595934
Is it normal to talk to yourself?,Psychology,0.4186328164589034,0.2138961038961039,0.3466960575656228,0.17936507936507937,0.075,0.16825396825396827
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.2831766917293233,0.06367889420520999,0.24586466165413534,0.09226190476190477,0.008333333333333333,0.09226190476190477
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3371136653895275,0.10738624338624339,0.29517241379310344,0.0,0.0,0.0
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.4680970136941098,0.218878469262101,0.438303910245834,0.19013942713633117,0.01880952380952381,0.19013942713633117
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.3328100048100048,0.15565710262277768,0.28796151996152,0.10289744738020601,0.0,0.09472861621137484
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.1908952299245525,0.04437081617569422,0.1390348183068102,0.14654627993005492,0.010317460317460317,0.13706774070397013
Why should you wear sunscreen?,Science & Technology,0.3519298245614035,0.023529411764705882,0.2942105263157895,0.13024965643605438,0.030617519735166798,0.11942400865388483
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.4587303685089529,0.2577730415837832,0.3844928206162326,0.17782106782106782,0.0,0.17782106782106782
