Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7977076610725058,0.8197604039754547
Is it normal to talk to yourself?,Psychology,0.7623496298975398,0.4381743283272704
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.822168046822342,0.3851475807516477
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7200533970051141,0.3600269921582834
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7396907424453694,0.3424516928082694
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6810339059567501,0.4628990797067043
Why should you wear sunscreen?,Science & Technology,0.7692500044947597,0.3161239637934233
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.6932117805004578,0.5962323261406717
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7364516871307403,0.2847306281392691
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7920059377241508,0.3128930279556181
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7415951094068043,0.3607501966113999
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6904639419363255,0.6723844506979054
Why are you always tired?,Health,0.704598193973892,0.5981411925666726
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.703081100006659,0.7696319284363016
I Like Myself - Children's books read aloud,Literature,0.7612085663618087,0.6082304425059089
What is schizophrenia? - Anees Bahji,Health,0.7156035756393884,0.509648244840563
How do pelicans survive their death-defying dives?,Environmental Science,0.8044621931002354,0.2049972424135939
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.8288895801355647,0.4742120859531683
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6437869232505653,0.6051036052637929
Fabulous food chains,Environmental Science,0.827009062941149,0.3653158397283516
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.69220083782326,0.4504285514360618
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7178773894409416,0.0667604013114363
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7135712894725759,0.8898358307848828
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.6987529052195958,0.6437076141585207
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7463449649289964,0.324617846322177
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7317057183186868,0.5496566871476822
The counting by fives song | Counting songs,Numbers & Operations,0.7679847854954303,0.4241041446806381
Is binge watching bad for you?,Health,0.7180567246840447,0.8156409338219742
Why do we wrinkle when wet?,Health,0.7093838265820086,0.4251364242855627
3D shapes song | Shapes for kids,Geometry,0.7571197350982334,0.5591287505528062
The most common STI in the world - Emma Bryce,Literature & Language,0.728694756509728,0.437115092579567
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.8381752800493872,0.31656223010097
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7349906825727709,1.0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7216291727833717,0.8851753234912755
The surprising similarities between Twister and intelligence,Health,0.7260175657606938,0.4877186185462527
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.6883882091668281,0.3710722867142027
Why beavers are the smartest thing in fur pants,Science & Technology,0.775993044491421,0.4459737187652196
Why we should draw more (and photograph less),Physical Fitness,0.7164908220900431,0.3883291664266504
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.7236908046449144,1.0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7329021425660767,0.5478439170176248
Why don't haircuts hurt?,Science & Technology,0.7751549275198675,0.0438045525682678
An Exercise in Self Compassion,Emotional Health,0.764646249295851,0.5078859729078586
