Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7675698592100663,0.115219422879572
Why does everyone hate pigeons?,Science & Technology,0.7555605386342897,0.185123758814641
Is it normal to talk to yourself?,Psychology,0.7342487761947987,0.3537235867543439
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.6923796409509743,0.6899992588766131
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7135639974640846,0.3749237424771355
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7569606206063753,0.3224390290182711
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6886351565930772,0.2904712919172433
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7195380262124559,0.6886934544074296
Why should you wear sunscreen?,Science & Technology,0.7109704767612515,0.4054578389515525
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.6999851744248029,0.6783629790699242
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7066642670693007,0.3321808167173966
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7275817833752758,0.3078073799380996
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7932892812657975,0.2891066535660792
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7451320281742269,0.3870163406246937
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6935896838236523,0.5292965768479125
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7632846637578666,0.7260058817442037
I Like Myself - Children's books read aloud,Literature,0.7331483427378193,0.5865848615604261
What is schizophrenia? - Anees Bahji,Health,0.694488584230463,0.4977398301954559
How do pelicans survive their death-defying dives?,Environmental Science,0.7279327111824556,0.2362450664750701
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6255268770479504,0.701789393164356
Fabulous food chains,Environmental Science,0.7713014827423523,0.3299884311000149
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.710338264749615,0.317909954845514
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7440259257672622,0.3604132178117865
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7111376462521747,0.3784425324645651
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7144698120672308,0.613929120436492
The counting by fives song | Counting songs,Numbers & Operations,0.7259393795266325,0.2314796827308941
Why do we have leap years?,Teaching & Education,0.6695935873347433,0.4581028504914187
Is binge watching bad for you?,Health,0.7361402509255036,0.2140523552040971
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.7541682364719868,0.6471566690081066
Why do we wrinkle when wet?,Health,0.6938408663983255,0.4039644949919403
3D shapes song | Shapes for kids,Geometry,0.7186577482250209,0.8367691670005721
The most common STI in the world - Emma Bryce,Literature & Language,0.7315917869333818,0.3819524315042261
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.7543703824788618,0.3488944675225374
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7033616474050309,1.0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.6997023467529913,0.7458884758751021
The surprising similarities between Twister and intelligence,Health,0.6743762310254244,0.4909588110451263
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.7318546524739707,0.2980602442020416
Why beavers are the smartest thing in fur pants,Science & Technology,0.7401996270905039,0.4046586204019062
Why we should draw more (and photograph less),Physical Fitness,0.7209644827110866,0.4286156775410623
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.7000542315586111,1.0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7245746200450405,0.6506334241587151
Why don't haircuts hurt?,Science & Technology,0.7674525225504073,0.0127325195513865
An Exercise in Self Compassion,Emotional Health,0.6688579357716928,0.5315676916328358
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.7505711121618275,0.438418279919199
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0.7096500859653349,0.4243090189881531
