Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3114255678961561,0.11217008797653957,0.299304355774944,0.06535714285714286,0.0,0.06535714285714286
Why does everyone hate pigeons?,Science & Technology,0.30311290963464876,0.05077916905873895,0.2547305351653178,0.11606563757879548,0.0,0.10606563757879547
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0,0,0,0,0
Is it normal to talk to yourself?,Psychology,0.4325045269573006,0.12853335433980595,0.30534797536296787,0.17330086580086582,0.11944444444444444,0.17330086580086582
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.29585635995143633,0.08444895199459093,0.26813831933016996,0.12805555555555553,0.01666666666666667,0.12805555555555553
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0,0,0,0,0,0
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5074846206425153,0.23403321137067268,0.45596946912736386,0.20388876603272893,0.04120503464543713,0.20388876603272893
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0,0,0,0,0,0
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.19071473901018846,0.07362789102859373,0.1469963314173105,0.12565945910676024,0.01920726321730626,0.1026695524976754
Why should you wear sunscreen?,Science & Technology,0.28020168067226886,0.021052631578947368,0.19315406162464982,0.07826635924462012,0.006250000000000001,0.06957070707070709
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.4036347862663652,0.20634850372702038,0.3651732478048268,0.20250022923935967,0.041666666666666664,0.19480792154705195
Food waste causes climate change. Here's how we stop it,Science & Technology,0.47262227968110315,0.19904262404262404,0.3421827192415428,0.028431372549019607,0.006666666666666666,0.02426470588235294
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.42743812709030105,0.10924148315452661,0.3633355629877369,0.13044467787114847,0.006666666666666666,0.13044467787114847
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2880326797385621,0.1069047619047619,0.25536601307189544,0.13512613977010263,0.014215686274509804,0.13036423500819788
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3470769230769231,0.1868028107158542,0.28883516483516486,0.0738794903926483,0.0071428571428571435,0.0738794903926483
The race to decode a mysterious language - Susan Lupack,Linguistics,0,0,0,0,0,0
What if all the ice melted on Earth?,Science & Technology,0.3512619047619047,0.07111111111111111,0.30276190476190473,0.17094017094017094,0.00909090909090909,0.17094017094017094
Why are you always tired?,Health,0.1531739926739927,0.0,0.09083699633699634,0.007142857142857143,0.0,0.007142857142857143
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.298184746010833,0.06922943722943724,0.23449714536671057,0.03782467532467532,0.01111111111111111,0.03782467532467532
I Like Myself - Children's books read aloud,Literature,0.10849646477553454,0.0,0.10849646477553454,0.14695720945720944,0.008333333333333333,0.13237387612387613
What is schizophrenia? - Anees Bahji,Health,0.3719671094244149,0.04444444444444444,0.25886780518659075,0.10909090909090909,0.0,0.10909090909090909
How do pelicans survive their death-defying dives?,Environmental Science,0.38593509706977364,0.17976094081357236,0.31943736715740956,0.2645725204709591,0.03863354037267081,0.2579296311964908
