Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.754978996951247,0.1817746792946633
Why does everyone hate pigeons?,Science & Technology,0.7513247779267751,0.1887753089737016
Is it normal to talk to yourself?,Psychology,0.7314468399298223,0.3139667511367405
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7242088128498689,0.666730688777028
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.6692068713179569,0.4659700534421004
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7219206590125545,0.357597265579114
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6553206487243035,0.3180867092531639
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7050386866737693,0.8022477805999706
Why should you wear sunscreen?,Science & Technology,0.7582856504849731,0.3210531038190987
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7130930486925515,0.705735854472805
Food waste causes climate change. Here's how we stop it,Science & Technology,0.6751410573947509,0.6810890801030984
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7480116581715274,0.3005263308163116
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7091096464554049,0.6408104755486577
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7487034081764503,0.296186655095986
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6887755081314809,0.5290527085706226
What if all the ice melted on Earth?,Science & Technology,0.7077156586979658,0.7351716057574246
Why are you always tired?,Health,0.7393777602044346,0.5728920701600811
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7035078226457193,0.7680479047070357
I Like Myself - Children's books read aloud,Literature,0.7627478275902622,0.5193342431099819
What is schizophrenia? - Anees Bahji,Health,0.7031696176267127,0.5965646899932022
How do pelicans survive their death-defying dives?,Environmental Science,0.7028565247174664,0.1246037828739597
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.753458569176245,0.3342146881421116
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6816782326787749,0.6747335576402796
Fabulous food chains,Environmental Science,0.7237426258869989,0.3933527109931357
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.6998400930332294,0.3193640021363927
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6781276640537677,0.4617239123895365
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7465002290137852,0.3216911578621232
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7264818341315185,0.861115883370355
