Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7171696786572352,0.05305404509112022
Why does everyone hate pigeons?,Science & Technology,0.7645032729136615,0.25491530071636026
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.6989304132813839,1.0
Is it normal to talk to yourself?,Psychology,0.7183713971177272,0.41773712091324083
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7028389854897888,0.6103109574306528
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.6911792638091204,0.35670494660395213
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7209367946415807,0.3428984923890753
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.7535850659301094,0.3009272747460673
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.7095410068899816,0.5387555136641241
Why should you wear sunscreen?,Science & Technology,0.7170633241917531,0.26785866975532147
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7091367772238143,0.6598678634981064
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7205269358866657,0.7277776132044577
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.6959810830415235,0.2990203627314117
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7960024859611078,0.4197941973204201
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7150020399987296,0.36319149414681645
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6819401294413825,0.4276445924422987
What if all the ice melted on Earth?,Science & Technology,0.6879060337794687,0.613112328484974
Why are you always tired?,Health,0.6910096490799259,0.6201376066619742
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7419973319250823,0.6042444164187752
I Like Myself - Children's books read aloud,Literature,0.7799863057504772,0.5765843733090706
What is schizophrenia? - Anees Bahji,Health,0.7361907159270574,0.5890546177132386
How do pelicans survive their death-defying dives?,Environmental Science,0.7307887735236042,0.19286097651891831
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7147554893363682,0.4330777768301862
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6936311493413021,0.5304711143807327
Fabulous food chains,Environmental Science,0.7624172583707599,0.39162123340526184
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7066077951124049,0.3212528319101642
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.705233759360052,0.3900255632592625
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7261380634307872,0.1953894531477471
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7632849724073119,0.87318017588748
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.6875684047858404,0.45300381355429586
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7345935612165331,0.2832870152409331
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7288713761650689,0.5370587820283721
The counting by fives song | Counting songs,Numbers & Operations,0.7320002234772739,0.18570429820781229
Why do we have leap years?,Teaching & Education,0.6649088334035136,0.6658646663293537
Is binge watching bad for you?,Health,0.6975086352868688,0.750770670295888
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.6760635956172425,0.6577321414204864
Why do we wrinkle when wet?,Health,0.7101409112196505,0.4766212668708909
3D shapes song | Shapes for kids,Geometry,0.7226191704590953,0.6602993652500447
