Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.86,0.8222222222222222,0.86,0.8111111111111111,0.80625,0.8111111111111111
Is it normal to talk to yourself?,Psychology,0.3657205697528278,0.1824528405653632,0.3054688590978913,0.1275946275946275,0.0444444444444444,0.1275946275946275
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.485,0.1852380952380952,0.4083333333333333,0.0738849836555542,0.0043478260869565,0.0700388298094004
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3518385603578301,0.1013828763828764,0.2926379570395797,0.0503349673202614,0.0,0.0503349673202614
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.560063688633348,0.26396733521784,0.5174866578210231,0.2580960744621735,0.0447435897435897,0.2516289261993596
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2857840251323406,0.0980840455840455,0.2015473540130938,0.0774787055050213,0.0,0.0774787055050213
Why should you wear sunscreen?,Science & Technology,0.3767677257660279,0.1750426049180696,0.3288168809119572,0.2432250193583612,0.0709114413515502,0.2229593526060184
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.5114814814814814,0.2769367588932806,0.4966666666666667,0.1663369963369963,0.0684523809523809,0.1663369963369963
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.4566442577030812,0.1821988766382359,0.3155406162464985,0.1638054033207485,0.0230978260869565,0.1393887366540819
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.2255064935064935,0.0,0.1571255411255411,0.164474436802023,0.0185388685388685,0.1619534283986616
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3187096774193548,0.1006020799124247,0.2320430107526881,0.075407206742346,0.0196428571428571,0.075407206742346
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3829726836986365,0.1792533174886116,0.3525129135836939,0.0378943278943278,0.0,0.0378943278943278
Why are you always tired?,Health,0.1139682539682539,0.0,0.0715343915343915,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.2997392324451148,0.118599099099099,0.2695398022456846,0.0,0.0,0.0
I Like Myself - Children's books read aloud,Literature,0.1452461395564843,0.0,0.1193318239869964,0.1648520923520923,0.0333333333333333,0.1363167388167388
What is schizophrenia? - Anees Bahji,Health,0.3860606060606061,0.1523076923076923,0.3077272727272727,0.0717592592592592,0.0,0.0717592592592592
How do pelicans survive their death-defying dives?,Environmental Science,0.2897081413210445,0.0333333333333333,0.1954429083461341,0.1730185873050102,0.0041666666666666,0.163759328045751
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.484632622279681,0.1719047619047619,0.4655850032320621,0.0690079365079365,0.0125,0.0690079365079365
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.3509950458625595,0.1217345295606165,0.2830894197282582,0.0942857142857142,0.025,0.0942857142857142
Fabulous food chains,Environmental Science,0.4180640304062463,0.2080257673361122,0.3146178272405481,0.1066408445355813,0.0339869281045751,0.1014460393407761
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2726406926406926,0.0222222222222222,0.2544588744588744,0.1312546930193989,0.0,0.1275198657551598
Volcanic eruption explained - Steven Anderson,Science & Technology,0.2591530938720758,0.0415584415584415,0.200233116712438,0.0813725490196078,0.0,0.0696078431372549
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.465942322956169,0.1819444444444444,0.3739071640650263,0.0655844155844155,0.0,0.0655844155844155
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.4100356657308827,0.1701873911529084,0.32612714891914,0.0817156862745098,0.0,0.0817156862745098
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.3495954907161803,0.0666666666666666,0.3495954907161803,0.2008635049287594,0.0353436324024559,0.1935264121969298
How this disease changes the shape of your cells - Amber M. Yates,Health,0.4397848453576007,0.165392156862745,0.4155424211151765,0.019090909090909,0.0,0.019090909090909
