Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.78372426,0.080342452
Why does everyone hate pigeons?,Science & Technology,0.761567144,0.170771342
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0
Is it normal to talk to yourself?,Psychology,0.76683534,0.299087675
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.746400275,0.660230849
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.737512725,0.229208649
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.682318428,0.343400815
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.66727398,0.252354916
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.712244278,0.533821739
Why should you wear sunscreen?,Science & Technology,0.742956276,0.402523642
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.72077867,0.807640174
Food waste causes climate change. Here's how we stop it,Science & Technology,0.669787961,0.539558272
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.84431636,0.272149596
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.82493736,0.268367598
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.776211803,0.374527925
The race to decode a mysterious language - Susan Lupack,Linguistics,0.691589839,0.30203894
What if all the ice melted on Earth?,Science & Technology,0.701141302,0.667719397
Why are you always tired?,Health,0.758142913,0.624693233
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.749206923,0.567757852
I Like Myself - Children's books read aloud,Literature,0.744089883,0.630307479
What is schizophrenia? - Anees Bahji,Health,0.728900309,0.475470485
How do pelicans survive their death-defying dives?,Environmental Science,0.730453577,0.39896871
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.76008099,0.296153321
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.726996694,0.484927374
Fabulous food chains,Environmental Science,0.805934147,0.270880581
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.734572158,0.249518691
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.671422317,0.42030571
Volcanic eruption explained - Steven Anderson,Science & Technology,0.734028898,0.174203613
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.728958521,0.888192755
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.747724083,0.286809393
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.716603297,0.367783623
How this disease changes the shape of your cells - Amber M. Yates,Health,0.748565169,0.525066608
The counting by fives song | Counting songs,Numbers & Operations,0.723079388,0.554442067
Why do we have leap years?,Teaching & Education,0.669483377,0.370813881
