page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
1,1,1,4,0.9,1.0,0.8,1.0,0.925
1,1,2,2,1.0,1.0,0.75,1.0,0.9375
1,1,3,4,0.8,1.0,0.6,0.9,0.825
1,1,4,7,0.9,1.0,0.8,0.9,0.9
1,1,5,3,0.9,0.8,0.7,0.9,0.825
1,4,1,2,0.6,1.0,0.8,1.0,0.85
1,4,2,2,0.2,0.0,0.5,1.0,0.425
1,4,3,8,0.9,1.0,0.8,0.9,0.9
1,4,4,6,1.0,1.0,0.75,1.0,0.9375
1,4,5,4,0.6,0.0,0.8,1.0,0.6
1,5,1,1,0.0,0.0,0.5,1.0,0.375
1,5,2,1,0.6,0.0,0.8,1.0,0.6
1,5,3,8,0.6,0.0,0.8,0.9,0.575
1,5,4,7,0.6,0.5,0.8,0.9,0.7
1,5,5,6,0.8,0.8,0.9,0.9,0.85
1,6,1,2,0.2,0.0,0.8,0.9,0.475
1,6,2,1,0.6,0.0,0.8,0.8,0.55
1,6,3,3,0.9,1.0,0.8,0.9,0.9
1,6,4,8,0.6,0.5,0.8,0.9,0.7
1,6,5,8,0.4,0.0,0.8,0.9,0.525
1,7,1,2,0.5,0.0,0.75,1.0,0.5625
1,7,2,2,0.9,1.0,0.8,1.0,0.925
1,7,4,7,0.9,0.8,0.7,0.9,0.825
1,7,5,4,0.8,0.8,0.6,1.0,0.8
1,8,1,1,0.6,0.0,0.8,0.9,0.575
1,8,2,10,0.8,0.8,0.6,0.9,0.775
1,9,1,2,0.8,0.0,0.6,0.9,0.575
1,9,2,3,0.9,1.0,0.8,0.95,0.9125
1,9,3,9,0.2,0.0,0.8,0.9,0.475
1,9,4,5,0.0,0.0,0.5,1.0,0.375
1,9,5,1,0.9,1.0,0.8,0.9,0.9
1,9,6,1,0.9,1.0,0.8,0.9,0.9
1,9,7,2,0.8,0.0,0.6,0.9,0.575
1,9,8,5,0.0,0.0,0.5,1.0,0.375
1,9,9,9,0.2,0.0,0.8,0.9,0.475
1,9,10,3,0.9,1.0,0.8,0.95,0.9125
1,11,1,9,0.0,0.0,0.5,1.0,0.375
1,11,2,8,0.9,1.0,0.8,0.9,0.9
1,11,3,2,0.6,0.0,0.8,0.9,0.575
1,11,4,6,0.9,1.0,0.8,0.9,0.9
1,11,5,6,0.4,0.0,0.8,0.9,0.525
1,12,1,1,0.8,1.0,0.2,0.6,0.65
1,12,3,1,0.8,1.0,0.2,0.6,0.65
1,12,4,1,0.8,0.0,0.0,0.6,0.35
1,12,5,7,0.6,1.0,0.4,0.8,0.7
