Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0,0
Why does everyone hate pigeons?,Science & Technology,0,0
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0
Is it normal to talk to yourself?,Psychology,0,0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0,0
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7144651774490731,0.41929536083878205
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0,0
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0,0
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0
Why should you wear sunscreen?,Science & Technology,0,0
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0,0
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7118604645853708,0.8247896188647938
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0,0
Why is meningitis so dangerous? - Melvin Sanicas,Health,0,0
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0,0
What if all the ice melted on Earth?,Science & Technology,0,0
Why are you always tired?,Health,0,0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0,0
I Like Myself - Children's books read aloud,Literature,0,0
What is schizophrenia? - Anees Bahji,Health,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0,0
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7645821873855032,0.4383681347962226
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0,0
Fabulous food chains,Environmental Science,0,0
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0,0
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0,0
Volcanic eruption explained - Steven Anderson,Science & Technology,0,0
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7301108902751828,0.9920448207626859
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0,0
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0,0
How this disease changes the shape of your cells - Amber M. Yates,Health,0,0
The counting by fives song | Counting songs,Numbers & Operations,0,0
Why do we have leap years?,Teaching & Education,0,0
Is binge watching bad for you?,Health,0,0
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0
Why do we wrinkle when wet?,Health,0,0
3D shapes song | Shapes for kids,Geometry,0.7482784344608633,0.826675112479542
The most common STI in the world - Emma Bryce,Literature & Language,0,0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0,0
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0,0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7128948386326123,0.7843360280647599
The surprising similarities between Twister and intelligence,Health,0,0
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0,0
Why beavers are the smartest thing in fur pants,Science & Technology,0,0
Why we should draw more (and photograph less),Physical Fitness,0,0
The history of manners,Psychology,0,0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0,0
Art with Mati and Dada – Henri Matisse,Visual Arts,0,0
Why don't haircuts hurt?,Science & Technology,0,0
An Exercise in Self Compassion,Emotional Health,0,0
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0,0
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0,0
Why some people don't have an inner monologue,Psychology,0,0
