Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.874074074074074,0.8320000000000001,0.8444444444444444,0.8322222222222223,0.8,0.8322222222222223
Is it normal to talk to yourself?,Psychology,0.3183256528417819,0.0772370393750493,0.2696589861751152,0.0788741258741258,0.0335144927536231,0.0788741258741258
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3804226475279106,0.1250922933275874,0.353755980861244,0.0580579959256429,0.0,0.0509151387827858
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.4058045977011494,0.2004040404040404,0.3766379310344828,0.0371794871794871,0.0,0.0330128205128205
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.4554094722973441,0.1679571477713892,0.3768652857440042,0.1539106155282626,0.0,0.1539106155282626
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2606050519235103,0.0508442265795207,0.2066181238189351,0.104094597190172,0.0324074074074074,0.0929540136357954
Why should you wear sunscreen?,Science & Technology,0.2987734292997451,0.0961025641025641,0.2526195831458989,0.129638102793783,0.023695652173913,0.1085540129705627
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.5308718656544744,0.2797945387945387,0.4869565217391304,0.1898520923520923,0.0452380952380952,0.1898520923520923
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.4681415483741065,0.1764406581864862,0.3068962045706231,0.1715473145780051,0.0,0.1446698442222738
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.221855500821018,0.0222222222222222,0.1366338259441707,0.2893344286432521,0.2,0.2856929720606191
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.30502331002331,0.1044444444444444,0.2349475524475524,0.0575835818198247,0.0071428571428571,0.0520597722960151
The race to decode a mysterious language - Susan Lupack,Linguistics,0.3802241736274719,0.1931697931697931,0.3497644035125294,0.0679604296237156,0.0,0.0679604296237156
Why are you always tired?,Health,0.2081063634849242,0.0148148148148148,0.1503317785551668,0.0202020202020202,0.0,0.0202020202020202
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.373992673992674,0.1604465709728867,0.3586080586080586,0.0,0.0,0.0
I Like Myself - Children's books read aloud,Literature,0.1193398268398268,0.0,0.1072186147186147,0.1308674985145573,0.0392156862745098,0.0940285204991087
What is schizophrenia? - Anees Bahji,Health,0.42,0.0837606837606837,0.3323333333333333,0.1309523809523809,0.0,0.1309523809523809
How do pelicans survive their death-defying dives?,Environmental Science,0.3371768130002425,0.0235294117647058,0.2173142533753739,0.1463451896036614,0.0041666666666666,0.13741661817509
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.4659035177346372,0.1075862068965517,0.4530002919281856,0.0640873015873015,0.0152631578947368,0.0640873015873015
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.3569526491814822,0.1195652173913043,0.2776504136595669,0.081547619047619,0.0333333333333333,0.081547619047619
Fabulous food chains,Environmental Science,0.4982683982683982,0.3065934065934066,0.4125541125541125,0.0,0.0,0.0
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2293333333333333,0.0,0.1782857142857142,0.1739570614570614,0.0,0.1711792836792837
Volcanic eruption explained - Steven Anderson,Science & Technology,0.2235564936376031,0.041008793761407,0.1639257826235897,0.103559124340858,0.0065359477124183,0.0976554763319469
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.4582526881720429,0.1721212121212121,0.3606605222734255,0.1444444444444444,0.0925925925925925,0.1444444444444444
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.5181573498964803,0.1679197994987468,0.3902898550724638,0.0387282704645133,0.0,0.0355024640129004
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.3850657108721624,0.1609523809523809,0.3721624850657108,0.266666020822031,0.077621336996337,0.2287013271087507
How this disease changes the shape of your cells - Amber M. Yates,Health,0.4397490313874015,0.0965250965250965,0.3626335379391406,0.0142857142857142,0.0,0.0142857142857142
The counting by fives song | Counting songs,Numbers & Operations,0.1525129490392648,0.017391304347826,0.1222272347535505,0.0805555555555555,0.0,0.0805555555555555
Is binge watching bad for you?,Health,0.2717750855282824,0.0458874458874458,0.1827221244228916,0.009090909090909,0.0,0.009090909090909
Why do we wrinkle when wet?,Health,0.1873015873015873,0.0,0.1317460317460317,0.0238095238095238,0.0138888888888888,0.0238095238095238
3D shapes song | Shapes for kids,Geometry,0.2592869875222816,0.08,0.2229233511586453,0.15,0.0,0.15
The most common STI in the world - Emma Bryce,Literature & Language,0.3081658692185008,0.0347826086956521,0.2739840510366826,0.0972222222222222,0.0285714285714285,0.0972222222222222
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.2428985507246376,0.0347826086956521,0.1668405797101449,0.1330375335019298,0.056078431372549,0.1206315184643358
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.3969411764705882,0.1256493506493506,0.3536078431372549,0.1612637362637362,0.1,0.1541208791208791
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.2979248771468885,0.101449843260188,0.2159794190629105,0.093878445581131,0.0236507936507936,0.0814615657857345
