page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
62,1,1,3,0.0,0.0,0.5,1.0,0.375
62,1,2,2,0.0,0.0,0.0,0.0,0.0
62,1,3,2,0.8,0.0,0.75,0.9,0.6125
62,1,4,3,0.9,0.9,0.8,0.9,0.875
62,1,5,5,0.0,0.0,0.0,0.0,0.0
62,1,6,8,0.8,0.0,0.8,0.9,0.6
62,1,7,8,0.8,0.6667,0.75,0.9,0.7792
62,2,1,3,0.6,0.0,0.8,0.9,0.575
62,2,2,3,0.6,0.0,0.4,0.8,0.45
62,2,3,5,0.6,0.0,0.4,0.8,0.45
62,2,4,6,0.8,0.5,0.2,0.9,0.6
62,2,5,7,0.6,0.0,0.4,0.8,0.45
62,3,1,6,1.0,0.0,0.5,1.0,0.625
62,4,1,5,0.9,0.9,0.6,0.9,0.825
62,4,2,4,0.9,1.0,0.6,0.9,0.85
62,4,3,6,0.5,0.0,0.75,0.9,0.5375
62,4,4,8,0.9,0.5,0.8,0.9,0.775
62,4,5,3,1.0,1.0,0.75,1.0,0.9375
62,5,1,2,0.8,0.0,0.6,0.9,0.575
62,5,2,3,0.6,0.0,0.8,0.9,0.575
62,5,3,1,0.5,0.0,0.75,0.9,0.5375
62,5,4,4,0.9,0.0,0.8,0.9,0.65
62,6,1,7,0.8,1.0,0.8,0.9,0.85
62,6,2,6,0.9,0.0,0.8,0.9,0.65
62,6,3,4,0.9,1.0,0.8,0.9,0.9
62,6,4,5,0.9,0.5,0.8,0.9,0.775
62,6,5,9,0.9,0.8,0.7,0.9,0.825
62,7,1,2,0.2,0.0,0.5,0.8,0.375
62,7,2,1,0.6,0.0,0.8,0.9,0.575
62,7,3,6,0.9,0.9,0.8,0.9,0.875
62,8,1,2,0.8,0.0,0.6,0.9,0.575
62,9,1,7,0.9,0.5,0.8,0.9,0.775
62,9,2,2,0.8,0.0,0.8,0.9,0.6
62,9,3,5,0.9,0.0,0.8,0.9,0.65
62,9,4,4,0.5,0.0,0.75,1.0,0.5625
62,9,5,9,0.9,0.0,0.5,0.9,0.575
62,10,1,2,0.9,1.0,0.8,0.9,0.85
62,10,2,2,0.2,0.0,0.5,0.8,0.375
62,10,3,7,0.9,1.0,0.8,0.9,0.9
62,10,4,5,0.8,0.8,0.6,0.9,0.775
62,10,5,3,0.9,0.9,0.8,0.9,0.875
62,11,1,5,0.8,0.0,0.6,0.9,0.575
62,11,2,4,0.5,0.0,0.75,0.9,0.5375
62,11,3,5,0.8,0.0,0.6,0.9,0.575
62,11,4,7,0.8,0.5,0.8,0.9,0.75
62,11,5,9,0.8,0.0,0.6,0.9,0.575
62,12,1,4,0.8,0.0,0.6,0.9,0.575
62,12,2,3,0.2,0.0,0.5,0.8,0.375
62,12,3,6,0.0,0.0,0.5,0.8,0.325
62,12,4,6,0.5,0.0,0.25,0.75,0.375
62,12,5,7,0.8,0.0,0.6,0.8,0.55
62,13,1,9,0.2,0.0,0.5,0.8,0.375
62,13,2,9,0.9,0.8,0.7,0.9,0.825
62,13,3,10,0.9,0.0,0.8,0.9,0.65
62,13,4,2,0.9,0.0,0.5,0.9,0.575
62,13,5,8,0.9,0.9,0.8,0.9,0.875
62,14,1,5,0.6,0.0,0.8,0.9,0.575
62,14,2,5,0.8,1.0,0.6,0.9,0.825
62,14,3,2,0.8,1.0,0.8,0.9,0.85
62,14,4,10,0.9,1.0,0.8,0.9,0.9
62,14,5,3,0.9,1.0,0.8,0.9,0.85
62,15,1,4,0.9,1.0,0.8,0.9,0.85
62,15,2,5,0.8,0.0,0.6,0.9,0.575
62,15,3,7,0.8,0.8,0.6,0.9,0.775
62,15,4,9,0.5,0.0,0.25,0.75,0.375
62,15,5,9,0.5,0.0,0.25,0.75,0.375
62,16,1,1,0.6,0.0,0.8,0.9,0.575
62,16,2,3,0.8,0.0,0.6,0.9,0.575
62,16,3,7,0.0,0.0,0.5,1.0,0.375
62,16,4,9,0.5,0.0,0.25,0.75,0.375
62,16,5,6,0.2,0.0,0.5,0.8,0.375
62,17,1,3,0.9,0.8,0.6,0.9,0.8
62,18,1,1,0.9,0.9,0.8,0.9,0.875
62,18,2,3,0.2,0.0,0.8,1.0,0.5
62,18,3,5,0.6,0.0,0.8,0.9,0.575
62,18,4,3,0.8,0.0,0.6,0.9,0.575
62,19,1,6,0.8,0.0,0.75,0.9,0.6125
62,19,2,5,0.9,0.8,0.7,0.9,0.825
62,19,3,9,0.8,0.0,0.6,0.9,0.575
62,19,4,10,0.8,0.0,0.6,0.9,0.575
62,19,5,8,0.8,0.0,0.6,0.9,0.575
62,20,1,2,0.9,0.0,0.6,0.9,0.6
62,20,2,3,0.9,0.0,0.8,0.9,0.65
62,20,3,5,0.8,0.0,0.6,0.9,0.575
62,20,4,6,0.9,0.0,0.6,0.9,0.6
62,21,1,10,0.9,0.8,0.7,0.9,0.825
62,21,2,5,0.8,0.0,0.6,0.9,0.575
62,21,3,3,0.9,0.0,0.8,0.9,0.65
62,21,4,9,0.0,0.0,0.5,0.8,0.325
62,21,5,9,0.2,0.0,0.6,0.8,0.4
62,22,1,5,0.8,0.0,0.6,0.9,0.575
62,23,1,5,0.6,0.0,0.8,0.9,0.575
62,24,1,3,0.9,0.0,0.8,0.9,0.65
62,24,2,5,0.9,1.0,0.8,1.0,0.925
