Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.31772486772486774,0.16160176665439824,0.30343915343915345,0.07849168375484165,0.005263157894736842,0.07849168375484165
Why does everyone hate pigeons?,Science & Technology,0.5046517208281915,0.11814132104454686,0.4043740573152338,0.06036906791702189,0.010000000000000002,0.06036906791702189
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.19495576886881236,0.03538461538461539,0.17828910220214567,0.22434546447704343,0.0,0.18747677760835654
Is it normal to talk to yourself?,Psychology,0.34866335160865314,0.18304802353745625,0.29485103489311065,0.13285714285714284,0.06000000000000001,0.13285714285714284
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3335286746277458,0.10229691876750699,0.3144810555801268,0.13402288894680198,0.0,0.12198275516753776
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3385902031063321,0.07060513352346384,0.26859020310633214,0.018492618492618493,0.0,0.018492618492618493
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5101663249031669,0.19033367733058135,0.4290134426976532,0.20711918153935924,0.05227435174696839,0.19775049467067235
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.2300039301783488,0.05960436102056873,0.17781116170651054,0.08924036919392957,0.0,0.0776238278405461
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.22602519985502859,0.06530612244897958,0.1698561468897587,0.06087871163251429,0.01488970588235294,0.04734735135192801
Why should you wear sunscreen?,Science & Technology,0.2952593903058299,0.031384615384615386,0.23029141481153864,0.11820359722836501,0.04803167420814479,0.10767728143889135
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.5779086410665359,0.34658823529411764,0.4691285322864271,0.20876984126984127,0.06102564102564103,0.20876984126984127
Food waste causes climate change. Here's how we stop it,Science & Technology,0.39379762537657276,0.1364326375711575,0.29177742335637075,0.15196524064171119,0.0782258064516129,0.1418642305407011
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.3891133844842285,0.09906518602170775,0.26546803069053715,0.0291482463896257,0.004761904761904762,0.0291482463896257
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.24925775978407558,0.03636363636363636,0.1887314439946019,0.285946275946276,0.16538461538461538,0.2826129426129427
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.3675322580645161,0.19676828252540396,0.32253225806451613,0.040276385407964355,0.0,0.040276385407964355
The race to decode a mysterious language - Susan Lupack,Linguistics,0.38596825396825396,0.22738095238095238,0.3716825396825397,0.1340811965811966,0.047619047619047616,0.11185897435897436
What if all the ice melted on Earth?,Science & Technology,0.39354497354497353,0.052363636363636355,0.249015873015873,0.0,0.0,0.0
Why are you always tired?,Health,0.16691910388462114,0.0,0.09749896080930563,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.3453225806451613,0.14071996968548692,0.29051459293394777,0.05,0.05,0.05
I Like Myself - Children's books read aloud,Literature,0.10740102171136653,0.0,0.10740102171136653,0.06955128205128205,0.03333333333333333,0.06955128205128205
What is schizophrenia? - Anees Bahji,Health,0.3794712533842969,0.13029076186970923,0.28369167064819234,0.0,0.0,0.0
How do pelicans survive their death-defying dives?,Environmental Science,0.40166666666666667,0.10526315789473684,0.33857142857142863,0.29178876678876675,0.09742424242424241,0.28464590964590963
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.3609055704021379,0.02,0.2960783686184144,0.032467532467532464,0.01111111111111111,0.032467532467532464
