Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7081340712301277,0.08280275473428753
Why does everyone hate pigeons?,Science & Technology,0.7327141729922679,0.2708529481726544
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7236178046990547,1.0
Is it normal to talk to yourself?,Psychology,0.7138053337400903,0.367200326941718
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.70796692640566,0.48394252328255316
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.7331491045830874,0.20712811911068396
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.742303275497739,0.32960946210940956
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.7402900649968045,0.2758729642703561
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0
Why should you wear sunscreen?,Science & Technology,0.7748273732326526,0.2895210544822536
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.6701730398223786,0.28817473633702423
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7245908525988989,1.0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7035400943961856,0.22261551995259582
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7286245593598011,0.4624877123949491
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7350570701255201,0.344271829598357
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7417600893382146,0.47845829160977926
What if all the ice melted on Earth?,Science & Technology,0.7094828060654262,0.5649920504431926
Why are you always tired?,Health,0.7171632823809073,0.7192193896418242
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7364833149785186,0.6656039750826392
I Like Myself - Children's books read aloud,Literature,0.7702981600281531,0.6442774019821296
What is schizophrenia? - Anees Bahji,Health,0.6892430649394313,0.5171772091888296
How do pelicans survive their death-defying dives?,Environmental Science,0.6920566564793326,0.16282934757235162
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.764169340010976,0.37899117000273697
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7198193591684401,0.4325640198563871
Fabulous food chains,Environmental Science,0.7625067994908086,0.3719735528970144
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7337802445472571,0.2678584858991483
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.7269865837490326,0.40753125976665505
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7006253175754793,0.17041109562457937
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7238652744656138,1.0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7409435978455787,0.552172500782363
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.6812088119602331,0.34488998823733225
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7267930460436066,0.5839853637550172
The counting by fives song | Counting songs,Numbers & Operations,0.7260287005828306,0.3120828355198233
Why do we have leap years?,Teaching & Education,0,0
Is binge watching bad for you?,Health,0.6634357752282348,0.651586527867214
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.7151310806324715,0.8430412752933905
Why do we wrinkle when wet?,Health,0.6946621302046239,0.3293065409755852
3D shapes song | Shapes for kids,Geometry,0.7583735775680385,0.8598909691413702
The most common STI in the world - Emma Bryce,Literature & Language,0.7333326819555747,0.43019696240318916
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.749734878924504,0.3889504572344986
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7303923342798206,1.0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7185626533288781,0.9239359002367937
The surprising similarities between Twister and intelligence,Health,0.6870541106118209,0.5433913236217401
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.676296899724676,0.2942402517032091
Why beavers are the smartest thing in fur pants,Science & Technology,0.735376034389404,0.46966845491595743
Why we should draw more (and photograph less),Physical Fitness,0.7071330705702499,0.308522225619828
The history of manners,Psychology,0.6794663814307853,0.3778510697171481
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.7118307075717254,1.0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7282659149517323,0.5014209412176089
Why don't haircuts hurt?,Science & Technology,0.7388671747371339,0.018037078034406552
