Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.3095285873546743,0.1392107892107892,0.28667144449753146,0.06590062111801243,0.009523809523809521,0.06590062111801243
Why does everyone hate pigeons?,Science & Technology,0.3368014864748078,0.12720273649066222,0.30680148647480776,0.1394292635469106,0.0,0.12169764875647227
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.20055411255411254,0.07016722408026757,0.20055411255411254,0.13946941946941946,0.0,0.12946941946941945
Is it normal to talk to yourself?,Psychology,0.41146149147648403,0.2391765271765272,0.3636104170137154,0.1761111111111111,0.08,0.1761111111111111
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.30797810884767407,0.0670762928827445,0.2497030505726158,0.19342483825242446,0.1,0.18675677921594436
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3606400021722602,0.08091954022988505,0.28327631150211796,0.03875,0.0,0.03875
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.5176742250884127,0.22555810202869025,0.5010075584217459,0.23610790929057185,0.08457202111613876,0.23610790929057185
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.21877380320094447,0.057792207792207784,0.19155979115934624,0.06747474747474748,0.01111111111111111,0.04663742690058479
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.22467133306411813,0.06846057909461692,0.1603940638040113,0.030324074074074076,0.0,0.02037037037037037
Why should you wear sunscreen?,Science & Technology,0.26009729401033743,0.0,0.2245241714806932,0.19354154522994543,0.03986928104575163,0.1850236880870883
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.4737151737151738,0.2199011164274322,0.39442224442224444,0.112181656063235,0.0,0.105931656063235
Food waste causes climate change. Here's how we stop it,Science & Technology,0.39088706462619505,0.12580952380952382,0.30574750853011723,0.048951048951048945,0.0,0.04467754467754467
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.49846178646178646,0.16370568561872909,0.2720513240513241,0.12919907706672412,0.0,0.12364352151116856
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.29362420830401126,0.08148148148148147,0.2154093361482524,0.17643689643689645,0.08052631578947368,0.1667146742146742
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.286914805624483,0.08631636562671044,0.19614557485525225,0.017142857142857144,0.0,0.017142857142857144
The race to decode a mysterious language - Susan Lupack,Linguistics,0.34602419091206277,0.1899159663865546,0.3317384766263485,0.12887288150446047,0.008333333333333333,0.10526177039334936
What if all the ice melted on Earth?,Science & Technology,0.36715892528119237,0.025,0.23013722740147954,0.010644257703081233,0.0,0.010644257703081233
Why are you always tired?,Health,0.16,0.0,0.07904761904761905,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.4938449270028217,0.2280629827688651,0.44209667525456997,0.0,0.0,0.0
I Like Myself - Children's books read aloud,Literature,0.08212962962962962,0.0,0.08212962962962962,0.04816849816849817,0.0,0.04816849816849817
What is schizophrenia? - Anees Bahji,Health,0.4155969634230504,0.09642857142857142,0.3290890269151139,0.13333333333333333,0.05,0.13333333333333333
How do pelicans survive their death-defying dives?,Environmental Science,0.3940100250626567,0.13982456140350874,0.3254385964912281,0.03170546558704453,0.014285714285714285,0.03170546558704453
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.41614556295670846,0.11052631578947367,0.3144106701691841,0.15,0.025,0.15
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.48712387028176496,0.24219457013574658,0.4204572036150983,0.11754329004329005,0.032051282051282055,0.11754329004329005
Fabulous food chains,Environmental Science,0.4009404709410001,0.18738962325918848,0.34982485227974247,0.0,0.0,0.0
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.27290043290043287,0.05923444976076555,0.23805194805194801,0.12144230769230771,0.0038461538461538455,0.10910464535464534
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.26339399730704083,0.0,0.19539532930837278,0.10878028404344194,0.0,0.10878028404344194
Volcanic eruption explained - Steven Anderson,Science & Technology,0.14735673930589188,0.0,0.12427360774818404,0.05568467480232185,0.0,0.05568467480232185
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.41964339042599913,0.14835810340966682,0.3278858146684233,0.06488502673796791,0.020823105193814577,0.06238502673796792
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.4374418228829994,0.12543859649122807,0.28645076492135313,0.01865079365079365,0.0,0.01865079365079365
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.32343828085957027,0.07195767195767197,0.2784607696151924,0.14806399010346377,0.011764705882352941,0.14165373369320738
How this disease changes the shape of your cells - Amber M. Yates,Health,0.46190476190476193,0.19564061669324828,0.46190476190476193,0.017361111111111112,0.0,0.017361111111111112
