page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
50,1,1,4,0.6,0.0,0.8,0.9,0.575
50,1,2,4,0.8,0.5,0.8,0.9,0.75
50,1,3,6,0.6,0.0,0.8,0.9,0.575
50,2,1,3,0.8,1.0,0.8,1.0,0.9
50,2,2,3,0.8,0.5,0.6,0.9,0.7
50,2,3,5,0.8,0.0,0.6,0.9,0.575
50,2,4,8,0.8,0.5,0.8,0.9,0.75
50,2,5,7,0.2,0.0,0.5,0.8,0.375
50,3,1,9,0.6,0.5,0.8,0.9,0.7
50,3,2,11,0.9,1.0,0.8,0.95,0.9125
50,3,3,8,0.6,0.0,0.8,0.9,0.575
50,3,4,3,0.8,0.5,0.8,0.9,0.75
50,3,5,6,0.8,0.5,0.8,0.9,0.75
50,4,1,11,0.4,0.0,0.6,0.8,0.45
50,4,2,2,0.2,0.0,0.8,0.9,0.475
50,4,3,15,0.6,0.0,0.8,0.9,0.575
50,5,1,4,1.0,1.0,0.75,1.0,0.9375
50,6,1,1,0.9,1.0,0.8,0.9,0.9
50,6,2,1,0.8,1.0,0.8,0.9,0.875
50,6,3,1,0.0,0.0,0.5,1.0,0.375
50,6,4,2,0.2,0.0,0.8,0.9,0.475
50,6,5,2,0.2,0.0,0.8,0.9,0.475
50,7,1,2,0.9,1.0,0.8,0.9,0.85
50,7,2,1,0.5,0.0,0.75,1.0,0.5625
50,7,3,6,0.0,0.0,0.5,1.0,0.375
50,7,4,7,0.9,1.0,0.8,1.0,0.925
50,7,5,2,0.9,1.0,0.8,1.0,0.925
50,8,1,3,0.8,0.5,0.8,0.9,0.75
50,8,2,4,0.6,0.0,0.8,0.9,0.575
50,8,3,8,0.9,0.8,0.7,0.9,0.825
50,8,4,1,0.2,0.0,0.8,0.9,0.475
50,8,5,6,0.6,0.0,0.8,0.9,0.575
50,9,1,11,0.9,1.0,0.8,0.9,0.9
50,9,2,5,0.6,0.0,0.8,0.9,0.575
50,9,3,13,0.0,0.0,0.5,0.8,0.325
50,9,4,10,0.1,0.0,0.8,0.9,0.45
50,9,5,7,0.8,0.0,0.8,0.9,0.625
50,10,1,5,0.6,0.0,0.8,0.9,0.575
50,10,2,5,0.8,0.0,0.6,0.9,0.575
50,10,3,2,0.9,1.0,0.8,1.0,0.925
50,10,4,10,0.8,0.6,0.8,0.9,0.775
50,10,5,3,0.5,0.0,0.75,0.9,0.5375
50,11,1,1,0.8,1.0,0.6,0.9,0.825
50,11,2,2,0.9,1.0,0.9,0.95,0.9125
50,11,3,6,0.8,0.8,0.6,0.9,0.775
50,11,4,5,0.6,0.5,0.8,0.7,0.65
50,11,5,8,0.9,1.0,0.8,0.9,0.85
50,12,1,4,0.6,0.5,0.8,0.9,0.7
50,13,2,8,0.0,0.0,0.0,0.5,0.125
50,13,3,8,0.0,0.0,0.5,0.8,0.325
50,14,2,1,0.0,0.0,0.0,0.8,0.2
50,15,2,1,0.0,0.0,0.0,0.5,0.125
50,15,4,4,0.0,0.0,0.0,0.8,0.2
50,15,5,4,0.0,0.0,0.0,0.0,0.0
50,16,1,6,0.0,0.0,0.0,0.5,0.125
50,16,2,1,0.9,1.0,0.8,0.9,0.9
50,16,4,6,0.0,0.0,0.0,0.5,0.125
50,16,5,6,0.0,0.0,0.5,0.8,0.325
50,17,1,1,0.0,0.0,0.0,0.5,0.125
50,17,4,1,0.0,0.0,0.0,0.5,0.125
50,18,1,10,0.9,1.0,0.8,0.9,0.85
50,18,3,1,0.0,0.0,0.5,0.8,0.325
50,19,2,4,0.0,0.0,0.0,0.5,0.125
50,19,4,1,0.0,0.0,0.0,0.5,0.125
50,20,1,3,1.0,1.0,1.0,1.0,1.0
50,20,2,11,0.0,0.0,0.0,0.8,0.2
50,20,3,1,1.0,1.0,0.8,1.0,0.95
50,20,4,1,0.5,0.5,0.75,0.9,0.6625
50,20,5,1,0.0,0.0,0.0,1.0,0.25
50,21,1,1,0.0,0.0,0.0,0.5,0.125
50,21,2,6,0.0,0.0,0.0,0.5,0.125
50,22,1,6,0.0,0.0,0.0,0.5,0.125
50,22,2,1,0.9,1.0,0.8,0.9,0.85
