Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7278208777605565,0.26228066802972383
Why does everyone hate pigeons?,Science & Technology,0.7138981322091094,0.2124723141952154
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7299138471635834,0.8618730796717184
Is it normal to talk to yourself?,Psychology,0,0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0,0
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0,0
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7246782745760108,0.3462345385083963
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0,0
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0
Why should you wear sunscreen?,Science & Technology,0,0
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.6770646322884716,0.38051127776979377
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7165729400082881,0.7490762154941093
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0,0
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.743698013103384,0.47805339938000957
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6986577613935968,0.6057382248760806
What if all the ice melted on Earth?,Science & Technology,0,0
Why are you always tired?,Health,0,0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0,0
I Like Myself - Children's books read aloud,Literature,0.7690349128058245,0.6644678453268403
What is schizophrenia? - Anees Bahji,Health,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0,0
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7664398559696656,0.4992424483004777
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7270882709071614,0.5056940656513538
Fabulous food chains,Environmental Science,0.7786908668123614,0.4170381077255697
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0,0
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6844814641546881,0.38767721693628177
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7192780205159282,0.22826179267940008
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0,0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0,0
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.6978115535716721,0.30469660049211794
How this disease changes the shape of your cells - Amber M. Yates,Health,0,0
The counting by fives song | Counting songs,Numbers & Operations,0,0
Why do we have leap years?,Teaching & Education,0.6596264947014179,0.4357998646176925
Is binge watching bad for you?,Health,0.7218884023251437,0.5743730364064177
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0
Why do we wrinkle when wet?,Health,0.6848109343408235,0.32261442086682285
3D shapes song | Shapes for kids,Geometry,0.7354258021708852,0.726634953526412
The most common STI in the world - Emma Bryce,Literature & Language,0,0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.757677621769025,0.30803890602290157
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0,0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.6750769057680952,1.0
The surprising similarities between Twister and intelligence,Health,0.7154738587683266,0.5138075857836505
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.6646897297441058,0.2942734783058541
Why beavers are the smartest thing in fur pants,Science & Technology,0.7132831426428308,0.44079219685243165
Why we should draw more (and photograph less),Physical Fitness,0,0
The history of manners,Psychology,0,0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0,0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.6848246106200941,0.5043266127597051
Why don't haircuts hurt?,Science & Technology,0,0
