Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7110317841336429,0.0960828206284686
Why does everyone hate pigeons?,Science & Technology,0.7688392011323303,0.0
Is it normal to talk to yourself?,Psychology,0.7696839137251625,0.367766871178024
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7329445366062319,0.6509432771927288
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7021803874522203,0.0
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.657208662529835,0.3435211266777646
Why should you wear sunscreen?,Science & Technology,0.7018202965440066,0.3709248428443524
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.700866989507125,0.7727242456221957
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7113196528930185,0.2807878642033574
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7321738162897737,0.4485100021107315
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.7746236053341109,0.3556118557548634
The race to decode a mysterious language - Susan Lupack,Linguistics,0.6881606089700607,0.3850976517627723
Why are you always tired?,Health,0.7226452954282988,0.5605005008609213
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7225408426946389,0.6430547278229912
I Like Myself - Children's books read aloud,Literature,0.7802325495237408,0.6346623648206091
What is schizophrenia? - Anees Bahji,Health,0.6934000083560005,0.5490717569696784
How do pelicans survive their death-defying dives?,Environmental Science,0.7205655720906201,0.1491785687653737
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7939358003266801,0.6028143444347923
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.6830669326823566,0.5427728385098038
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6908784029278705,0.4483504549382469
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7227894851634469,0.1235401506818038
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7224762617087653,1.0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.740198035618479,0.2635559725100852
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7075324715084397,0.2326346348804025
How this disease changes the shape of your cells - Amber M. Yates,Health,0.7041085634461014,0.624462300170916
The counting by fives song | Counting songs,Numbers & Operations,0.7353331975444608,0.2354277328240557
Why do we have leap years?,Teaching & Education,0.6927914539572911,0.0
Is binge watching bad for you?,Health,0.7027028508174055,0.5598574753992688
Why do we wrinkle when wet?,Health,0.7238862485757332,0.4185880179370603
3D shapes song | Shapes for kids,Geometry,0.7661265702601956,0.8278492177568811
The most common STI in the world - Emma Bryce,Literature & Language,0.7052066510944603,0.0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.7266467680946661,0.3826924374298129
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.749704983306459,0.9853553390593272
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7545757918870635,0.9610991469741564
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.6832098435139516,0.4315477138183
Why beavers are the smartest thing in fur pants,Science & Technology,0.7200031764482165,0.3177219032595579
Why we should draw more (and photograph less),Physical Fitness,0.6762518155283984,0.3236321061457189
Art with Mati and Dada – Henri Matisse,Visual Arts,0.764032048110006,0.5708669912586058
Why don't haircuts hurt?,Science & Technology,0.7809685239990564,0.0512293530624135
An Exercise in Self Compassion,Emotional Health,0.7331796702648424,0.5033328999703077
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.7429677197985971,0.0
