Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.7346376642140188,0.024677534877537707
Why does everyone hate pigeons?,Science & Technology,0.7343571870100231,0.2719149517114273
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7016770274015246,1.0
Is it normal to talk to yourself?,Psychology,0.7178586176102103,0.30960471181653176
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7259062391482762,0.6037748815518355
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.767808923255698,0.3495210852011733
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7011383041613681,0.3013700462462656
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.7311443772668687,0.31658224552924874
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0
Why should you wear sunscreen?,Science & Technology,0,0
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.6622412406131668,0.3711920086885982
Food waste causes climate change. Here's how we stop it,Science & Technology,0.7266878922927859,0.8215393483142271
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.7589181207091447,0.21992339327329632
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7348863844971749,0.3953648310125212
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7111398880179953,0.5449153965856942
What if all the ice melted on Earth?,Science & Technology,0.7019420103071129,0.491764207574771
Why are you always tired?,Health,0.7287862245257,0.4870156911607693
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.7380311088867415,0.7057775039830597
I Like Myself - Children's books read aloud,Literature,0.7704055101958894,0.6314684840371534
What is schizophrenia? - Anees Bahji,Health,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0.7242695581252159,0.18061092774376766
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0,0
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7349204851798312,0.4741532759364038
Fabulous food chains,Environmental Science,0.7577574210369818,0.32012232536704016
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7747863986862382,0.3929207152169675
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6970535164667011,0.4532717043534552
Volcanic eruption explained - Steven Anderson,Science & Technology,0,0
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7388068561872406,0.9920448207626856
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7277741121174452,0.5669894201573296
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7007828791698831,0.28943453554361953
How this disease changes the shape of your cells - Amber M. Yates,Health,0,0
The counting by fives song | Counting songs,Numbers & Operations,0,0
Why do we have leap years?,Teaching & Education,0,0
Is binge watching bad for you?,Health,0,0
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.6920584858186495,0.7210276826480166
Why do we wrinkle when wet?,Health,0.7358816890866564,0.35094774805577456
3D shapes song | Shapes for kids,Geometry,0.743270492342628,0.8853738183372419
The most common STI in the world - Emma Bryce,Literature & Language,0.737148943197646,0.37332107723869645
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.7581537765795574,0.2986863894657562
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7833999619572729,1.0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.6943461611864927,0.9220080237621342
The surprising similarities between Twister and intelligence,Health,0.7312525054343462,0.41156990989740505
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.6999349350768099,0.46639101568752156
Why beavers are the smartest thing in fur pants,Science & Technology,0.7055880684758955,0.4317592409483967
Why we should draw more (and photograph less),Physical Fitness,0.7239496549900937,0.3004967049782912
The history of manners,Psychology,0.6834977786451562,0.33835467519285506
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0,0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.7162790209954478,0.6964220350142027
Why don't haircuts hurt?,Science & Technology,0.7422886247075289,0.023251012672251742
