Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.29820846452725014,0.088179068,0.26625761967317946,0.094107652,0.004,0.094107652
Why does everyone hate pigeons?,Science & Technology,0.34393939393939393,0.052903226,0.2686868686868687,0.05861105,0,0.05861105
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.16886554330490255,0.038181818181818185,0.16886554330490255,0.16176337551337552,0,0.14093004218004218
Is it normal to talk to yourself?,Psychology,0.3458059581320451,0.14480255975908152,0.315914654,0.2124242424242424,0.1875,0.2124242424242424
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.3383221850613155,0.10216450216450217,0.270206243,0.081666667,0,0.079583333
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.30473801560758085,0.12056277056277057,0.2880713489409142,0.008333333,0,0.008333333
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.44523809523809527,0.12344497607655502,0.37142857142857144,0.18659090909090909,0.04,0.18659090909090909
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.3323076923076923,0.085507246,0.2529230769230769,0.17953014091171987,0.05047619,0.17953014091171987
Food waste causes climate change. Here's how we stop it,Science & Technology,0.5034632034632034,0.15015384615384617,0.43150553150553145,0.052182539682539685,0.02,0.052182539682539685
The race to decode a mysterious language - Susan Lupack,Linguistics,0.4360371517027864,0.1994281045751634,0.4125077399380805,0.06939176,0,0.06939176
Why are you always tired?,Health,0.14579821200510856,0,0.11003831417624521,0,0,0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.3985964912280703,0.12357968828557064,0.3405012531328321,0,0,0
I Like Myself - Children's books read aloud,Literature,0.14338933169578333,0,0.095608484,0.11608225108225108,0,0.069491342
What is schizophrenia? - Anees Bahji,Health,0.436050061,0.03,0.2577411477411477,0,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0.33013453694568246,0.061248710010319916,0.2604081848663892,0.17649073149073147,0.00625,0.1497075147075147
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.3197758692919983,0.049808429,0.2947758692919983,0.036495726,0.009090909,0.036495726
Fabulous food chains,Environmental Science,0.40041487783423274,0.13390499156016397,0.294185146,0.040709290709290705,0.02020202,0.040709290709290705
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.26926892109500805,0.049391304347826084,0.23726892109500802,0.063901458,0,0.063901458
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2085383819079471,0,0.17699076286032808,0.1490079365079365,0,0.1490079365079365
Volcanic eruption explained - Steven Anderson,Science & Technology,0.2640164179181054,0.071835749,0.22132396143841487,0.067022642,0.008333333,0.067022642
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.35689960194604153,0.087851274,0.32087019018133567,0.057509337,0,0.057509337
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.36904761904761896,0.10239234449760766,0.25952380952380955,0.10789072039072041,0,0.10789072039072041
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.3715187337206973,0.070562771,0.31165431109330133,0.16119472315124486,0.027190170940170937,0.14389313584965757
Is binge watching bad for you?,Health,0.17116560680820167,0.033350493,0.1423045453890007,0.035940170940170935,0,0.035940170940170935
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.15873737373737373,0,0.1142929292929293,0.1699106449106449,0.05,0.13774281274281275
Why do we wrinkle when wet?,Health,0.3164337112163199,0.058771929824561406,0.19539532930837278,0,0,0
3D shapes song | Shapes for kids,Geometry,0.3740092879256966,0.097852474,0.2848452012383901,0.35,0.1,0.35
The most common STI in the world - Emma Bryce,Literature & Language,0.3656530214424952,0.015999999999999997,0.28873294346978556,0.13737234987234986,0,0.13737234987234986
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.3213859560918384,0.089777778,0.24330191050779285,0.049207459,0,0.046985237
