title,category,average-bleu,average-rouge,average-bert-score,average-cosine-similarity
"How to organize, add and multiply matrices - Bill Shillito",Algebra,0.679487742,0.092696133,0.430120473,0.431401085
How folding paper can get you to the moon - Adrian Paenza,Algebra,0.73341508,0.099209661,0.434237237,0.34449365
How does math guide our ships at sea? - George Christoph,Algebra,0.689674624,0.111443355,0.449186019,0.325142169
Gridiron physics: Scalars and vectors - Michelle Buchanan,Algebra,0.664473917,0.05518689,0.406254018,0.182161023
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.773752081,0.133330085,0.460052594,0.391766603
The hidden worlds within natural history museums - Joshua Drew,Anthropology,0.720591675,0.127108893,0.435809517,0.319702744
The contributions of female explorers - Courtney Stephens,Anthropology,0.694575205,0.125816426,0.490386332,0.380110391
Explore cave paintings in this 360 degree animated cave - Iseult Gillespie,Anthropology,0.66552777,0.147901386,0.450931347,0.394998383
"Vampires: Folklore, fantasy and fact - Michael Molina",Anthropology,0.669703923,0.119219099,0.430166047,0.290894161
What can you learn from ancient skeletons? - Farnaz Khatibi,Anthropology,0.708209486,0.104410631,0.500687711,0.293787285
The myth of Ireland's two greatest warriors - Iseult Gillespie,Anthropology,0.691491013,0.081151935,0.396538724,0.297879161
The myth of Icarus and Daedalus - Amy Adkins,Area Studies,0.747122262,0.176595373,0.514052892,0.443937582
Why women's clothing sizes don't make sense,Area Studies,0.729702187,0.093464052,0.349335749,0.20554153
Navigating Our Global Future - Ian Goldin,Area Studies,0.686621898,0.092459618,0.402033459,0.137557038
The myth behind the Chinese zodiac - Megan Campisi and Pen-Pen Chen,Area Studies,0.680980797,0.149403561,0.458998622,0.278315465
5 Weird Involuntary Reflexes Explained!,Biological Bases of Behavior,0.727043295,0.063903488,0.44672802,0.331744581
Why do we itch? - Emma Bryce,Biological Bases of Behavior,0.664601253,0.137817147,0.448219637,0.304094857
"How do dogs ""see"" with their noses? - Alexandra Horowitz",Biological Bases of Behavior,0.714698713,0.155368085,0.462753464,0.415831839
The paradox of value - Akshita Agarwal,Business & Economics,0.629942251,0.100129517,0.411451135,0.228065518
Why is it so hard to escape poverty? - Ann-Hel??n Bay,Business & Economics,0.738205628,0.113899627,0.512341224,0.380425959
How do we create a better economy?,Business & Economics,0.651161045,0.094584401,0.400848951,0.277243047
How does the stock market work? - Oliver Elfenbaum,Business & Economics,0.703159266,0.053333333,0.405794132,0.206707885
Why do you get a fever when you're sick? - Christian Moro,Business & Economics,0.711719946,0.084044715,0.42425136,0.231833581
How to spot a pyramid scheme - Stacie Bosley,Business & Economics,0.674841337,0.106457101,0.425424768,0.262933317
Producers and consumers | Economics for first and second grade,Business & Economics,0.663628669,0.108187135,0.413715935,0.335099523
How people rationalize fraud - Kelly Richmond Pope,Business & Economics,0.663921838,0.055880592,0.353677188,0.205060546
What causes an economic recession? - Richard Coffin,Business & Economics,0.711551758,0.120292245,0.49519882,0.342429426
What does income inequality mean to Americans?,Business & Economics,0.771523665,0.155543945,0.480698468,0.396797204
How exposing anonymous companies could cut down on crime - Global Witness,Business & Economics,0.667758812,0.146227188,0.478062258,0.369021763
What does it mean to be a refugee? - Benedetta Berti and Evelien Borgman,Business & Economics,0.65845431,0.137752855,0.433409531,0.395874893
The true cost of gold - Lyla Latif,Business & Economics,0.766391317,0.061349091,0.366212327,0.160267097
Why good ideas get trapped in the valley of death--- and how to rescue them,Business & Economics,0.69104271,0.08462601,0.377760284,0.188020361
Is inequality inevitable?,Business & Economics,0.811843448,0.133631963,0.441510325,0.303492553
Do tax cuts stimulate the economy? - Jonathan Smith,Business & Economics,0.653562961,0.10022079,0.456839023,0.279978961
These companies with no CEO are thriving,Business & Economics,0.698120377,0.127680906,0.430354679,0.295447797
Is capitalism actually broken?,Business & Economics,0.717908874,0.071789452,0.400146441,0.301763457
How do governments create money out of thin air? - Jonathan Smith,Business & Economics,0.648306809,0.165651637,0.530458823,0.282923727
What's the best country to live in?,Business & Economics,0.68745162,0.176887464,0.444743855,0.417650791
What causes economic bubbles? - Prateek Singh,Business & Economics,0.699089426,0.10067076,0.41807278,0.249309879
Can the economy grow forever?,Business & Economics,0.730528907,0.14727168,0.47141916,0.356825946
What is a gig economy?,Business & Economics,0.760632229,0.140881739,0.431708959,0.335407356
Gerrymandering: How drawing jagged lines can impact an election - Christina Greer,Civics,0.689960306,0.262850698,0.504170499,0.431502465
How do executive orders work? - Christina Greer,Civics,0.679141062,0.130733279,0.397044754,0.317635761
Why do Americans vote on Tuesdays? - Jacob Soboroff,Civics,0.712910583,0.111982781,0.431600423,0.315680606
Are You A Classical Or Romantic Voter?,Civics,0.703963395,0.106483758,0.429450245,0.290769596
Which voting system is the best? - Alex Gendler,Civics,0.688030065,0.14071745,0.457762485,0.240106453
Can you solve the riddle and escape Hades? - Dan Finkel,Civics,0.717900324,0.116072732,0.440528385,0.279136516
The operating system of life - George Zaidan and Charles Morton,Civics,0.717099264,0.098742634,0.437191552,0.225131545
What gives a dollar bill its value? - Doug Levinson,Civics,0.665776868,0.048879883,0.434010156,0.240435237
What happened to trial by jury? - Suja A. Thomas,Civics,0.683973571,0.1020761,0.393312206,0.324656607
Does your vote count? The Electoral College explained - Christina Greer,Civics,0.721568501,0.199904416,0.472266347,0.41912604
How do US Supreme Court justices get appointed? - Peter Paccone,Civics,0.718491799,0.081446342,0.356397781,0.267651833
How does impeachment work? - Alex Gendler,Civics,0.704603421,0.156301384,0.505930008,0.493018507
The historical audacity of the Louisiana Purchase - Judy Walton,Civics,0.683038851,0.179376228,0.432497925,0.455539622
A 3-minute guide to the Bill of Rights - Belinda Stutzman,Civics,0.729966905,0.148747898,0.444901126,0.362223389
How is power divided in the United States government? - Belinda Stutzman,Civics,0.708148263,0.126582169,0.450379795,0.366225426
"Equality, sports, and Title IX - Erin Buzuvis and Kristine Newhall",Civics,0.761474196,0.120793985,0.438264157,0.385439881
What is society? | US society for children,Civics,0.759652329,0.235392457,0.527338503,0.443161843
How does the Nobel Peace Prize work? - Adeline Cuvelier and Toril Rokseth,Civics,0.684648219,0.154476825,0.44755241,0.303743636
"What ""Orwellian"" really means - Noah Tavlin",Civics,0.713103911,0.1699559,0.470956585,0.33839609
How to understand power - Eric Liu,Civics,0.729205594,0.084616474,0.397949982,0.257777407
How the water you flush becomes the water you drink - Francis de los Reyes,Civics,0.651806558,0.089788424,0.405458534,0.362554231
What adults can learn from kids - Adora Svitak,Cognition and Learning,0.718551768,0.078299168,0.408457015,0.19036474
Why do people get so anxious about math? - Orly Rubinsten,Cognition and Learning,0.723726773,0.121024144,0.419177131,0.414443517
The psychology of accents,Cognition and Learning,0.605102021,0.078832974,0.381987973,0.198470751
How to practice effectively...for just about anything - Annie Bosler and Don Greene,Cognition and Learning,0.707816034,0.117994945,0.418033314,0.232390478
Why we love repetition in music - Elizabeth Hellmuth Margulis,Cognition and Learning,0.702801119,0.109893786,0.412211091,0.264132726
The demise of guys - Philip Zimbardo,Cognition and Learning,0.731846492,0.112413599,0.434427061,0.204098951
Networking for the networking averse - Lisa Green Chau,Collaboration,0.657137655,0.095186351,0.380555759,0.202304157
How do we experience time? - Matt Danzico,"Consciousness, Sensation and Perception",0.656242562,0.132149277,0.426867147,0.330757571
Ideasthesia: How do ideas feel? - Danko Nikoli??,"Consciousness, Sensation and Perception",0.660871289,0.054979487,0.396843544,0.238759917
Diagnosing a zombie: brain and behavior (Part two) - Tim Verstynen & Bradley Voytek,"Consciousness, Sensation and Perception",0.677482033,0.090443248,0.420925952,0.292515074
Diagnosing a zombie: Brain and body (Part one) - Tim Verstynen & Bradley Voytek,"Consciousness, Sensation and Perception",0.719122696,0.102839151,0.394572776,0.186371228
What happens when you remove the hippocampus? - Sam Kean,"Consciousness, Sensation and Perception",0.743414466,0.102659027,0.409438862,0.339176132
Does my dog know what I'm thinking?,"Consciousness, Sensation and Perception",0.649687091,0.07950487,0.407503165,0.276541894
Understanding overfishing,Consumer Health,0.735787341,0.107197091,0.482349264,0.275538213
How does your body process medicine? - C??line Val??ry,Consumer Health,0.689065638,0.077672165,0.367401838,0.269174469
"The secrets of Mozart's ""Magic Flute"" - Joshua Borths",Critical Thinking,0.673122987,0.09097619,0.370474724,0.200853544
"Why should you read ""The Joy Luck Club"" by Amy Tan? - Sheila Marie Orfano",Critical Thinking,0.70618255,0.179318467,0.428959951,0.278026928
The accident that changed the world - Allison Ramsey and Mary Staicu,Critical Thinking,0.738575994,0.119388969,0.49516639,0.406617345
Can you solve the three gods riddle? - Alex Gendler,Critical Thinking,0.71091748,0.102535239,0.412653981,0.214493219
Can you solve the pirate riddle? - Alex Gendler,Critical Thinking,0.683604108,0.14239749,0.442706483,0.234195123
Game theory challenge: Can you predict human behavior? - Lucas Husted,Critical Thinking,0.711950002,0.066092769,0.401948725,0.25294514
Why do competitors open their stores next to one another? - Jac de Haan,Data Analysis & Probability,0.679239192,0.068608498,0.449109758,0.209821316
Can you solve the locker riddle? - Lisa Winer,Data Analysis & Probability,0.860922766,0.13517316,0.407849813,0.242361507
Check your intuition: The birthday problem - David Knuffke,Data Analysis & Probability,0.798647407,0.129437889,0.419857827,0.345697363
The mathematics of history - Jean-Baptiste Michel,Data Analysis & Probability,0.683856919,0.11390437,0.414127479,0.214184178
What happens if you guess? - Leigh Nataro,Data Analysis & Probability,0.717247738,0.125394393,0.427144262,0.297820907
Can you solve the counterfeit coin riddle? - Jennifer Lu,Data Analysis & Probability,0.77356033,0.152012882,0.53263275,0.371168703
Should you trust unanimous decisions? - Derek Abbott,Data Analysis & Probability,0.661904828,0.038636502,0.379239158,0.139256807
A clever way to estimate enormous numbers - Michael Mitchell,Data Analysis & Probability,0.763281515,0.13149158,0.47767465,0.268138908
Should I stay or should I switch doors?,Data Analysis & Probability,0.731892892,0.361663086,0.643339363,0.551680672
Want to be an activist? Start with your toys - McKenna Pope,Design,0.809077555,0.037185723,0.356065827,0.086463793
The history of tattoos - Addison Anderson,Design,0.679107131,0.151056514,0.436663909,0.329328275
What makes things cool?,Design,0.749688309,0.068764569,0.397406661,0.160180814
The complex geometry of Islamic design - Eric Broug,Design,0.769119333,0.060697865,0.432442586,0.277897695
Why all world maps are wrong,Design,0.690110514,0.15574323,0.425473049,0.382587507
Building the impossible: Golden Gate Bridge - Alex Gendler,"Design, Engineering & Technology",0.686962687,0.151554868,0.462802357,0.372637289
Could AI predict the future? - Thomas Hofweber,"Design, Engineering & Technology",0.710712819,0.121728879,0.421702396,0.243115053
Will there ever be a mile-high skyscraper? - Stefan Al,"Design, Engineering & Technology",0.677545698,0.129881583,0.41349321,0.284299174
How rollercoasters affect your body - Brian D. Avery,"Design, Engineering & Technology",0.698932303,0.090941558,0.433056366,0.292871228
Architecture adventure: Crash Course Kids,"Design, Engineering & Technology",0.715683949,0.163008705,0.466463468,0.179287982
The Taj Mahal: A monument to eternal love - Stephanie Honchell Smith,"Design, Engineering & Technology",0.672023333,0.26472804,0.573454671,0.452181951
How do jetpacks work? And why don't we all have them? - Richard Browning,"Design, Engineering & Technology",0.669762815,0.0804576,0.408375836,0.275159919
