Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.24978221778221782,0.07182186234817814,0.23549650349650353,0.11428571428571425,0.0,0.11428571428571425
Why does everyone hate pigeons?,Science & Technology,0.28692221091601894,0.061071428571428575,0.2244787720019918,0.08190489034529283,0.0,0.0732791593511408
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.22747474747474747,0.03636363636363636,0.19480808080808082,0.1275840825840826,0.00625,0.1275840825840826
Is it normal to talk to yourself?,Psychology,0,0,0,0,0,0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.31588995112214924,0.0882051282051282,0.2862196214518196,0.17502506265664158,0.10555555555555556,0.17502506265664158
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0,0,0,0,0,0
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.37180952380952387,0.08421052631578947,0.3177142857142857,0.19471048945894148,0.05670106639146888,0.19231888064150143
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0,0,0,0,0,0
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0,0,0,0,0
Why should you wear sunscreen?,Science & Technology,0.2916638916638916,0.08210526315789475,0.2726162726162725,0.07442195231668916,0.03619652406417113,0.06956084120557804
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.33590603202672176,0.1051005291005291,0.28089497986049705,0.1103643578643579,0.0,0.1103643578643579
Food waste causes climate change. Here's how we stop it,Science & Technology,0,0,0,0,0,0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0,0,0,0,0,0
Why is meningitis so dangerous? - Melvin Sanicas,Health,0,0,0,0,0,0
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0,0,0,0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0.5248591174906965,0.29161437908496735,0.5248591174906965,0.23406496281496283,0.007692307692307693,0.2206306193806194
What if all the ice melted on Earth?,Science & Technology,0.39839080459770115,0.014814814814814814,0.2888045977011494,0.17159090909090907,0.1,0.17159090909090907
Why are you always tired?,Health,0,0,0,0,0,0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.3781142696312975,0.11908496732026144,0.3399324514494793,0.02587412587412587,0.01111111111111111,0.02587412587412587
I Like Myself - Children's books read aloud,Literature,0.1738852840604787,0.0,0.13468895480575124,0.044444444444444446,0.014285714285714287,0.03333333333333334
What is schizophrenia? - Anees Bahji,Health,0,0,0,0,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0.3104239028944912,0.011764705882352943,0.20740242763772176,0.07885003885003886,0.0,0.07115773115773115
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0,0,0,0,0,0
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0,0,0,0,0,0
Fabulous food chains,Environmental Science,0.3188881294144451,0.15888888888888889,0.25603098655730233,0.10285256410256412,0.04496753246753246,0.10285256410256412
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.3185645272601795,0.05347985347985348,0.3011732229123533,0.11450245789642075,0.02287581699346405,0.10783579122975409
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0,0,0,0,0,0
Volcanic eruption explained - Steven Anderson,Science & Technology,0,0,0,0,0,0
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.3413010340707782,0.14880204342273307,0.2879083755613233,0.0,0.0,0.0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0,0,0,0,0,0
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.433264765466729,0.10623202684372099,0.3702438314892733,0.12228839143312827,0.038253968253968255,0.11702523353839142
How this disease changes the shape of your cells - Amber M. Yates,Health,0,0,0,0,0,0
The counting by fives song | Counting songs,Numbers & Operations,0,0,0,0,0,0
Why do we have leap years?,Teaching & Education,0,0,0,0,0,0
Is binge watching bad for you?,Health,0.21043856728904448,0.010256410256410255,0.13407018487612338,0.03787610050767945,0.0,0.03787610050767945
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0,0,0,0,0
Why do we wrinkle when wet?,Health,0.19395705587009934,0.017391304347826087,0.1277752376882812,0.025,0.01666666666666667,0.025
3D shapes song | Shapes for kids,Geometry,0.4552631578947368,0.09898989898989899,0.29982456140350877,0.35,0.1,0.35
The most common STI in the world - Emma Bryce,Literature & Language,0.29288326615912824,0.04444444444444444,0.25565382892969096,0.028809523809523813,0.0,0.028809523809523813
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.33619805481874454,0.1015873015873016,0.21625110521662244,0.24108669108669106,0.09909090909090909,0.1966422466422466
