Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.19967040289379118,0.0,0.16799338426025084,0.04298412698412698,0.00625,0.04298412698412698
Why does everyone hate pigeons?,Science & Technology,0.5189102167182662,0.1508994032395567,0.4249948400412797,0.09188360444165398,0.0,0.08355027110832065
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.2305830039525692,0.07722943722943723,0.2305830039525692,0.21942496229260935,0.0,0.1761770990447461
Is it normal to talk to yourself?,Psychology,0.38830140485312903,0.17172679172679173,0.36117496807151983,0.11083333333333331,0.03916666666666666,0.11083333333333331
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.25158150128738366,0.06761904761904762,0.2242666864725688,0.10166666666666668,0.01666666666666667,0.10166666666666668
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.28465858774986563,0.1438913043478261,0.25910077841923684,0.0125,0.0,0.0125
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.4981436210847975,0.24958001063264218,0.4981436210847975,0.2433346606953418,0.053103702135142296,0.23234564970633081
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.31683616511202717,0.14644444444444443,0.2891305374063995,0.10733625993216786,0.0032258064516129032,0.0941569882234844
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.2918820915431085,0.1300113058224986,0.23260848379492444,0.1113913878427659,0.013179693144630031,0.09780903852867871
Why should you wear sunscreen?,Science & Technology,0.28825782912739434,0.02222222222222222,0.27086652477956824,0.13649170274170272,0.015476190476190477,0.12538059163059162
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.4702172609998697,0.2239369326325848,0.40636511314772183,0.11274572649572648,0.0,0.11274572649572648
Food waste causes climate change. Here's how we stop it,Science & Technology,0.4067524366471734,0.10770332480818415,0.3400701754385965,0.05277777777777778,0.0,0.042222222222222223
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.4273498250242437,0.15078640059127862,0.30276648416183305,0.19690581047779185,0.0058823529411764705,0.18738200095398233
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.285758494379184,0.05,0.22612100543135022,0.20838536463536467,0.17373737373737375,0.20838536463536467
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.34019076680367,0.14112554112554115,0.27262112342757505,0.060202826069699136,0.01575757575757576,0.060202826069699136
The race to decode a mysterious language - Susan Lupack,Linguistics,0.2906293706293706,0.12735877897168218,0.23561771561771558,0.035586635586635586,0.0,0.035586635586635586
What if all the ice melted on Earth?,Science & Technology,0.32747556702931957,0.039999999999999994,0.2075772942405803,0.0,0.0,0.0
Why are you always tired?,Health,0.28335403726708075,0.04285714285714286,0.22621118012422362,0.15,0.05,0.15
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.3478687978687979,0.1640829346092504,0.3324841824841825,0.02678571428571429,0.0,0.02678571428571429
I Like Myself - Children's books read aloud,Literature,0.15395495170647386,0.0,0.13478828503980722,0.22323398823398827,0.03958333333333333,0.1492651792651793
What is schizophrenia? - Anees Bahji,Health,0.45243776106934,0.11874877041117451,0.3675700362016151,0.035416666666666666,0.0,0.035416666666666666
How do pelicans survive their death-defying dives?,Environmental Science,0.2329090909090909,0.06040404040404042,0.2329090909090909,0.24738455988455987,0.1,0.21524170274170276
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.4500970362637152,0.09411764705882353,0.31987151922192886,0.03428571428571429,0.0125,0.03428571428571429
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.35926739926739926,0.10655987795575897,0.27683516483516485,0.10634920634920635,0.0,0.10634920634920635
Fabulous food chains,Environmental Science,0.34539554531490013,0.1395400686376475,0.2851623875356594,0.0253968253968254,0.0,0.0253968253968254
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.2917118437118437,0.07111060259344013,0.24189499389499391,0.10524673984426307,0.01764705882352941,0.09271367106119427
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.2795169082125604,0.0,0.20251207729468595,0.15544011544011543,0.008333333333333333,0.15544011544011543
Volcanic eruption explained - Steven Anderson,Science & Technology,0.23547590245092556,0.05,0.19437435829665245,0.1995196998377103,0.020192307692307693,0.18323603252463125
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.40248157620536135,0.17787568228872577,0.3307460452780146,0.07706476530005943,0.03350140056022409,0.07647996997842199
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.443734335839599,0.10760233918128655,0.28686716791979944,0.01781217750257998,0.0,0.01781217750257998
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.31664529914529915,0.0879120879120879,0.30126068376068377,0.17790939567255354,0.0265530303030303,0.17277406803722592
How this disease changes the shape of your cells - Amber M. Yates,Health,0.4641746659137963,0.17871776214730373,0.42088462262375315,0.043492063492063485,0.0,0.043492063492063485
The counting by fives song | Counting songs,Numbers & Operations,0.33596209587513937,0.0689064558629776,0.20769899665551836,0.0875,0.0,0.0875
Why do we have leap years?,Teaching & Education,0.2259913999044434,0.032051282051282055,0.21170568561872907,0.0719119769119769,0.0,0.0719119769119769
Is binge watching bad for you?,Health,0.20698896631823463,0.04007155635062611,0.11990321331784745,0.0125,0.0,0.0125
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0.21387426900584794,0.047058823529411764,0.21387426900584794,0.19734487734487732,0.0625,0.19734487734487732
Why do we wrinkle when wet?,Health,0.2796722990271378,0.03508771929824562,0.17316948284690223,0.04786324786324787,0.027972027972027972,0.04786324786324787
3D shapes song | Shapes for kids,Geometry,0.38134453781512606,0.13099415204678364,0.280672268907563,0.2333333333333333,0.1,0.2333333333333333
The most common STI in the world - Emma Bryce,Literature & Language,0.2833379342074994,0.028121212121212123,0.22065562456866802,0.0,0.0,0.0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.22982756374060723,0.0,0.18087651478955827,0.029946524064171125,0.005,0.029946524064171125
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.44321839080459774,0.12974987974987978,0.36275862068965514,0.014285714285714287,0.0,0.014285714285714287
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.17817799763280395,0.0,0.1385634702133985,0.07998332936413433,0.04588235294117647,0.07998332936413433
The surprising similarities between Twister and intelligence,Health,0.3443640449085095,0.11748526915010486,0.2889527894972541,0.1235822510822511,0.0,0.11449134199134199
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.33720344017826853,0.14655401945724528,0.2918945156931427,0.16380665086547438,0.0,0.15666379372261724
Why beavers are the smartest thing in fur pants,Science & Technology,0.40892222719808924,0.14338457034109206,0.25106762203313926,0.021461675579322638,0.0,0.021461675579322638
Why we should draw more (and photograph less),Physical Fitness,0.18361904761904763,0.02580645161290323,0.1358268398268398,0.17867147128757038,0.028809523809523813,0.17867147128757038
The history of manners,Psychology,0.19305820105820104,0.07191944287596462,0.1816296296296296,0.0,0.0,0.0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.35110907704042715,0.09614845938375349,0.31771777269260104,0.0417156862745098,0.0,0.0417156862745098
Art with Mati and Dada – Henri Matisse,Visual Arts,0.2811428571428572,0.0,0.2508571428571429,0.0,0.0,0.0
Why don't haircuts hurt?,Science & Technology,0.2251082251082251,0.0,0.21367965367965364,0.14541016328942022,0.0,0.14541016328942022
An Exercise in Self Compassion,Emotional Health,0.2475462161967145,0.0427945301542777,0.1660265696028991,0.016666666666666666,0.0,0.016666666666666666
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.33637281237281236,0.10933282481566234,0.284988196988197,0.06146995834066773,0.014285714285714287,0.06146995834066773
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0.4059047619047619,0.17897188623733246,0.3708571428571429,0.062058080808080805,0.0,0.062058080808080805
Why some people don't have an inner monologue,Psychology,0.1757685577311368,0.023529411764705882,0.15471592615218946,0.0,0.0,0.0
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.34304117782378657,0.21545864661654135,0.3282263630089718,0.037051282051282046,0.0,0.029358974358974353
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0.35362448304383787,0.18740175366862025,0.32029114971050454,0.0753409090909091,0.0,0.0753409090909091
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0.17676889665766193,0.029629629629629627,0.15007256740293448,0.0,0.0,0.0
The counting by tens song | Counting songs,Numbers & Operations,0.256110257723161,0.1261863943678826,0.2418245434374467,0.1,0.0,0.1
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.29133333333333333,0.05576923076923077,0.242,0.08145460819373863,0.01944444444444444,0.07593512767425811
The physics of surfing - Nick Pizzo,Science & Technology,0.30404648491605013,0.06981684981684981,0.28866186953143474,0.16132560422034106,0.028633540372670806,0.15151699178014966
Why do these deadly insects look like flowers?,Science & Technology,0.16239234449760764,0.0,0.16239234449760764,0.0960858585858586,0.0,0.0633838383838384
Better know the Mona Lisa,Visual Arts,0.23348232910185351,0.02994152046783625,0.1357887835985458,0.011111111111111112,0.0,0.011111111111111112
SH | fun phonics | how to read,Literature & Language,0.3085714285714286,0.13654970760233917,0.3085714285714286,0.0,0.0,0.0
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.2777460572039562,0.08484848484848484,0.21577706495589416,0.0,0.0,0.0
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.2777868987233778,0.07572463768115942,0.19714806024787873,0.07645686614726863,0.02261904761904762,0.07645686614726863
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.2880459770114943,0.02222222222222222,0.1360153256704981,0.008333333333333333,0.0,0.008333333333333333
The science of Flint's water crisis,Public Health,0.16735895788369554,0.0,0.08957268618438034,0.01,0.0,0.01
How bones make blood - Melody Smith,Health,0.3588751033912324,0.08611111111111111,0.31520264681555,0.24113425463425467,0.12523809523809526,0.23783755133755138
How soap kills the coronavirus,Public Health,0.37875508399646324,0.17850241545893722,0.36496198054818746,0.20249999999999999,0.05,0.20249999999999999
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.48386259767064715,0.18392156862745096,0.4392805543269939,0.0,0.0,0.0
The world's ugliest animal,Environmental Science,0.1924510272336359,0.0,0.110606784519828,0.13639957071883066,0.008333333333333333,0.13383546815472808
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.29343164674972455,0.023529411764705882,0.20422069666920928,0.07964646464646465,0.03928571428571429,0.07964646464646465
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0.3955751058976865,0.18879429063748668,0.3336703439929246,0.21168167616697034,0.0,0.1881866026989866
What happens when you lose a balloon?,Science & Technology,0.39111609453165436,0.06222222222222222,0.3236674141797481,0.12529585180900968,0.01111111111111111,0.10338998419880774
The quest for the perfect apple,Science & Technology,0.26520146520146526,0.081002331002331,0.19505494505494506,0.05539072039072039,0.0,0.05539072039072039
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.27027467659046606,0.03512544802867383,0.21370902002480952,0.09695354645354645,0.0,0.07917790542790543
Why perfect grades don't matter,Teaching & Education,0.2626676661669165,0.029629629629629627,0.232207896051974,0.03365800865800866,0.0,0.03365800865800866
Can you trust your ears? (audio illusions),Health,0.2896358543417367,0.06,0.26610644257703087,0.09811039837355628,0.0,0.08825590101905892
Why is my leg asleep?,Health,0.21642296674554742,0.041098901098901096,0.16690247851538176,0.0,0.0,0.0
Why don't we throw trash in volcanoes?,Science & Technology,0.14096638655462185,0.0,0.14096638655462185,0.01388888888888889,0.0,0.01388888888888889
Is life meaningless? And other absurd questions - Nina Medvinskaya,Philosophy,0.34942188973687155,0.10829131652661064,0.29279613562827994,0.05611022749180643,0.0,0.05611022749180643
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0.412331223315205,0.16249742002063983,0.35117834110969126,0.11811258186258185,0.0,0.11811258186258185
Why do American schools have such long hours?,Teaching & Education,0.2547459557985874,0.08666666666666667,0.18646388699020278,0.14566887660918684,0.024064171122994655,0.11494368433009405
Here Comes Teacher Cat - Read aloud picture book,Literature,0.2659947299077734,0.06675324675324676,0.2526613965744401,0.10128937728937729,0.0,0.09915262515262516
What happens when nature goes viral?,Science & Technology,0.3539503453203144,0.17455882352941177,0.34218563943796143,0.07629079254079255,0.01666666666666667,0.07629079254079255
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0.32934206221567136,0.16332056194125158,0.32934206221567136,0.025,0.0,0.025
How Thor got his hammer - Scott A. Mellor,Social Studies,0.2958234295415959,0.05217391304347827,0.2414374646293152,0.09514816452896949,0.0,0.08931483119563614
Helping others makes us happier--- but it matters how we do it - Elizabeth Dunn,Psychology,0.4782905982905983,0.3462787212787212,0.4782905982905983,0.18868510850964512,0.04260451765247163,0.17386639505935278
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",Social Studies,0.31780173286603175,0.06022933588150979,0.24019177393335384,0.1343503980539584,0.0125,0.1290872401592216
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0.34491596638655464,0.1993065998329156,0.3058683473389356,0.2227244494635799,0.1,0.2227244494635799
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0.298003848003848,0.04210526315789474,0.19007335257335256,0.04285714285714286,0.0,0.04285714285714286
The Princess and the Pea - Read aloud picture book,Literature,0.384283102584417,0.11314564918582133,0.3004842590282429,0.12637393823926332,0.005555555555555556,0.10068717230481936
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0.34817877774399514,0.05333333333333333,0.2778230465186987,0.05,0.0,0.05
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0.40354974382944925,0.25289201539201545,0.28639434780141515,0.03324346405228758,0.0,0.03324346405228758
Why parrots can talk like humans,Life Sciences,0.23108538970607934,0.03148148148148148,0.23108538970607934,0.0,0.0,0.0
Your brain hallucinates your conscious reality - Anil Seth,"Consciousness, Sensation and Perception",0.29340437378357737,0.05648148148148148,0.1994093174893858,0.0,0.0,0.0
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0.34530423986493164,0.1802036046741929,0.29817780308332237,0.04285714285714286,0.04,0.04285714285714286
What is depression? - Helen M. Farrell,Psychology,0.33315320361797124,0.13390313390313388,0.27699556814999093,0.06666666666666668,0.0,0.06666666666666668
Why does smoke follow you around a fire?,Science & Technology,0.15656565656565657,0.04,0.15656565656565657,0.031135531135531136,0.0,0.031135531135531136
How to deal with rejection,Psychology,0.24671936758893281,0.01904761904761905,0.19447957839262187,0.1260274447774448,0.0,0.1260274447774448
