Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.6865399018990734,0.0896224986134604
Is it normal to talk to yourself?,Psychology,0.7913110272541912,1.0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.7277593376164855,0.6871647667678215
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.4653722079888675,0.2743359944626741
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7722528667102398,0.3588755560953245
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.7053504197483444,0.1598010884207991
Why should you wear sunscreen?,Science & Technology,0.7076157074821872,0.537191627337394
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7070970900477764,0.6774811152401322
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.8033649821496928,0.4546923073654895
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.765411643170205,0.4387971180072583
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7297425997827247,0.8153190203836878
Why are you always tired?,Health,0.7249094269524565,0.7226739950777821
I Like Myself - Children's books read aloud,Literature,0.724698130440893,0.6010584803014679
What is schizophrenia? - Anees Bahji,Health,0.7297425997827247,0.7370716314814483
How do pelicans survive their death-defying dives?,Environmental Science,0.7008524128625949,0.0339382831004924
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.725092589384739,0.5862612103777171
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.7713010498997313,0.6808291130239379
Fabulous food chains,Environmental Science,0.7087218477603294,0.2827723119097901
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0.6983846278246396,0.4784807657888504
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7482317330703532,0.051187964657642
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0.7286530808504489,1.0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0.7546390459566712,0.5601473277784551
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.7503406233347804,0.3189035897056681
How this disease changes the shape of your cells - Amber M. Yates,Health,0.8140544230126232,0.844862029517437
The counting by fives song | Counting songs,Numbers & Operations,0.7125052696250298,0.5165727054203819
Is binge watching bad for you?,Health,0.7170367683099659,0.5048113910734099
Why do we wrinkle when wet?,Health,0.7064640310777701,0.3899619771445681
3D shapes song | Shapes for kids,Geometry,0.680249683777592,0.7337710885951284
The most common STI in the world - Emma Bryce,Literature & Language,0.694344390379454,0.3232765344770638
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.8106347763776058,0.273643993737146
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0.7190917927300117,1.0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7139212834272033,1.0
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.7188473933979667,0.3990079691890022
Why we should draw more (and photograph less),Physical Fitness,0.696995703036144,0.1707051243216579
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0.7512437326374404,1.0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.749634235443537,0.2763218483744499
An Exercise in Self Compassion,Emotional Health,0.7061314710068815,0.5132527492188105
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0.665925381491265,0.1911656956970615
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0.6037461729869795,1.0
The counting by tens song | Counting songs,Numbers & Operations,0.6954229381476258,0.7710258134636818
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0.7536788557031915,0.6500751848172052
The physics of surfing - Nick Pizzo,Science & Technology,0.760675429903427,0.2293709383965725
Why do these deadly insects look like flowers?,Science & Technology,0.7047401260301954,0.7449284255193526
SH | fun phonics | how to read,Literature & Language,0.5977595438598783,0.5049511426505571
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.7103138003502857,0.7786945201352161
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0.7945640741620339,0.6413405560430597
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0.7439407439780366,0.4639133433197739
How bones make blood - Melody Smith,Health,0.7753306336403495,0.4712541604818439
How soap kills the coronavirus,Public Health,0.7013094322424209,0.2127742710071483
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0.7483190311433892,0.7377218580542341
The world's ugliest animal,Environmental Science,0.699457646217484,0.1038289335512124
Why is this painting so shocking? - Iseult Gillespie,The Arts,0.7199451752382372,0.799920811619526
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0.670291999154518,0.2666098253672921
What happens when you lose a balloon?,Science & Technology,0.7234497656520421,0.7902236182039939
The quest for the perfect apple,Science & Technology,0.7785188030685749,0.6598991792153301
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0.7093422651929364,0.2084046806590119
Why perfect grades don't matter,Teaching & Education,0.6954021363846173,0.9951801001804922
Can you trust your ears? (audio illusions),Health,0.6934118301523011,0.4149338555428496
Why is my leg asleep?,Health,0.7272695117230102,0.4123694903503329
Why don't we throw trash in volcanoes?,Science & Technology,0.6609857597138432,0.4527250103194754
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0.7476743906106103,0.2873403343704683
Here Comes Teacher Cat - Read aloud picture book,Literature,0.7088558988917208,0.1126465669411516
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0.7674731847914632,0.726697506916163
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0.7199451752382372,0.278767982700345
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0.7625066642748877,0.739209731885563
The Princess and the Pea - Read aloud picture book,Literature,0.7120427920098542,0.2794848944266492
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0.7569844695749613,1.0
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0.759442176844736,0.5398764189943411
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0.7699756662854085,0.4533537724929122
What is depression? - Helen M. Farrell,Psychology,0.7370948553296867,0.9366846789467416
How to deal with rejection,Psychology,0.7762723209117075,0.4078983295053233
Plurals -s -es | Learn to Spell,Literature & Language,0.7084496541880247,0.8010571396465702
How to find area and perimeter,Mathematics,0.6972585498198149,0.6714139740758436
How do crystals work? - Graham Baird,Science & Technology,0.6762526002619579,0.4128423561163785
Why is cotton in everything? - Michael R. Stiff,Science & Technology,0.6986167926725204,1.0
How much sleep do you actually need?,Health,0.7012352894889098,0.6212284133902833
This thought experiment will help you understand quantum mechanics - Matteo Fadel,Psychology,0.7199451752382372,0.1013053938412595
The history of the world according to cats - Eva-Maria Geigl,Social Studies,0.7050587665499224,0.4177036321165098
The New Baby by Mercer Mayer - Read aloud book,Literature,0.5287035566114685,0.7878978470437155
How one scientist took on the chemical industry - Mark Lytle,Public Health,0.7364125155637319,0.3239104048540232
Does aloe vera really treat a sunburn?,Earth and Space Science,0.7219539104746914,0.6995971117093793
Why do humans have a third eyelid? - Dorsa Amin,Life Sciences,0.7517980674049641,0.4453892386945633
Art with Mati & Dada | Kandinsky,Visual Arts,0.7154388586569047,0.6215565008197921
Can you solve the secret werewolf riddle? - Daniel Finkel,Mathematics,0.7076530927574985,0.6268876268762799
"If your hands could smell, you'd be an octopus",Science & Technology,0.7203339437440526,0.3713225018042957
Polygon song,Geometry,0.7028003663634894,1.0
Five oceans song,Geography,0.6869557727868634,0.7137843693448828
Closed and open syllables | Learn to read,Literature & Language,0.6919083866632505,0.4319290637940501
Zumbi: The last king of Palmares - Marc Adam Hertzman & Flavio dos Santos Gomes,Social Studies,0.7476657918201749,0.4714495771535003
What would happen if you stopped brushing your teeth?,Physical Science,0.6202021977379524,0.5395135642146952
A brief history of chess - Alex Gendler,Thinking & Learning,0.7288373216022698,0.624266396491117
Your body vs. Implants - Kaitlyn Sadtler,Science & Technology,0.7264040496253742,0.4951303237714813
How does the Rorschach inkblot test work? - Damion Searls,Psychology,0.6414918673922652,0.379888432861703
Can you solve the troll's paradox riddle? - Dan Finkel,Mathematics,0.7013003913392056,0.3042012401214209
How do you know what's true? - Sheila Marie Orfano,Psychology,0.7018546660587047,0.3431509548673462
Shapes song for kids,Geometry,0.6888872387200965,0.6018881737868172
Why is it so hard to break a bad habit?,Psychology,0.8060932264037026,0.3321647840378012
The L-iminator! | The double L spelling rule,Literature & Language,0.6892486632773042,0.3366636213944937
Why 350 degreeF is the magic number for baking,Social Studies,0.6936955896351281,0.8461030825413217
Can you solve the cuddly duddly fuddly wuddly riddle? - Dan Finkel,Mathematics,0.6907220152335733,0.7202168581075695
What was so special about Viking ships? - Jan Bill,"Design, Engineering & Technology",0.7341070590802494,0.6107563946925022
A day in the life of an ancient Greek architect - Mark Robinson,"Design, Engineering & Technology",0.7153314518419454,0.5424699357238689
The importance of setting in a story,Literature & Language,0.6823897738520517,0.4405967853678653
Why haven't we cured arthritis? - Kaitlyn Sadtler and Heather J. Faust,Health,0.705262755465448,0.3377111567211527
"Homophone song: There, Their, They're",Literature & Language,0.7125052696250298,0.5889821482437204
This sea creature breathes through its butt - Cella Wright,Science & Technology,0.7674731847914632,0.0132609472012574
How far would you have to go to escape gravity? - Rene Laufer,Science & Technology,0.48136657398016,0.6542646082736335
Can animals be deceptive? - Eldridge Adams,Science & Technology,0.7853195075182196,0.0817180714833237
Old MacDonald had some vowels | AEIOU,Literature & Language,0.6885809184491547,0.7382216120770575
Do we own the land?,Social Studies,0.7138119917667055,0.6291986212010987
"Why should you read ""Midnight's Children""? - Iseult Gillespie",Literature & Language,0.709583550385727,0.3685788981431152
The advanced colors song | Art songs,Visual Arts,0.7123199591370767,0.6523620762263744
Building the world's largest (and most controversial) power plant - Alex Gendler,Thinking & Learning,0.7059918401467136,0.5123241921169399
Underwater farms vs. Climate change - Ayana Elizabeth Johnson and Megan Davis,Thinking & Learning,0.752400678203934,0.8306203607167769
"Human, capital & natural resources for kids | Types of resources",Social Studies,0.7085482084609057,0.6047136507405989
Can you solve the jail break riddle? - Dan Finkel,Mathematics,0.6864226939109472,0.4969651773127725
Can you be awake and asleep at the same time? - Masako Tamaki,Health,0.7361814559415291,0.6691103960834115
A day in the life of a teenage samurai - Constantine N. Vaporis,Social Studies,0.7278825061958952,1.0
The Japanese folktale of the selfish scholar - Iseult Gillespie,Social Studies,0.674178556934152,0.385158274552532
Why do India and China have so many people?,Social Studies,0.7106505686001571,0.8675227473146814
Can you trust your eyes?,Science & Technology,0.6326872693102803,0.3962225605055761
"Mating frenzies, sperm hoards, and brood raids: The life of a fire ant queen - Walter R. Tschinkel",Earth and Space Science,0.6358488578517068,0.4523925407725924
The psychology of post-traumatic stress disorder - Joelle Maletis,Health,0.7199451752382372,0.3324040414315268
What's the smartest age? - Shannon Odell,Thinking & Learning,0.6756132625196084,0.3904023856357834
