Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0.420984940984941,0.2969324009324009,0.3765404965404965,0.10552521008403362,0.0,0.10552521008403362
Why does everyone hate pigeons?,Science & Technology,0.3035057471264368,0.08391737891737891,0.26471264367816094,0.07928014967488652,0.0,0.06875383388541283
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.24274595579858738,0.059613526570048314,0.2236983367509683,0.17990847387906211,0.006666666666666666,0.13557623748800218
Is it normal to talk to yourself?,Psychology,0.3041885650581303,0.08466533466533466,0.2916885650581303,0.03222222222222222,0.0,0.03222222222222222
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.32802275960170696,0.1021557853910795,0.30387861545756284,0.14580376478427454,0.06666666666666668,0.13950245115537468
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0.3448346034552931,0.10210533610533609,0.2666133355788528,0.03859649122807017,0.0,0.03859649122807017
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.4729702353124513,0.27571454914254107,0.40968521115786194,0.21003886799475033,0.050849657588788025,0.1982741621123974
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.3113089560148384,0.030769230769230764,0.21949125596184418,0.15533816425120775,0.06801470588235295,0.15099033816425123
Einstein's twin paradox explained - Amber Stuver,Mathematics,0.2669918168719245,0.05612052730696798,0.16923578827175595,0.041261494252873565,0.004347826086956523,0.033385201664400774
Why should you wear sunscreen?,Science & Technology,0.36313047871668563,0.13018479105435626,0.2727146646456991,0.12587986305633364,0.019999535488665923,0.1060775754746343
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.40241715399610134,0.20231202046035804,0.3431578947368421,0.2159664312295891,0.05928571428571429,0.2159664312295891
Food waste causes climate change. Here's how we stop it,Science & Technology,0.4783943833943834,0.17872727272727273,0.32579772079772085,0.0,0.0,0.0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0.3352702768452294,0.14076923076923076,0.2741697075852674,0.12952247679221363,0.01818181818181818,0.11759265223081013
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.25541304240994644,0.05833333333333333,0.18326207676052877,0.32222222222222224,0.12967032967032965,0.3027077497665733
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0.28429097731536757,0.11434400102001785,0.25402205924157145,0.09336361737677527,0.0,0.08919695071010861
The race to decode a mysterious language - Susan Lupack,Linguistics,0.28014971885939627,0.11505882352941177,0.24502427083072242,0.24177350427350425,0.12575757575757576,0.20566239316239315
What if all the ice melted on Earth?,Science & Technology,0.44412903225806455,0.11884057971014492,0.3854193548387097,0.18983516483516483,0.05,0.18983516483516483
Why are you always tired?,Health,0.16765417818049397,0.03705263157894737,0.1337917443180601,0.0,0.0,0.0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0.42594302543151646,0.21068577150071208,0.3700235825555519,0.0,0.0,0.0
I Like Myself - Children's books read aloud,Literature,0.09900793650793652,0.0,0.08757936507936508,0.15318181818181817,0.0,0.07659090909090908
What is schizophrenia? - Anees Bahji,Health,0.42230769230769233,0.034848484848484844,0.3008119658119658,0.0,0.0,0.0
How do pelicans survive their death-defying dives?,Environmental Science,0.45633986928104575,0.1422222222222222,0.3941176470588236,0.13891402714932127,0.02,0.13891402714932127
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.40901875901875895,0.125,0.3867965367965368,0.08333333333333333,0.025,0.08333333333333333
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0.33238095238095233,0.1359075706901794,0.2601904761904762,0.10060606060606062,0.04722222222222222,0.10060606060606062
