page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
1,1,1,2,1.0,1.0,0.8,1.0,0.95
1,1,2,3,0.9,1.0,0.8,0.9,0.9
1,1,3,4,0.9,1.0,0.8,0.9,0.9
1,1,4,8,0.9,1.0,0.8,0.9,0.9
1,1,5,7,0.8,0.8,0.6,0.9,0.775
1,4,1,1,0.9,0.5,0.8,0.9,0.775
1,4,2,1,0.2,0.0,0.8,0.9,0.475
1,4,3,3,0.9,0.0,0.5,0.9,0.575
1,4,4,4,0.6,0.0,0.8,0.9,0.575
1,4,5,6,0.8,0.8,0.6,0.9,0.775
1,5,1,2,0.0,0.0,0.5,1.0,0.375
1,5,2,3,0.2,0.0,0.8,0.9,0.475
1,5,3,6,0.6,0.0,0.8,0.9,0.575
1,5,4,9,0.6,0.0,0.8,0.9,0.575
1,5,5,10,0.8,0.0,0.6,0.9,0.575
1,6,1,4,0.9,0.0,0.8,0.9,0.65
1,6,2,1,0.6,0.0,0.8,0.9,0.575
1,6,3,4,0.2,0.0,0.5,0.8,0.375
1,6,4,3,0.8,0.5,0.6,0.9,0.7
1,6,5,6,0.6,0.0,0.8,0.9,0.575
1,7,1,8,0.5,0.0,0.75,1.0,0.5625
1,7,2,8,0.9,1.0,0.8,0.9,0.9
1,7,3,4,0.5,0.0,0.75,1.0,0.5625
1,7,4,3,0.8,0.5,0.6,0.9,0.7
1,7,5,4,0.8,0.8,0.6,0.9,0.775
1,8,1,2,0.9,1.0,0.8,0.9,0.9
1,8,2,3,0.9,1.0,0.8,0.9,0.9
1,8,3,3,0.9,1.0,0.8,0.9,0.9
1,9,1,5,0.6,0.0,0.8,0.9,0.575
1,9,2,2,0.9,0.9,0.8,0.9,0.875
1,9,3,3,0.8,0.0,0.6,0.9,0.575
1,9,4,3,0.9,0.9,0.8,0.9,0.875
1,9,5,1,0.9,0.9,0.8,0.9,0.875
1,9,6,1,0.9,0.9,0.8,0.9,0.875
1,9,7,5,0.6,0.0,0.8,0.9,0.575
1,9,8,3,0.9,0.9,0.8,0.9,0.875
1,9,9,3,0.8,0.0,0.6,0.9,0.575
1,9,10,2,0.9,0.9,0.8,0.9,0.875
1,11,1,2,0.8,1.0,0.8,0.9,0.85
1,11,2,1,0.2,0.0,0.5,0.8,0.375
1,11,3,3,0.8,0.0,0.8,1.0,0.65
1,11,4,7,0.6,0.0,0.8,0.9,0.575
1,11,5,7,0.8,1.0,0.8,0.9,0.875
1,12,1,1,1.0,1.0,0.75,1.0,0.9375
1,12,2,2,0.9,0.8,0.6,0.9,0.8
1,12,4,3,1.0,1.0,0.75,1.0,0.9375
1,12,5,6,0.9,0.8,0.6,0.9,0.8
1,13,1,1,0.9,1.0,0.8,0.9,0.9
1,13,2,2,0.9,1.0,0.8,0.9,0.9
1,13,3,4,0.9,1.0,0.8,0.9,0.85
1,13,4,5,0.9,0.5,0.75,0.9,0.7625
1,13,5,8,0.9,1.0,0.8,0.9,0.9
1,14,1,8,0.0,0.0,0.5,1.0,0.375
1,14,2,3,0.8,0.5,0.6,0.9,0.7
1,14,3,4,0.9,1.0,0.5,0.9,0.825
1,14,4,6,0.9,0.0,0.5,0.9,0.575
1,14,5,2,0.9,1.0,0.8,0.9,0.9
1,15,1,9,0.6,0.0,0.8,0.9,0.575
1,15,2,6,0.8,0.0,0.6,0.9,0.575
1,16,1,1,0.2,0.0,0.5,0.8,0.375
1,16,2,5,0.6,0.0,0.4,0.8,0.45
1,16,4,7,0.9,0.0,0.8,0.9,0.65
1,16,5,1,0.2,0.0,0.8,0.9,0.475
1,17,1,1,0.9,0.8,0.7,0.9,0.825
1,17,2,3,0.5,0.0,0.75,1.0,0.5625
1,17,3,5,0.8,0.0,0.6,0.9,0.575
1,17,4,6,0.8,0.0,0.6,0.9,0.575
1,17,5,7,0.8,0.0,0.6,0.9,0.575
1,18,1,4,0.8,0.0,0.6,0.9,0.575
1,18,2,6,1.0,1.0,0.8,1.0,0.95
1,19,1,1,0.5,0.0,0.75,0.9,0.5375
1,19,2,1,0.9,0.8,0.7,0.9,0.825
1,19,3,6,0.8,0.8,0.6,0.9,0.775
1,19,4,8,0.9,0.0,0.6,0.9,0.6
1,19,5,10,0.9,1.0,0.8,0.9,0.85
1,22,1,9,0.0,0.0,0.75,0.9,0.4125
1,22,2,3,0.9,1.0,0.8,0.9,0.85
1,22,3,4,0.9,0.0,0.8,0.9,0.65
1,22,4,6,0.9,0.9,0.8,0.9,0.875
1,22,5,10,0.9,0.9,0.8,0.9,0.875
2,1,1,4,0.2,0.0,0.5,0.8,0.375
2,1,2,4,0.2,0.0,0.5,0.8,0.375
2,2,1,3,0.9,0.0,0.8,0.9,0.65
2,3,1,2,1.0,1.0,0.75,1.0,0.9375
2,3,2,2,0.2,0.0,0.8,1.0,0.5
2,4,1,7,0.9,0.9,0.8,0.9,0.875
2,4,2,6,0.8,1.0,0.6,0.9,0.825
2,4,3,5,0.9,1.0,0.8,0.9,0.9
2,5,1,3,0.8,0.0,0.6,0.9,0.575
2,5,2,5,0.2,0.0,0.5,0.8,0.375
2,5,3,7,0.9,0.75,0.8,0.95,0.85
2,5,4,8,0.9,1.0,0.8,0.9,0.85
2,5,5,3,0.8,0.0,0.6,0.9,0.575
2,5,6,5,0.2,0.0,0.5,0.8,0.375
2,5,7,7,0.9,0.75,0.8,0.95,0.85
2,5,8,8,0.9,1.0,0.8,0.9,0.85
2,6,1,1,0.9,1.0,0.8,0.9,0.85
2,6,2,3,0.9,1.0,0.8,0.9,0.9
2,6,3,4,0.9,0.0,0.8,0.9,0.65
2,6,4,6,0.8,0.75,0.6,0.9,0.7625
2,6,5,10,0.9,0.8,0.6,0.9,0.8
2,7,1,1,0.8,0.0,0.6,0.9,0.575
2,8,1,3,0.8,0.0,0.6,0.9,0.575
2,8,2,3,0.8,0.0,0.6,0.9,0.575
2,10,1,5,0.2,0.0,0.8,1.0,0.5
2,10,2,1,0.9,0.0,0.8,0.9,0.65
2,10,3,2,0.6,0.0,0.75,0.9,0.5625
2,10,4,3,0.9,1.0,0.8,0.9,0.85
2,10,5,4,0.8,0.0,0.6,0.9,0.575
2,11,1,2,0.9,0.9,0.8,0.9,0.875
2,11,2,3,0.9,0.0,0.8,0.9,0.65
2,12,1,9,0.9,1.0,0.8,0.9,0.9
2,12,2,8,0.8,0.0,0.6,0.9,0.575
2,14,1,4,0.6,0.0,0.8,0.9,0.575
2,14,2,10,0.9,1.0,0.8,0.9,0.85
2,15,1,2,1.0,0.5,0.75,0.9,0.7875
2,15,2,3,0.6,0.0,0.8,0.9,0.575
2,15,3,4,0.9,1.0,0.9,1.0,0.925
2,15,4,5,0.9,0.0,0.8,0.9,0.65
2,15,5,6,0.9,1.0,0.8,0.9,0.9
2,15,6,6,0.9,1.0,0.9,0.95,0.9125
2,15,7,6,0.8,0.5,0.6,0.9,0.7
2,15,8,7,0.8,0.0,0.6,0.9,0.575
2,15,9,9,0.9,0.75,0.8,0.9,0.8375
2,15,10,1,0.8,1.0,0.6,0.9,0.825
2,16,1,5,0.9,1.0,0.9,0.9,0.875
2,16,2,1,0.9,0.0,0.8,1.0,0.675
2,16,3,3,0.8,1.0,0.8,0.9,0.875
2,17,1,4,0.8,0.5,0.6,0.9,0.7
2,17,2,10,0.9,0.8,0.6,0.9,0.8
2,18,1,2,0.8,0.0,0.6,0.9,0.575
2,18,2,2,0.8,0.0,0.6,0.9,0.575
2,18,3,1,0.9,0.9,0.8,0.9,0.875
2,19,1,1,0.2,0.0,0.5,0.8,0.375
2,19,2,4,0.9,0.8,0.7,0.9,0.825
2,21,1,6,0.9,1.0,0.8,0.9,0.9
2,21,2,3,0.8,1.0,0.8,1.0,0.85
2,22,1,2,0.9,0.0,0.8,0.9,0.65
2,22,2,2,0.5,0.0,0.75,1.0,0.5625
2,22,3,3,0.8,0.0,0.6,0.9,0.575
2,22,4,4,0.5,0.0,0.75,0.9,0.5375
2,22,5,9,0.8,0.0,0.6,0.9,0.575
3,1,1,2,0.9,0.9,0.8,0.9,0.875
3,1,3,10,0.9,1.0,0.8,1.0,0.925
3,1,4,2,0.9,0.9,0.8,0.9,0.875
