page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
9,2,1,6,0.9,1.0,0.8,0.9,0.9
9,2,2,10,0.8,0.5,0.6,0.9,0.7
9,2,3,7,0.9,1.0,0.8,0.9,0.9
9,2,4,4,0.8,0.0,0.6,0.9,0.575
9,2,5,2,0.6,0.0,0.8,1.0,0.6
9,4,1,9,0.8,0.8,0.6,0.9,0.775
9,4,2,9,0.2,0.0,0.8,0.9,0.475
9,4,3,9,0.5,0.0,0.75,0.9,0.5375
9,4,4,9,0.2,0.0,0.8,0.9,0.475
9,4,5,4,0.0,0.0,0.5,1.0,0.375
9,5,1,1,0.9,1.0,0.8,0.9,0.9
9,5,2,5,0.2,0.0,0.8,0.9,0.475
9,5,3,3,0.9,1.0,0.8,0.9,0.9
9,5,4,8,0.8,0.5,0.75,0.9,0.7375
9,5,5,6,0.6,0.0,0.8,0.9,0.575
9,6,1,3,0.6,0.0,0.8,0.9,0.575
9,6,2,4,0.5,0.0,0.75,0.9,0.5375
9,6,3,4,0.8,0.5,0.8,0.9,0.75
9,6,4,8,0.9,1.0,0.8,0.9,0.9
9,6,5,8,0.8,0.0,0.6,0.9,0.575
9,7,1,1,0.9,1.0,0.8,0.9,0.9
9,7,2,1,0.8,1.0,0.6,1.0,0.85
9,7,3,2,0.9,1.0,0.8,0.95,0.9125
9,7,4,9,0.5,0.5,0.75,0.9,0.6625
9,7,5,9,0.2,0.0,0.5,0.8,0.375
9,8,1,3,0.9,0.8,0.7,0.9,0.825
9,9,1,5,0.9,1.0,0.8,0.9,0.9
9,9,2,1,0.5,0.0,0.75,1.0,0.5625
9,9,3,5,0.5,0.0,0.75,0.9,0.5375
9,9,5,6,0.8,1.0,0.6,0.9,0.825
9,10,1,1,0.6,0.0,0.8,0.9,0.575
9,10,2,2,0.8,0.0,0.6,0.9,0.575
9,10,3,4,0.5,0.0,0.75,0.9,0.5375
9,10,4,3,0.2,0.0,0.8,0.9,0.475
9,10,5,5,0.8,0.0,0.8,1.0,0.65
9,11,1,1,0.5,0.0,0.75,1.0,0.5625
9,11,2,2,0.8,0.8,0.6,0.9,0.775
9,11,3,14,0.8,0.8,0.6,0.9,0.775
9,11,4,6,0.8,0.0,0.8,0.9,0.625
9,11,5,4,0.8,0.75,0.6,0.9,0.7625
9,12,1,8,0.4,0.0,0.8,0.9,0.525
9,12,2,3,0.9,1.0,0.8,0.9,0.9
9,12,3,4,0.9,0.8,0.7,0.9,0.825
9,12,4,5,0.8,0.5,0.6,0.9,0.7
9,12,5,6,0.9,1.0,0.8,0.9,0.9
9,13,1,2,0.9,1.0,0.8,0.9,0.9
9,13,2,3,0.0,0.0,0.5,1.0,0.375
9,13,3,4,1.0,1.0,1.0,1.0,1.0
9,13,4,4,0.8,0.0,0.8,0.9,0.625
9,13,5,4,0.0,0.0,0.5,1.0,0.375
9,14,1,1,0.9,1.0,0.8,0.9,0.9
9,14,2,7,0.2,0.0,0.8,0.9,0.475
9,14,3,8,0.2,0.0,0.8,0.9,0.475
9,14,4,8,0.6,0.0,0.8,0.9,0.575
9,14,5,10,0.8,1.0,0.6,0.9,0.825
9,15,1,7,0.0,0.0,0.8,0.9,0.425
9,15,2,7,0.6,0.0,0.8,0.9,0.575
9,15,3,4,0.8,0.8,0.9,0.9,0.85
9,15,4,9,0.2,0.0,0.8,0.9,0.475
9,15,5,2,0.9,1.0,0.8,0.9,0.9
9,16,1,1,0.9,1.0,0.8,0.9,0.85
9,16,2,7,0.6,0.0,0.8,0.9,0.575
9,16,3,3,0.8,1.0,0.8,0.9,0.875
9,16,4,1,0.0,0.0,0.8,1.0,0.0
9,16,5,1,0.2,1.0,0.8,1.0,0.6
9,16,6,3,0.5,0.0,0.75,0.9,0.5375
9,17,1,3,0.2,0.0,0.8,0.9,0.475
9,17,2,8,0.9,1.0,0.8,0.9,0.85
9,17,3,8,0.6,0.0,0.8,0.9,0.575
9,17,4,8,0.6,0.0,0.8,0.9,0.575
9,17,5,4,0.8,0.6,0.8,0.9,0.775
9,19,1,1,0.9,1.0,0.8,0.9,0.9
9,19,2,3,0.0,0.0,0.8,1.0,0.45
9,19,3,1,0.0,0.0,0.5,0.8,0.325
9,19,4,7,0.8,1.0,0.8,0.9,0.875
9,19,5,3,0.6,0.0,0.8,0.9,0.575
9,20,1,3,0.8,0.8,0.6,0.9,0.775
9,20,2,3,0.8,0.8,0.6,0.9,0.775
9,20,3,4,0.6,0.0,0.8,0.9,0.575
9,20,4,4,0.6,0.0,0.8,0.9,0.575
9,20,5,2,0.9,1.0,0.8,0.9,0.9
9,21,1,3,0.6,0.0,0.8,0.9,0.575
9,21,2,3,0.2,0.0,0.8,0.9,0.475
9,21,3,4,0.8,0.5,0.8,0.9,0.75
9,22,1,1,0.9,1.0,0.8,1.0,0.925
9,22,2,2,0.9,1.0,0.8,1.0,0.925
9,22,3,13,0.8,1.0,0.8,1.0,0.9
9,22,4,14,0.9,1.0,0.8,0.9,0.9
9,23,1,6,0.5,0.0,0.75,0.9,0.5375
9,23,2,2,0.9,1.0,0.8,0.9,0.9
9,23,3,2,0.8,0.8,0.6,0.9,0.775
9,23,4,3,0.4,0.0,0.6,0.8,0.45
9,23,5,6,0.5,0.0,0.75,0.9,0.5375
9,24,1,1,0.8,0.0,0.6,0.9,0.575
9,24,2,2,1.0,1.0,0.8,1.0,0.95
9,24,3,3,0.8,0.5,0.8,0.9,0.75
9,24,4,3,0.5,0.0,0.75,0.9,0.5375
